timestamp,armW,memW,g3dW,kfcW,temperature,dumb
1468552334,0.007288,0.121402,0.089595,0.051865,54000,
1468552334,0.117602,0.110584,0.043440,0.087336,54000,
1468552334,1.112454,0.137028,0.093215,0.017192,55000,
1468552335,0.212940,0.121402,0.086880,0.047115,55000,
1468552335,0.008199,0.106978,0.008154,0.102554,55000,
1468552335,0.764940,0.099766,0.002718,0.017220,55000,
1468552335,0.576103,0.112988,0.001812,0.017220,55000,
1468552336,0.097370,0.093756,0.001812,0.034300,55000,
1468552336,0.007288,0.102170,0.007248,0.096114,55000,
1468552336,1.276050,0.141836,0.110410,0.017192,58000,
1468552337,0.978120,0.128614,0.090500,0.017220,58000,
1468552337,0.094044,0.094958,0.009060,0.061976,58000,
1468552337,0.295120,0.100968,0.030770,0.065243,58000,
1468552337,0.688905,0.129816,0.071574,0.017220,57000,
1468552338,1.065676,0.132220,0.135900,0.028290,57000,
1468552338,0.102830,0.100968,0.047965,0.046260,57000,
1468552338,0.189196,0.140634,0.109505,0.102256,56000,
1468552339,0.662796,0.109382,0.056110,0.040880,56000,
1468552339,0.008199,0.120200,0.095930,0.167765,56000,
1468552339,0.351219,0.128614,0.086880,0.031980,56000,
1468552339,0.044590,0.106978,0.060635,0.058824,56000,
1468552340,0.256620,0.138230,0.107695,0.086240,56000,
1468552340,0.008199,0.128614,0.090500,0.126208,56000,
1468552340,0.463125,0.123806,0.097740,0.017220,55000,
1468552341,0.090258,0.114190,0.058825,0.051800,55000,
1468552341,0.338079,0.129816,0.114030,0.062781,55000,
1468552341,0.499409,0.096160,0.046155,0.023716,55000,
1468552341,0.008199,0.138230,0.099550,0.123984,57000,
1468552342,0.426888,0.114190,0.088690,0.017220,57000,
1468552342,0.123255,0.117796,0.060635,0.038800,57000,
1468552342,0.008208,0.138230,0.107695,0.122706,55000,
1468552343,0.497425,0.102170,0.080545,0.016044,55000,
1468552343,0.019131,0.137028,0.080634,0.096570,55000,
1468552343,0.154870,0.120200,0.064255,0.042672,55000,
1468552343,0.097626,0.135826,0.105885,0.104748,58000,
1468552344,0.464576,0.094958,0.060635,0.019091,58000,
1468552344,0.037351,0.137028,0.078735,0.098418,58000,
