timestamp,armW,memW,g3dW,kfcW,temperature,dumb
1468523637,0.027330,0.122604,0.094120,0.051264,53000,
1468523638,0.382140,0.112988,0.062445,0.123321,53000,
1468523638,1.567824,0.133422,0.090500,0.017220,53000,
1468523638,0.125936,0.131018,0.099550,0.037138,56000,
1468523639,0.322728,0.103372,0.033485,0.141933,56000,
1468523639,0.461148,0.098564,0.001812,0.017220,56000,
1468523639,0.028241,0.096160,0.001812,0.028262,56000,
1468523639,0.164964,0.102170,0.001812,0.094500,55000,
1468523640,1.634040,0.173088,0.092310,0.028290,55000,
1468523640,0.949725,0.153856,0.092310,0.017220,55000,
1468523640,0.990964,0.128614,0.095025,0.017220,56000,
1468523641,0.087300,0.096160,0.039820,0.022344,56000,
1468523641,0.797401,0.110584,0.028055,0.091494,56000,
1468523641,0.694048,0.143038,0.082355,0.017220,56000,
1468523642,0.739522,0.137028,0.137712,0.017220,56000,
1468523642,0.180180,0.137028,0.073305,0.020077,56000,
1468523642,0.069075,0.097362,0.079728,0.088236,56000,
1468523642,0.063700,0.108180,0.053395,0.024684,55000,
1468523643,0.034884,0.127412,0.105885,0.172976,55000,
1468523643,0.257040,0.131018,0.079640,0.055395,55000,
1468523643,0.019131,0.100968,0.062445,0.048392,55000,
1468523644,0.446919,0.135826,0.110410,0.103870,55000,
1468523644,0.053690,0.112988,0.049775,0.017968,55000,
1468523644,0.570315,0.118998,0.104075,0.107442,55000,
1468523644,0.227682,0.131018,0.082355,0.016632,54000,
1468523645,0.007288,0.097362,0.063350,0.056601,54000,
1468523645,0.450036,0.143038,0.105885,0.101106,54000,
1468523645,0.080990,0.108180,0.044345,0.022120,54000,
1468523646,0.188529,0.123806,0.076020,0.020910,55000,
1468523646,0.007288,0.109382,0.070590,0.067730,55000,
1468523646,0.561034,0.134624,0.107695,0.091094,55000,
1468523646,0.020953,0.104574,0.034390,0.024840,54000,
1468523647,0.654304,0.132220,0.110410,0.101996,54000,
1468523647,0.146010,0.112988,0.065160,0.030275,54000,
1468523647,0.007288,0.109382,0.073305,0.067275,54000,
1468523648,0.612540,0.134624,0.110410,0.077553,55000,
1468523648,0.022775,0.099766,0.033485,0.026112,55000,
1468523648,0.262042,0.138230,0.113125,0.152010,55000,
1468523648,0.143969,0.120200,0.095025,0.043966,55000,
1468523649,0.241109,0.100968,0.035295,0.112700,55000,
1468523649,0.256272,0.088948,0.005436,0.017220,55000,
1468523649,0.016398,0.097362,0.001812,0.080010,55000,
1468523650,0.434385,0.092554,0.020838,0.052933,54000,
1468523650,0.106375,0.097362,0.001812,0.090160,54000,
1468523650,0.363072,0.090150,0.024462,0.029520,54000,
1468523650,0.192198,0.096160,0.001812,0.103500,55000,
1468523651,0.306234,0.091352,0.019932,0.017220,55000,
1468523651,0.279070,0.098564,0.012684,0.110400,55000,
1468523651,0.106836,0.093756,0.013590,0.017164,55000,
1468523651,0.262075,0.096160,0.023530,0.139464,54000,
1468523652,0.029152,0.093756,0.004530,0.038885,54000,
1468523652,0.221096,0.096160,0.025340,0.110450,54000,
1468523652,0.067414,0.096160,0.001812,0.042800,53000,
1468523653,0.007288,0.094958,0.019910,0.178800,53000,
1468523653,0.359778,0.087746,0.024435,0.086100,53000,
1468523653,0.055693,0.096160,0.001812,0.048375,53000,
1468523653,0.505305,0.111786,0.053395,0.072629,54000,
1468523654,0.084630,0.111786,0.093215,0.086868,54000,
1468523654,0.591948,0.131018,0.094120,0.067705,54000,
1468523654,0.028241,0.135826,0.032580,0.028470,56000,
1468523655,0.255680,0.096160,0.010872,0.098167,56000,
1468523655,0.323128,0.121402,0.073305,0.017192,56000,
1468523655,0.007288,0.103372,0.001812,0.034632,56000,
1468523656,0.391950,0.097362,0.045250,0.096957,54000,
1468523656,0.280905,0.138345,0.091405,0.017220,54000,
1468523656,0.320086,0.118998,0.090500,0.115978,54000,
1468523656,0.024597,0.100968,0.001812,0.044935,54000,
1468523657,0.433590,0.100968,0.056110,0.090354,54000,
1468523657,0.136037,0.123806,0.027150,0.023583,54000,
1468523657,0.364236,0.094958,0.016308,0.089076,54000,
1468523657,0.361722,0.132220,0.065160,0.021924,54000,
1468523658,0.007288,0.090150,0.001812,0.045945,54000,
1468523658,0.469845,0.109382,0.057920,0.087472,54000,
1468523658,0.104082,0.114190,0.021744,0.013236,57000,
1468523659,0.380250,0.096160,0.022650,0.092960,57000,
1468523659,0.414120,0.126210,0.052490,0.019168,57000,
1468523659,0.007288,0.093756,0.001812,0.072660,57000,
1468523659,0.444098,0.129816,0.063350,0.078784,54000,
1468523660,0.403337,0.103372,0.030804,0.095040,54000,
1468523660,0.372876,0.127518,0.056110,0.017220,54000,
1468523660,0.010021,0.096160,0.001812,0.068310,56000,
1468523661,0.561045,0.114190,0.085070,0.060319,56000,
1468523661,0.078260,0.120200,0.076020,0.097962,56000,
1468523661,0.461225,0.112988,0.096835,0.041820,56000,
1468523661,0.543200,0.116594,0.050680,0.083776,55000,
1468523662,0.147212,0.091352,0.009966,0.031617,55000,
1468523662,0.367840,0.097362,0.024435,0.098646,55000,
1468523662,0.114824,0.094958,0.001812,0.028200,54000,
1468523663,0.351016,0.096160,0.019932,0.096096,54000,
1468523663,0.096705,0.096160,0.001812,0.041662,54000,
1468523663,0.047372,0.097362,0.001812,0.063056,54000,
1468523663,0.432825,0.093756,0.019910,0.050471,55000,
1468523664,0.039130,0.096160,0.001812,0.082198,55000,
1468523664,0.430332,0.092554,0.023556,0.035670,55000,
1468523664,0.089866,0.099766,0.001812,0.101193,54000,
1468523665,0.383961,0.090150,0.021720,0.017220,54000,
1468523665,0.178944,0.094958,0.013590,0.110400,54000,
1468523665,0.251515,0.092554,0.015402,0.017220,54000,
1468523665,0.216430,0.093756,0.016308,0.137692,54000,
1468523666,0.092200,0.098564,0.005436,0.038920,54000,
1468523666,0.244664,0.098564,0.028086,0.118473,54000,
1468523666,0.108290,0.106978,0.093215,0.066236,54000,
1468523667,0.334152,0.125008,0.092310,0.127836,54000,
1468523667,0.162168,0.093756,0.026245,0.095546,54000,
1468523667,0.596550,0.125008,0.077830,0.019680,54000,
1468523667,0.007288,0.098564,0.001812,0.038221,54000,
1468523668,0.375578,0.093756,0.054300,0.087480,54000,
1468523668,0.214360,0.141836,0.092310,0.048009,54000,
1468523668,0.007288,0.120200,0.091405,0.092911,56000,
1468523669,0.737430,0.138230,0.089595,0.043085,56000,
1468523669,0.072880,0.115392,0.011778,0.035371,56000,
1468523669,0.163212,0.096160,0.036200,0.124805,56000,
1468523669,0.304384,0.128614,0.042535,0.016884,54000,
1468523670,0.007288,0.092554,0.001812,0.080560,54000,
1468523670,0.616900,0.121402,0.071495,0.028290,54000,
1468523670,0.040084,0.106978,0.009060,0.043240,54000,
1468523671,0.259511,0.125008,0.046155,0.017790,54000,
1468523671,0.007296,0.096160,0.001812,0.098371,54000,
1468523671,0.641478,0.134624,0.074210,0.017220,54000,
1468523671,0.021864,0.093756,0.004530,0.048620,54000,
1468523672,0.278936,0.106978,0.041630,0.104753,54000,
1468523672,0.175296,0.120200,0.037105,0.023420,54000,
1468523672,0.062560,0.094958,0.001812,0.090968,54000,
1468523673,0.564564,0.129816,0.082355,0.017220,54000,
1468523673,0.024597,0.090150,0.001812,0.042107,54000,
1468523673,0.328864,0.102170,0.038958,0.105999,54000,
1468523673,0.416273,0.121402,0.085070,0.017220,56000,
1468523674,0.796290,0.112988,0.080545,0.017220,56000,
1468523674,0.059215,0.110584,0.053395,0.109222,56000,
1468523674,0.083250,0.097362,0.002718,0.100303,56000,
1468523675,0.414540,0.096160,0.019026,0.017164,55000,
1468523675,0.176715,0.099766,0.016308,0.113850,55000,
1468523675,0.266197,0.091352,0.011778,0.027600,55000,
1468523675,0.260150,0.096160,0.019910,0.106743,54000,
1468523676,0.210909,0.092554,0.001812,0.017220,54000,
1468523676,0.728016,0.097362,0.024462,0.017220,54000,
1468523676,0.044639,0.098564,0.001812,0.098556,54000,
1468523677,0.407364,0.096160,0.023556,0.028290,54000,
1468523677,0.076440,0.102170,0.001812,0.099176,54000,
1468523677,0.381195,0.091352,0.020815,0.017220,54000,
1468523677,0.119325,0.098564,0.015402,0.099000,54000,
1468523678,0.366894,0.093756,0.010872,0.017024,54000,
1468523678,0.196863,0.093756,0.013575,0.103831,54000,
