timestamp,armW,memW,g3dW,kfcW,temperature,dumb
1468555924,0.007288,0.125008,0.100455,0.054810,53000,
1468555924,0.772896,0.109382,0.056110,0.107100,53000,
1468555924,0.776127,0.138230,0.077830,0.017220,55000,
1468555924,0.484416,0.111786,0.101360,0.017220,55000,
1468555925,1.125145,0.105776,0.050680,0.017220,55000,
1468555925,0.531180,0.110584,0.002718,0.017220,55000,
1468555925,0.020953,0.099766,0.002718,0.017895,54000,
1468555926,0.354144,0.102170,0.001812,0.043378,54000,
1468555926,1.407120,0.182704,0.032616,0.085008,54000,
1468555926,0.840768,0.143038,0.092310,0.017220,57000,
1468555926,0.883035,0.126210,0.085975,0.017220,57000,
1468555927,0.471086,0.096160,0.093215,0.017220,57000,
1468555927,0.855301,0.108180,0.042535,0.017220,57000,
1468555927,0.499838,0.131018,0.101360,0.017220,57000,
1468555928,0.008199,0.132220,0.142085,0.034560,57000,
1468555928,0.454020,0.118998,0.072400,0.106896,57000,
1468555928,0.115416,0.131018,0.111315,0.050471,55000,
1468555928,0.376040,0.098564,0.034390,0.061074,55000,
1468555929,0.270368,0.134624,0.116745,0.101106,55000,
1468555929,0.008199,0.106978,0.056110,0.021907,55000,
1468555929,0.445496,0.131018,0.085070,0.123625,55000,
1468555930,0.081990,0.117796,0.104075,0.031980,55000,
1468555930,0.427856,0.102170,0.035295,0.039330,55000,
1468555930,0.008199,0.103372,0.069685,0.027312,55000,
1468555930,0.491028,0.134624,0.082355,0.126092,55000,
1468555931,0.117390,0.111786,0.088690,0.017220,55000,
1468555931,0.090650,0.108180,0.053395,0.029640,55000,
1468555931,0.421074,0.140634,0.109505,0.127656,55000,
1468555932,0.016398,0.099766,0.066970,0.017565,55000,
1468555932,0.784350,0.129816,0.085070,0.099736,55000,
1468555932,0.072800,0.112988,0.110410,0.017220,54000,
1468555932,0.174284,0.115392,0.038010,0.049209,54000,
1468555933,0.352495,0.133422,0.111315,0.123806,54000,
1468555933,0.007288,0.097362,0.054300,0.023370,54000,
1468555933,0.709496,0.140634,0.093215,0.106685,55000,
1468555934,0.247632,0.128614,0.037146,0.044704,55000,
1468555934,0.370928,0.123806,0.108600,0.111964,55000,
1468555934,0.258944,0.110584,0.096835,0.049149,55000,
1468555934,0.139536,0.093756,0.028055,0.094864,55000,
1468555935,0.573256,0.099766,0.001812,0.080080,55000,
1468555935,0.024597,0.093756,0.024462,0.017220,55000,
1468555935,0.597266,0.098564,0.001812,0.096750,55000,
1468555936,0.028427,0.096160,0.021744,0.021474,55000,
1468555936,0.448552,0.097362,0.001812,0.099846,55000,
1468555936,0.151864,0.094958,0.024435,0.024528,55000,
1468555936,0.396288,0.094958,0.011778,0.087912,55000,
1468555937,0.213864,0.096160,0.015402,0.030780,55000,
1468555937,0.282447,0.097362,0.012684,0.040392,55000,
1468555937,0.205325,0.091352,0.019932,0.081312,55000,
1468555938,0.361920,0.100968,0.001812,0.051750,55000,
1468555938,0.123795,0.091352,0.024462,0.067705,55000,
1468555938,0.420336,0.102170,0.001812,0.070938,54000,
1468555938,0.074480,0.096160,0.019910,0.041854,54000,
1468555939,0.421580,0.096160,0.001812,0.087750,54000,
1468555939,0.031348,0.093756,0.027180,0.024600,54000,
1468555939,0.554215,0.093756,0.001812,0.096836,55000,
1468555940,0.086545,0.102170,0.069685,0.017220,55000,
1468555940,0.547032,0.129816,0.088690,0.122843,55000,
1468555940,0.107380,0.128614,0.093215,0.019680,54000,
1468555940,0.375408,0.112988,0.034428,0.094770,54000,
1468555941,0.007288,0.115392,0.047060,0.022540,54000,
1468555941,0.713007,0.097362,0.001812,0.084212,54000,
1468555941,0.057393,0.126210,0.077830,0.018195,54000,
1468555942,0.245601,0.125008,0.084165,0.070140,54000,
1468555942,0.312558,0.144240,0.095025,0.108504,54000,
1468555942,0.007288,0.100968,0.046155,0.016875,55000,
1468555942,0.427495,0.096160,0.001812,0.094770,55000,
1468555943,0.089768,0.131018,0.069685,0.030750,55000,
1468555943,0.289140,0.094958,0.011778,0.040365,55000,
1468555943,0.406422,0.128614,0.038958,0.071398,54000,
1468555944,0.007288,0.093756,0.037105,0.030212,54000,
1468555944,0.108885,0.123806,0.066065,0.017220,54000,
1468555944,0.007304,0.094958,0.011778,0.033825,54000,
1468555944,0.528528,0.122604,0.010872,0.098532,54000,
1468555945,0.019131,0.094958,0.066065,0.015223,54000,
1468555945,0.655422,0.104574,0.001812,0.088695,54000,
1468555945,0.124670,0.121402,0.066970,0.017220,54000,
1468555946,0.060786,0.094958,0.013590,0.051360,54000,
1468555946,0.432322,0.122604,0.024462,0.102942,54000,
1468555946,0.013665,0.090150,0.052490,0.014950,56000,
1468555946,0.333295,0.099766,0.001812,0.068340,56000,
1468555947,0.257150,0.120200,0.054300,0.055395,56000,
1468555947,0.273224,0.108180,0.083260,0.146531,56000,
1468555947,0.221816,0.097362,0.039820,0.143000,54000,
1468555948,0.019131,0.093756,0.019932,0.020700,54000,
1468555948,0.390040,0.099766,0.001812,0.096536,54000,
1468555948,0.049194,0.093756,0.019932,0.017220,57000,
1468555948,0.405372,0.098564,0.001812,0.099000,57000,
1468555949,0.039173,0.097362,0.023530,0.021474,57000,
1468555949,0.462675,0.093756,0.006342,0.101007,57000,
1468555949,0.041265,0.096160,0.015402,0.024507,54000,
1468555950,0.386120,0.091352,0.017214,0.094089,54000,
1468555950,0.156494,0.097362,0.009966,0.039304,54000,
1468555950,0.268636,0.090150,0.019910,0.088914,57000,
1468555950,0.203546,0.094958,0.001812,0.041514,57000,
1468555951,0.235422,0.090150,0.024435,0.080015,57000,
1468555951,0.178585,0.091352,0.019932,0.062781,57000,
1468555951,0.363840,0.091352,0.001812,0.076704,57000,
1468555952,0.101115,0.098564,0.023556,0.040623,57000,
1468555952,0.370370,0.096160,0.001812,0.101727,57000,
1468555952,0.144440,0.103372,0.065160,0.024600,54000,
1468555952,0.435480,0.126210,0.088690,0.149688,54000,
1468555953,0.123120,0.135939,0.091405,0.017220,54000,
1468555953,0.359856,0.093756,0.027150,0.056925,54000,
1468555953,0.408030,0.120200,0.048924,0.049240,53000,
1468555954,0.007288,0.098564,0.028960,0.039304,53000,
1468555954,0.373796,0.097362,0.001812,0.115544,53000,
1468555954,0.145760,0.135826,0.090500,0.017052,54000,
1468555954,0.046818,0.120200,0.086880,0.049920,54000,
1468555955,0.018220,0.110584,0.056110,0.027209,54000,
1468555955,0.317724,0.094958,0.001812,0.078309,54000,
1468555955,0.210903,0.132220,0.062445,0.045547,53000,
1468555956,0.007288,0.091352,0.019026,0.024840,53000,
1468555956,0.476270,0.109382,0.001812,0.103500,53000,
1468555956,0.078346,0.109382,0.079640,0.016954,53000,
1468555956,0.060852,0.094958,0.001812,0.039360,53000,
1468555957,0.467520,0.125008,0.035334,0.096064,53000,
1468555957,0.010932,0.092554,0.053395,0.025452,53000,
1468555957,0.294448,0.096160,0.001812,0.083268,54000,
1468555958,0.246050,0.122706,0.068780,0.041820,54000,
1468555958,0.482154,0.114190,0.001812,0.090560,54000,
1468555958,0.078260,0.103372,0.079640,0.027945,53000,
1468555958,0.094350,0.094958,0.001812,0.035460,53000,
1468555959,0.431156,0.129816,0.035334,0.094864,53000,
1468555959,0.015487,0.092554,0.047060,0.015498,53000,
1468555959,0.670950,0.104574,0.001812,0.094956,54000,
1468555960,0.055571,0.125008,0.090500,0.029325,54000,
1468555960,0.673624,0.111786,0.066970,0.096596,54000,
1468555960,0.061506,0.112988,0.091405,0.049224,54000,
1468555960,0.379995,0.092554,0.035295,0.095160,54000,
1468555961,0.164079,0.096160,0.001812,0.039305,54000,
1468555961,0.337120,0.090150,0.023556,0.082544,54000,
1468555961,0.237088,0.091352,0.019026,0.064012,54000,
1468555962,0.295120,0.099766,0.001812,0.077625,54000,
1468555962,0.161057,0.092554,0.025368,0.045547,54000,
