timestamp,armW,memW,g3dW,kfcW,temperature,dumb
1468520820,0.007288,0.096160,0.001812,0.059400,54000,
1468520820,0.525852,0.109382,0.001812,0.062781,54000,
1468520821,0.661497,0.102170,0.028960,0.017220,54000,
1468520821,0.079170,0.098564,0.001812,0.080180,54000,
1468520821,0.440255,0.099766,0.001812,0.072688,54000,
1468520822,0.485030,0.109382,0.001812,0.017220,54000,
1468520822,0.288470,0.096160,0.001812,0.027400,54000,
1468520822,0.007288,0.100968,0.001812,0.087528,54000,
1468520822,1.006080,0.134624,0.001812,0.027060,54000,
1468520823,1.127825,0.169482,0.086880,0.017220,55000,
1468520823,0.780448,0.147846,0.130464,0.017220,55000,
1468520823,0.210632,0.145442,0.114935,0.130570,55000,
1468520824,1.334836,0.131018,0.085070,0.017220,56000,
1468520824,0.502112,0.137028,0.124890,0.017220,56000,
1468520824,0.843882,0.109382,0.104075,0.017220,56000,
1468520824,0.109320,0.109382,0.079640,0.049728,56000,
1468520825,0.247483,0.094958,0.029865,0.115488,55000,
1468520825,0.295394,0.128721,0.058825,0.021793,55000,
1468520825,0.007288,0.106978,0.026245,0.093744,55000,
1468520826,0.330691,0.094958,0.003624,0.055395,54000,
1468520826,0.130130,0.134624,0.078735,0.045236,54000,
1468520826,0.286296,0.117894,0.086880,0.088695,54000,
1468520826,0.591008,0.144240,0.095930,0.018240,54000,
1468520827,0.024597,0.099766,0.028960,0.097188,55000,
1468520827,0.147582,0.131018,0.080545,0.030016,55000,
1468520827,0.007304,0.092554,0.001812,0.102466,55000,
1468520828,0.551463,0.125008,0.031710,0.018000,54000,
1468520828,0.019131,0.094958,0.054300,0.039237,54000,
1468520828,0.326879,0.096160,0.001812,0.089936,54000,
1468520828,0.198772,0.131127,0.070590,0.022300,54000,
1468520829,0.007288,0.092554,0.019005,0.091696,57000,
1468520829,0.432696,0.106978,0.001812,0.034440,57000,
1468520829,0.137863,0.114190,0.082355,0.029493,57000,
1468520830,0.023868,0.096160,0.001812,0.097155,54000,
1468520830,0.530062,0.138230,0.038052,0.017820,54000,
1468520830,0.633150,0.111786,0.001812,0.017220,54000,
1468520830,0.115570,0.108180,0.076020,0.043337,54000,
1468520831,0.079550,0.097362,0.001812,0.109134,53000,
1468520831,0.307664,0.120200,0.039820,0.113436,53000,
1468520831,0.574248,0.118998,0.099550,0.051702,53000,
1468520832,0.109020,0.121503,0.085975,0.054060,56000,
1468520832,0.270556,0.100968,0.051585,0.092100,56000,
1468520832,0.050435,0.091352,0.022650,0.059914,56000,
1468520832,0.251328,0.098564,0.001812,0.080080,56000,
1468520833,0.066430,0.091352,0.024462,0.075628,53000,
1468520833,0.261670,0.093756,0.001812,0.064012,53000,
1468520833,0.118560,0.094958,0.022650,0.097692,53000,
1468520834,0.262752,0.093756,0.008154,0.046644,56000,
1468520834,0.271320,0.094958,0.009966,0.018736,56000,
