timestamp,armW,memW,g3dW,kfcW,temperature,dumb
1468521845,0.052838,0.125008,0.085070,0.056700,54000,
1468521846,0.007288,0.109382,0.065160,0.097092,54000,
1468521846,0.929929,0.121402,0.051585,0.017220,54000,
1468521846,0.041906,0.090150,0.001812,0.047250,54000,
1468521846,0.013770,0.098564,0.001812,0.101308,54000,
1468521847,0.855852,0.111786,0.001812,0.017220,54000,
1468521847,0.635624,0.112988,0.085070,0.017220,58000,
1468521847,1.319325,0.117796,0.089595,0.017192,58000,
1468521848,1.603777,0.090150,0.019932,0.017220,58000,
1468521848,0.151501,0.109382,0.001812,0.086510,58000,
1468521848,0.008199,0.092554,0.001812,0.076364,55000,
1468521848,0.007288,0.092554,0.001812,0.072065,55000,
1468521849,0.355200,0.096160,0.019932,0.052933,55000,
1468521849,1.131315,0.126210,0.099550,0.017220,58000,
1468521849,0.555540,0.102170,0.085975,0.020655,58000,
1468521850,0.091000,0.120300,0.099550,0.122642,58000,
1468521850,0.445689,0.116594,0.031710,0.023620,58000,
1468521850,0.039173,0.094958,0.001812,0.101136,55000,
1468521850,0.426622,0.102170,0.026245,0.013872,55000,
1468521851,0.025508,0.093756,0.001812,0.054936,55000,
1468521851,0.279300,0.098564,0.021720,0.065243,55000,
1468521851,0.123024,0.093756,0.004530,0.027326,55000,
1468521852,0.044933,0.096160,0.001812,0.089700,55000,
1468521852,0.555360,0.098564,0.019910,0.020340,55000,
1468521852,0.017309,0.093756,0.001812,0.068476,54000,
1468521852,0.251165,0.097362,0.024435,0.055395,54000,
1468521853,0.134415,0.092554,0.001812,0.069626,54000,
1468521853,0.333644,0.092554,0.019932,0.014365,54000,
1468521853,0.015487,0.094958,0.001812,0.080574,54000,
1468521854,0.275995,0.099766,0.019932,0.043050,54000,
1468521854,0.099517,0.091352,0.001812,0.028420,54000,
1468521854,0.190128,0.100968,0.001812,0.081312,58000,
1468521854,0.401800,0.094958,0.024462,0.020653,58000,
1468521855,0.007288,0.091352,0.001812,0.095823,58000,
1468521855,0.285714,0.102170,0.019932,0.027060,54000,
1468521855,0.125120,0.091352,0.001812,0.027636,54000,
1468521856,0.007288,0.100968,0.001812,0.095616,54000,
1468521856,0.026419,0.098564,0.019932,0.017640,54000,
1468521856,0.463855,0.097362,0.023530,0.017220,58000,
1468521856,0.083927,0.094958,0.001812,0.031746,58000,
1468521857,0.007288,0.100968,0.001812,0.098952,58000,
1468521857,0.401880,0.098564,0.023556,0.026519,54000,
1468521857,0.073360,0.100968,0.001812,0.093834,54000,
1468521858,0.399735,0.097362,0.019932,0.033660,54000,
1468521858,0.153120,0.098564,0.009060,0.087472,54000,
1468521858,0.269699,0.094958,0.017214,0.049412,54000,
1468521858,0.214802,0.098564,0.010872,0.072629,54000,
1468521859,0.228723,0.097362,0.010872,0.068686,54000,
1468521859,0.300832,0.099766,0.024435,0.052933,54000,
1468521859,0.134232,0.098564,0.003624,0.087750,54000,
1468521860,0.316498,0.097362,0.019932,0.031980,54000,
1468521860,0.299880,0.096160,0.024435,0.013740,54000,
1468521860,0.020953,0.102170,0.001812,0.094772,54000,
1468521860,0.396774,0.102170,0.024435,0.017220,54000,
1468521861,0.056916,0.094958,0.001812,0.099176,54000,
1468521861,0.403380,0.100968,0.020838,0.020349,54000,
1468521861,0.061037,0.092554,0.001812,0.099846,54000,
1468521862,0.380090,0.100968,0.024435,0.031671,54000,
1468521862,0.086450,0.096160,0.001812,0.099766,54000,
1468521862,0.310392,0.099766,0.019932,0.059500,54000,
1468521862,0.113708,0.099766,0.001812,0.096933,54000,
1468521863,0.212625,0.093756,0.001812,0.046736,54000,
1468521863,0.130480,0.099766,0.010872,0.080080,54000,
1468521863,0.007288,0.096160,0.001812,0.102720,54000,
1468521864,0.350295,0.100968,0.019932,0.017220,54000,
1468521864,0.054929,0.091352,0.001812,0.046782,54000,
1468521864,0.007288,0.098564,0.001812,0.181545,54000,
1468521864,0.007288,0.096160,0.024462,0.027352,54000,
1468521865,0.007288,0.091352,0.001812,0.094830,54000,
1468521865,0.392352,0.103372,0.019932,0.017220,54000,
1468521865,0.117180,0.091352,0.001812,0.028530,54000,
1468521866,0.007288,0.098564,0.001812,0.086651,54000,
1468521866,0.430962,0.093756,0.019932,0.021679,54000,
1468521866,0.021864,0.094958,0.001812,0.065868,53000,
1468521866,0.146308,0.091352,0.001812,0.020700,53000,
1468521867,0.007288,0.097362,0.001812,0.103870,53000,
1468521867,0.297005,0.094958,0.019910,0.017178,54000,
1468521867,0.070224,0.094958,0.001812,0.062098,54000,
1468521868,0.297672,0.098564,0.021720,0.039392,54000,
1468521868,0.255530,0.090150,0.003624,0.023368,53000,
1468521868,0.007288,0.098564,0.001812,0.103500,53000,
1468521868,0.339768,0.097362,0.019932,0.016828,53000,
1468521869,0.103169,0.094958,0.001812,0.036855,53000,
1468521869,0.007304,0.099766,0.006342,0.089206,54000,
1468521869,0.012754,0.099766,0.001812,0.093644,54000,
1468521870,0.513030,0.092554,0.024435,0.023520,54000,
1468521870,0.051016,0.100968,0.001812,0.097110,55000,
1468521870,0.529200,0.094958,0.019932,0.025322,55000,
1468521870,0.023686,0.100968,0.001812,0.095274,55000,
1468521871,0.479526,0.092554,0.022650,0.032538,55000,
1468521871,0.053186,0.099766,0.002718,0.086240,54000,
1468521871,0.392826,0.096160,0.019932,0.049412,54000,
1468521872,0.150660,0.100968,0.012684,0.070167,54000,
1468521872,0.306778,0.097362,0.010872,0.065308,54000,
1468521872,0.220430,0.098564,0.019932,0.049240,54000,
1468521872,0.257922,0.100968,0.001812,0.087906,54000,
1468521873,0.306544,0.100968,0.019932,0.029520,54000,
1468521873,0.305602,0.099766,0.022650,0.017220,55000,
1468521873,0.077700,0.094958,0.001812,0.123490,55000,
1468521874,0.300832,0.099766,0.026245,0.021223,55000,
1468521874,0.029152,0.093756,0.001812,0.097180,54000,
1468521874,0.343380,0.100968,0.025340,0.022667,54000,
1468521874,0.067562,0.093756,0.001812,0.099846,54000,
1468521875,0.352988,0.102170,0.021744,0.026864,54000,
1468521875,0.105560,0.096160,0.001812,0.090896,55000,
1468521875,0.386060,0.096160,0.001812,0.033990,55000,
1468521876,0.062859,0.097362,0.001812,0.089279,55000,
1468521876,0.470112,0.097362,0.019910,0.019890,54000,
1468521876,0.016398,0.092554,0.001812,0.085988,54000,
1468521876,0.269610,0.102170,0.019932,0.035670,54000,
1468521877,0.008253,0.099766,0.008154,0.092400,54000,
1468521877,0.553302,0.097362,0.018100,0.012996,54000,
1468521877,0.016398,0.096160,0.001812,0.098115,54000,
1468521878,0.349384,0.100968,0.019910,0.018450,54000,
1468521878,0.125419,0.091352,0.001812,0.031360,54000,
1468521878,0.007288,0.097362,0.001812,0.102168,54000,
1468521878,0.322372,0.094958,0.019910,0.015171,54000,
1468521879,0.071969,0.091352,0.001812,0.049470,54000,
1468521879,0.055998,0.099766,0.015402,0.077616,54000,
1468521879,0.327750,0.091352,0.006342,0.024610,54000,
1468521880,0.552296,0.097362,0.024435,0.015974,54000,
1468521880,0.065592,0.093756,0.001812,0.055776,54000,
1468521880,0.122100,0.098564,0.021720,0.071398,54000,
1468521880,0.320430,0.090150,0.004530,0.023056,54000,
1468521881,0.015487,0.100968,0.001812,0.096000,54000,
1468521881,0.404965,0.092554,0.024462,0.015722,54000,
1468521881,0.084630,0.093756,0.001812,0.071190,54000,
1468521882,0.163100,0.098564,0.024435,0.054164,54000,
1468521882,0.259350,0.092554,0.001812,0.026598,54000,
1468521882,0.007288,0.099766,0.001812,0.083300,54000,
1468521882,0.492666,0.093756,0.019932,0.046043,54000,
1468521883,0.015521,0.099766,0.012684,0.075152,54000,
1468521883,0.132275,0.102170,0.015402,0.066474,54000,
1468521883,0.348880,0.096160,0.006342,0.069812,54000,
1468521884,0.222306,0.098564,0.023530,0.041820,54000,
1468521884,0.219509,0.099766,0.001812,0.094668,55000,
1468521884,0.286941,0.096160,0.019932,0.017220,55000,
1468521884,0.218376,0.099766,0.001812,0.102375,55000,
1468521885,0.335040,0.099766,0.027180,0.017220,55000,
1468521885,0.132300,0.093756,0.001812,0.101193,58000,
1468521885,0.339228,0.100968,0.020838,0.021816,58000,
1468521886,0.113826,0.094958,0.001812,0.095450,58000,
1468521886,0.350658,0.099766,0.026274,0.029400,54000,
1468521886,0.065036,0.094958,0.001812,0.090706,54000,
1468521886,0.059215,0.097362,0.001812,0.094770,54000,
1468521887,0.384540,0.099766,0.019932,0.039655,54000,
1468521887,0.058240,0.098564,0.013590,0.091168,58000,
1468521887,0.376748,0.098564,0.009966,0.073143,58000,
1468521888,0.073360,0.099766,0.001812,0.068936,58000,
1468521888,0.270750,0.092554,0.001812,0.114950,55000,
1468521888,0.189108,0.100968,0.019932,0.050316,55000,
1468521888,0.145080,0.094958,0.001812,0.027405,55000,
1468521889,0.007288,0.099766,0.001812,0.083368,55000,
1468521889,0.486555,0.094958,0.024462,0.018785,54000,
1468521889,0.038262,0.092554,0.001812,0.087024,54000,
1468521890,0.168480,0.099766,0.024435,0.034440,54000,
1468521890,0.246977,0.092554,0.001812,0.032512,55000,
1468521890,0.519339,0.094958,0.015402,0.011880,55000,
1468521890,0.026419,0.093756,0.001812,0.097336,55000,
1468521891,0.231978,0.098564,0.019932,0.017220,55000,
1468521891,0.200096,0.091352,0.001812,0.030380,54000,
1468521891,0.007288,0.100968,0.001812,0.102168,54000,
1468521892,0.310730,0.097362,0.021744,0.015119,54000,
1468521892,0.098012,0.093756,0.001812,0.091140,55000,
1468521892,0.280545,0.100968,0.021744,0.017220,55000,
1468521892,0.272160,0.092554,0.001812,0.026936,55000,
1468521893,0.007288,0.099766,0.001812,0.091884,55000,
1468521893,0.414540,0.096160,0.019910,0.021679,54000,
1468521893,0.347520,0.098564,0.024462,0.017094,54000,
1468521894,0.101329,0.093756,0.001812,0.035910,54000,
1468521894,0.007288,0.099766,0.002718,0.097443,54000,
1468521894,0.316436,0.090150,0.019932,0.015722,54000,
1468521894,0.073791,0.098564,0.001812,0.096750,54000,
1468521895,0.383370,0.094958,0.023556,0.020332,54000,
1468521895,0.151280,0.099766,0.001812,0.099846,58000,
1468521895,0.393176,0.097362,0.019932,0.023420,58000,
1468521896,0.093590,0.099766,0.001812,0.087764,58000,
1468521896,0.437241,0.096160,0.022625,0.034230,54000,
1468521896,0.060522,0.100968,0.002718,0.088549,54000,
1468521896,0.424296,0.094958,0.019932,0.040428,54000,
1468521897,0.459690,0.097362,0.010872,0.050625,54000,
1468521897,0.032796,0.094958,0.019932,0.068992,54000,
1468521897,0.434934,0.098564,0.007248,0.077625,54000,
1468521898,0.106952,0.099766,0.019910,0.043085,54000,
1468521898,0.297738,0.097362,0.001812,0.107442,57000,
1468521898,0.200165,0.099766,0.021720,0.027060,57000,
1468521898,0.256190,0.097362,0.001812,0.141372,57000,
1468521899,0.185416,0.102170,0.023556,0.020466,57000,
1468521899,0.076111,0.094958,0.001812,0.100080,57000,
1468521899,0.306555,0.102170,0.025340,0.024600,57000,
1468521900,0.106605,0.096160,0.009060,0.075091,57000,
1468521900,0.603542,0.099766,0.037105,0.061765,55000,
1468521900,0.040084,0.103372,0.003624,0.061550,55000,
1468521900,0.506264,0.092554,0.001812,0.076568,55000,
1468521901,0.436355,0.098564,0.001812,0.019304,55000,
1468521901,0.013665,0.096160,0.001812,0.102375,54000,
1468521901,0.279152,0.102170,0.024435,0.017925,54000,
1468521902,0.131492,0.090150,0.001812,0.037720,54000,
1468521902,0.007288,0.099766,0.011778,0.095784,54000,
1468521902,0.319788,0.092554,0.010872,0.014326,54000,
1468521902,0.078260,0.093756,0.001812,0.091168,54000,
1468521903,0.082325,0.098564,0.019932,0.033210,54000,
1468521903,0.291078,0.091352,0.001812,0.033528,54000,
