timestamp,armW,memW,g3dW,kfcW,temperature,dumb
1469502604,0.384474,0.128614,0.094120,0.017220,56000,
1469502604,0.515412,0.100968,0.005436,0.015990,56000,
1469502605,1.671168,0.123806,0.022625,0.017192,56000,
1469502605,0.560056,0.097362,0.001812,0.017220,56000,
1469502605,0.436267,0.118998,0.001812,0.017192,56000,
1469502606,0.703740,0.104574,0.001812,0.017192,56000,
1469502606,1.302398,0.111786,0.001812,0.017192,56000,
1469502606,0.829668,0.098564,0.001812,0.017192,66000,
1469502606,0.664118,0.097362,0.001812,0.017220,66000,
1469502607,0.560236,0.104574,0.001812,0.017220,66000,
1469502607,0.026419,0.098564,0.001812,0.021740,55000,
1469502607,0.007288,0.100968,0.001812,0.047150,55000,
1469502608,0.937937,0.145442,0.053395,0.096096,55000,
1469502608,0.923296,0.116594,0.096835,0.017192,55000,
1469502608,0.802256,0.109382,0.072400,0.017192,56000,
1469502608,0.196910,0.128614,0.100455,0.027186,56000,
1469502609,0.472440,0.093756,0.037105,0.107280,56000,
1469502609,0.089490,0.100968,0.001812,0.034200,55000,
1469502609,0.430962,0.092554,0.001812,0.086123,55000,
1469502610,0.623560,0.093756,0.001812,0.082544,55000,
1469502610,0.027330,0.099766,0.001812,0.054048,55000,
1469502610,0.529815,0.097362,0.001812,0.064012,54000,
1469502610,0.029312,0.096160,0.001812,0.068503,54000,
1469502611,0.420184,0.096160,0.001812,0.044280,54000,
1469502611,0.160950,0.098564,0.001812,0.088875,54000,
1469502611,0.327654,0.092554,0.001812,0.028290,54000,
1469502612,0.211988,0.098564,0.001812,0.095004,54000,
1469502612,0.275310,0.091352,0.001812,0.015990,54000,
1469502612,0.285348,0.099766,0.001812,0.099088,54000,
1469502612,0.147224,0.094958,0.001812,0.020587,54000,
1469502613,0.347754,0.100968,0.001812,0.103922,54000,
1469502613,0.099322,0.094958,0.001812,0.023620,53000,
1469502613,0.066240,0.094958,0.001812,0.030056,53000,
1469502614,0.370880,0.097362,0.001812,0.088874,53000,
1469502614,0.076443,0.098564,0.001812,0.038148,53000,
1469502614,0.312662,0.094958,0.001812,0.097328,53000,
1469502614,0.115570,0.098564,0.001812,0.054816,53000,
1469502615,0.278487,0.092554,0.001812,0.083776,53000,
1469502615,0.082810,0.098564,0.001812,0.093694,53000,
1469502615,0.273224,0.092554,0.001812,0.054585,53000,
1469502615,0.033048,0.098564,0.001812,0.084870,53000,
1469502616,0.342828,0.093756,0.001812,0.033210,53000,
1469502616,0.165540,0.099766,0.001812,0.106875,53000,
1469502616,0.296562,0.092554,0.001812,0.015964,53000,
1469502617,0.204484,0.100968,0.001812,0.115746,53000,
1469502617,0.290360,0.097362,0.001812,0.099088,53000,
1469502617,0.079128,0.096160,0.001812,0.019168,53000,
1469502617,0.330309,0.093756,0.001812,0.096280,53000,
1469502618,0.123533,0.099766,0.001812,0.023460,53000,
1469502618,0.368808,0.092554,0.001812,0.095440,53000,
1469502618,0.102786,0.099766,0.001812,0.030699,53000,
1469502619,0.342990,0.092554,0.001812,0.092568,53000,
1469502619,0.086304,0.099766,0.001812,0.039270,53000,
1469502619,0.410352,0.096160,0.001812,0.077553,53000,
1469502619,0.027300,0.099766,0.001812,0.056150,53000,
1469502620,0.494758,0.091352,0.001812,0.059088,53000,
1469502620,0.022775,0.099766,0.001812,0.074316,53000,
1469502620,0.460152,0.094958,0.001812,0.040590,53000,
1469502621,0.405657,0.098564,0.001812,0.020910,53000,
1469502621,0.172420,0.094958,0.001812,0.092250,53000,
1469502621,0.319800,0.098564,0.001812,0.017220,53000,
1469502621,0.229149,0.093756,0.001812,0.095710,53000,
1469502622,0.222453,0.102170,0.001812,0.019376,53000,
1469502622,0.334152,0.092554,0.001812,0.093644,53000,
1469502622,0.135184,0.099766,0.001812,0.024696,53000,
1469502623,0.325542,0.093756,0.001812,0.097774,53000,
1469502623,0.094738,0.093756,0.001812,0.030915,53000,
1469502623,0.354415,0.098564,0.001812,0.087192,53000,
