timestamp,armW,memW,g3dW,kfcW,temperature,dumb
1469489741,0.418127,0.116594,0.056110,0.017220,55000,
1469489741,1.016064,0.103372,0.028960,0.017220,56000,
1469489741,0.942645,0.126210,0.078735,0.017220,56000,
1469489742,0.056420,0.099766,0.009060,0.017970,56000,
1469489742,0.007288,0.092554,0.001812,0.062880,54000,
1469489742,0.007288,0.094958,0.001812,0.115902,54000,
1469489742,0.007288,0.099766,0.001812,0.136863,54000,
1469489743,0.007288,0.093756,0.001812,0.114576,54000,
1469489743,0.007288,0.093756,0.001812,0.094563,53000,
1469489743,0.007288,0.097362,0.001812,0.119442,53000,
1469489744,0.350704,0.104574,0.001812,0.170313,53000,
1469489744,0.335256,0.097362,0.001812,0.043085,53000,
1469489744,0.007288,0.091352,0.001812,0.017955,53000,
1469489745,0.006377,0.091352,0.001812,0.016065,53000,
1469489745,0.006377,0.093756,0.001812,0.017010,53000,
1469489745,0.006405,0.112988,0.001812,0.131859,52000,
1469489745,0.848229,0.102170,0.001812,0.124533,52000,
1469489746,0.789349,0.105776,0.001812,0.015990,52000,
1469489746,0.501410,0.102170,0.001812,0.017220,55000,
1469489746,0.604945,0.093756,0.001812,0.017220,55000,
1469489746,1.024648,0.103372,0.001812,0.017220,55000,
1469489747,1.131655,0.093756,0.001812,0.017220,55000,
1469489747,0.987548,0.097362,0.001812,0.017220,65000,
1469489747,1.557922,0.100968,0.001812,0.017220,65000,
1469489748,1.646808,0.096160,0.001812,0.017220,65000,
1469489748,1.649640,0.096160,0.001812,0.015990,67000,
1469489748,0.861456,0.094958,0.001812,0.017220,67000,
1469489748,0.117390,0.093756,0.001812,0.017220,67000,
1469489749,0.008199,0.120200,0.001812,0.060500,67000,
1469489749,0.007288,0.094958,0.001812,0.209676,54000,
1469489749,0.007288,0.098564,0.001812,0.040287,54000,
1469489750,1.060836,0.098564,0.010872,0.092988,54000,
1469489750,2.014984,0.134624,0.096835,0.017220,54000,
1469489750,1.362899,0.145442,0.074210,0.017192,61000,
1469489750,1.830885,0.128614,0.084165,0.017192,61000,
1469489751,1.814435,0.134624,0.088690,0.017192,61000,
1469489751,1.303542,0.117796,0.001812,0.017220,59000,
1469489751,0.462570,0.118998,0.075115,0.017220,59000,
1469489752,0.836800,0.108180,0.002718,0.017220,59000,
1469489752,0.634810,0.103372,0.001812,0.017220,59000,
1469489752,0.668736,0.106978,0.001812,0.017220,56000,
1469489752,0.371574,0.096160,0.001812,0.017220,56000,
1469489753,0.878240,0.110584,0.001812,0.017220,56000,
1469489753,0.500420,0.117796,0.001812,0.017220,56000,
1469489753,0.849807,0.104574,0.010872,0.017220,56000,
1469489754,0.976010,0.125008,0.075115,0.017220,56000,
1469489754,2.025353,0.158664,0.097740,0.017220,56000,
