timestamp,armW,memW,g3dW,kfcW,temperature,dumb
1469496961,0.185200,0.120200,0.044345,0.060319,55000,
1469496961,0.008199,0.104574,0.044345,0.118919,55000,
1469496962,0.866052,0.104574,0.096942,0.062781,55000,
1469496962,0.484124,0.141836,0.096835,0.017192,55000,
1469496962,0.007288,0.094958,0.001812,0.112112,55000,
1469496962,0.007288,0.093756,0.001812,0.135630,55000,
1469496963,0.007288,0.098564,0.001812,0.112112,55000,
1469496963,0.007288,0.092554,0.001812,0.103488,54000,
1469496963,0.007288,0.093756,0.001812,0.104130,54000,
1469496964,0.007288,0.096160,0.001812,0.134292,54000,
1469496964,0.561450,0.104574,0.001812,0.077553,54000,
1469496964,0.198852,0.096160,0.001812,0.017775,54000,
1469496964,0.007288,0.091352,0.001812,0.020966,54000,
1469496965,0.007288,0.091352,0.001812,0.019845,54000,
1469496965,0.007288,0.091352,0.001812,0.020790,53000,
1469496965,0.007288,0.115392,0.001812,0.200232,53000,
1469496966,0.007288,0.105776,0.001812,0.221423,53000,
1469496966,0.050490,0.112988,0.001812,0.202704,54000,
1469496966,0.685425,0.109382,0.001812,0.017192,54000,
1469496966,0.784639,0.094958,0.001812,0.015964,54000,
1469496967,1.433890,0.104574,0.001812,0.017192,54000,
1469496967,1.453639,0.094958,0.001812,0.017192,56000,
1469496967,1.621620,0.097362,0.001812,0.015964,56000,
1469496968,1.656112,0.100968,0.001812,0.017192,56000,
1469496968,1.635660,0.094958,0.001812,0.015964,61000,
1469496968,1.488523,0.093756,0.001812,0.017192,61000,
1469496968,1.238692,0.094958,0.001812,0.017192,61000,
1469496969,0.086104,0.092554,0.001812,0.022200,61000,
1469496969,0.008199,0.112988,0.001812,0.051462,55000,
1469496969,0.093296,0.110584,0.001812,0.154125,55000,
1469496970,1.177554,0.123806,0.001812,0.064012,55000,
1469496970,1.573860,0.151452,0.071495,0.017192,59000,
1469496970,1.428852,0.122604,0.082355,0.017192,59000,
1469496970,1.240120,0.131018,0.069685,0.017192,59000,
1469496971,1.196076,0.115392,0.102265,0.017192,59000,
1469496971,1.720656,0.120200,0.018120,0.017192,61000,
1469496971,0.724605,0.117796,0.011778,0.017192,61000,
1469496972,0.878878,0.104574,0.074210,0.017192,61000,
1469496972,0.466040,0.104574,0.002718,0.017220,57000,
1469496972,0.655690,0.109382,0.001812,0.017192,57000,
1469496972,0.407198,0.099766,0.001812,0.017192,57000,
1469496973,0.492855,0.099766,0.001812,0.017192,57000,
1469496973,0.658690,0.112988,0.001812,0.055350,56000,
1469496973,0.593750,0.105776,0.001812,0.017220,56000,
1469496974,1.349568,0.105776,0.019932,0.017192,56000,
1469496974,1.357523,0.153856,0.114030,0.017192,60000,
1469496974,1.386945,0.143038,0.064255,0.017192,60000,
1469496974,1.056384,0.147846,0.099550,0.017192,60000,
1469496975,0.312308,0.123806,0.093215,0.050625,60000,
1469496975,0.461888,0.115392,0.030770,0.099792,57000,
1469496975,1.310365,0.120200,0.047965,0.017192,57000,
1469496976,1.303686,0.140634,0.101360,0.017192,57000,
1469496976,0.598400,0.135826,0.096835,0.017192,58000,
1469496976,1.049418,0.120200,0.051585,0.017192,58000,
1469496976,0.729600,0.137028,0.095025,0.017192,58000,
1469496977,0.877716,0.140634,0.078735,0.017192,58000,
1469496977,0.234685,0.118998,0.093215,0.085008,57000,
1469496977,0.878640,0.112988,0.021720,0.036900,57000,
1469496977,0.795135,0.128614,0.065160,0.017192,57000,
1469496978,1.197228,0.134624,0.100455,0.017192,57000,
1469496978,0.507780,0.128614,0.097740,0.017220,57000,
1469496978,0.689739,0.106978,0.022625,0.018240,57000,
1469496979,0.202608,0.111786,0.052490,0.115800,57000,
1469496979,0.734020,0.117796,0.018100,0.017220,60000,
1469496979,1.705548,0.149048,0.066970,0.017192,60000,
1469496979,0.453761,0.137028,0.108600,0.017192,60000,
1469496980,0.921526,0.109382,0.059730,0.017192,60000,
1469496980,0.687156,0.105776,0.012684,0.030700,60000,
1469496980,0.912848,0.144240,0.084165,0.017192,60000,
1469496981,0.943350,0.145442,0.116745,0.017192,60000,
1469496981,0.832884,0.116594,0.087785,0.017192,57000,
1469496981,0.316546,0.111786,0.025340,0.058242,57000,
1469496981,0.462840,0.104574,0.038915,0.084939,57000,
1469496982,0.794486,0.141836,0.053395,0.017192,57000,
1469496982,0.870861,0.145442,0.117650,0.017192,57000,
1469496982,0.200640,0.127412,0.101360,0.100760,57000,
1469496983,0.588636,0.109382,0.035295,0.046740,57000,
1469496983,0.093730,0.109382,0.049775,0.113157,56000,
1469496983,0.557750,0.120200,0.009060,0.020910,56000,
1469496983,1.497730,0.140634,0.067875,0.017192,56000,
1469496984,0.458358,0.108180,0.072400,0.108064,56000,
1469496984,0.230748,0.109382,0.038010,0.074368,56000,
1469496984,0.417845,0.116594,0.022625,0.077553,56000,
1469496985,0.837161,0.145442,0.057015,0.017192,56000,
1469496985,1.165775,0.135826,0.099550,0.017192,57000,
1469496985,0.120384,0.115392,0.089595,0.107724,57000,
1469496985,0.547080,0.116594,0.034390,0.041820,57000,
1469496986,0.353430,0.116594,0.057015,0.088704,57000,
1469496986,0.779481,0.106978,0.021744,0.017192,57000,
1469496986,1.321056,0.141836,0.102265,0.017192,57000,
1469496987,0.371841,0.126210,0.085975,0.058000,57000,
1469496987,0.521973,0.123806,0.049775,0.101024,56000,
1469496987,0.336056,0.106978,0.026245,0.080015,56000,
1469496987,1.052613,0.125008,0.070434,0.017192,56000,
1469496988,1.106679,0.138230,0.076020,0.017192,56000,
1469496988,0.589280,0.129816,0.094120,0.017192,56000,
1469496988,0.526214,0.109382,0.019932,0.044316,56000,
1469496989,0.652623,0.108180,0.045250,0.060319,56000,
1469496989,0.768859,0.126210,0.047965,0.017192,57000,
1469496989,1.139284,0.141836,0.093215,0.017192,57000,
1469496989,0.436267,0.134624,0.086880,0.017220,57000,
1469496990,0.963366,0.109382,0.048870,0.017192,57000,
1469496990,0.077350,0.112988,0.056110,0.121158,57000,
1469496990,0.711981,0.103372,0.007248,0.017192,57000,
1469496991,1.001160,0.138230,0.083076,0.017192,57000,
1469496991,0.726726,0.123806,0.075115,0.076322,57000,
1469496991,0.406080,0.111786,0.038915,0.017220,57000,
1469496991,0.611320,0.099766,0.020815,0.017192,57000,
1469496992,0.833085,0.132220,0.058825,0.017192,59000,
1469496992,1.194393,0.143038,0.096835,0.017192,59000,
1469496992,0.125580,0.129816,0.095025,0.148500,59000,
1469496993,0.543021,0.117796,0.015402,0.017192,59000,
1469496993,0.625100,0.100968,0.055205,0.017192,58000,
1469496993,0.847272,0.126210,0.035295,0.017192,58000,
1469496993,1.869096,0.140634,0.068780,0.017192,58000,
1469496994,0.327665,0.126210,0.088690,0.084206,58000,
1469496994,0.379848,0.104574,0.042535,0.089936,56000,
1469496994,0.072880,0.115392,0.047965,0.117180,56000,
1469496995,0.792725,0.149048,0.066065,0.017192,56000,
1469496995,0.995670,0.140634,0.123080,0.026532,56000,
1469496995,0.012754,0.116594,0.079640,0.182905,56000,
1469496995,0.376992,0.115392,0.018120,0.034713,56000,
1469496996,0.324632,0.102170,0.047965,0.108669,56000,
1469496996,0.645181,0.139432,0.034390,0.017192,57000,
1469496996,1.330560,0.140634,0.087785,0.017192,57000,
1469496997,0.338550,0.125008,0.092310,0.110201,57000,
1469496997,0.376992,0.114190,0.035295,0.081246,56000,
1469496997,0.388938,0.100968,0.047060,0.017192,56000,
1469496997,0.846104,0.123806,0.015402,0.017192,56000,
1469496998,0.784550,0.141836,0.076020,0.017192,56000,
1469496998,0.562536,0.137028,0.095025,0.017192,56000,
1469496998,0.582296,0.108180,0.024462,0.040495,56000,
1469496999,0.323340,0.112988,0.042535,0.094926,56000,
1469496999,0.579424,0.110584,0.042535,0.017192,57000,
1469496999,1.333480,0.139432,0.101360,0.017192,57000,
1469496999,0.337821,0.134624,0.095930,0.104720,57000,
1469497000,0.940896,0.118998,0.037105,0.017192,57000,
1469497000,0.444843,0.115392,0.057015,0.017192,58000,
1469497000,0.682110,0.099766,0.015385,0.017192,58000,
