timestamp,armW,memW,g3dW,kfcW,temperature,dumb
1469471597,0.039173,0.094958,0.001812,0.034125,55000,
1469471598,0.007288,0.098564,0.001812,0.094950,55000,
1469471598,1.253616,0.108180,0.023530,0.018450,56000,
1469471598,0.008199,0.092554,0.001812,0.042525,56000,
1469471599,0.008199,0.092554,0.001812,0.078540,56000,
1469471599,0.007288,0.099766,0.001812,0.145494,56000,
1469471599,0.007288,0.093756,0.001812,0.118368,54000,
1469471599,0.007288,0.092554,0.001812,0.103785,54000,
1469471600,0.007288,0.092554,0.001812,0.106652,54000,
1469471600,0.007288,0.088948,0.001812,0.013244,54000,
1469471601,0.007288,0.091352,0.001812,0.017955,54000,
1469471602,0.086025,0.109382,0.001812,0.094500,54000,
1469471602,1.385083,0.108180,0.002718,0.017220,56000,
1469471602,0.823898,0.106978,0.002718,0.017220,56000,
1469471602,0.775884,0.105776,0.001812,0.017220,56000,
1469471603,1.427333,0.105776,0.002718,0.017220,56000,
1469471603,1.416012,0.094958,0.002718,0.017220,61000,
1469471603,1.493108,0.098564,0.002718,0.017192,61000,
1469471604,1.697405,0.098564,0.002718,0.017220,61000,
1469471604,1.631689,0.096160,0.002718,0.017220,61000,
1469471604,1.628200,0.094958,0.002718,0.017192,60000,
1469471604,1.404904,0.094958,0.002718,0.017220,60000,
1469471605,0.319800,0.097362,0.002718,0.022667,60000,
1469471605,0.019131,0.094958,0.002718,0.053865,57000,
1469471605,0.008199,0.120200,0.002718,0.136071,57000,
1469471606,0.008199,0.098564,0.002718,0.061236,57000,
1469471606,0.651651,0.102170,0.021720,0.071398,57000,
1469471606,2.187687,0.141836,0.086880,0.017220,63000,
1469471606,1.906016,0.139432,0.063350,0.017192,63000,
1469471607,1.825904,0.129816,0.103170,0.017192,63000,
1469471607,0.786240,0.112988,0.002718,0.017220,61000,
1469471607,0.239980,0.131018,0.086880,0.100190,61000,
1469471608,0.693114,0.110584,0.002718,0.041820,61000,
1469471608,0.500088,0.110584,0.002718,0.017220,61000,
1469471608,0.778503,0.109382,0.002718,0.017220,59000,
1469471608,0.617952,0.104574,0.002718,0.017220,59000,
1469471609,0.399345,0.094958,0.002718,0.045880,59000,
1469471609,0.438504,0.120200,0.002718,0.112976,58000,
1469471609,0.556668,0.110584,0.002718,0.017220,58000,
1469471610,0.754072,0.100968,0.021720,0.017220,58000,
1469471610,1.319872,0.157462,0.098645,0.017220,58000,
1469471610,1.762030,0.134624,0.066065,0.017220,59000,
1469471610,0.840400,0.125008,0.047060,0.017220,59000,
1469471611,0.955570,0.133422,0.063350,0.017220,59000,
1469471611,1.107714,0.149048,0.096835,0.018450,60000,
1469471611,0.587808,0.111786,0.039820,0.017220,60000,
1469471612,0.726150,0.122604,0.086880,0.017220,60000,
1469471612,0.684496,0.111786,0.047965,0.017220,60000,
1469471612,0.203546,0.125008,0.076020,0.067555,57000,
1469471612,0.469955,0.120200,0.060635,0.077616,57000,
1469471613,0.853200,0.140634,0.075198,0.017220,57000,
1469471613,1.051144,0.127412,0.103170,0.021870,57000,
1469471613,0.054660,0.111786,0.021720,0.129591,57000,
1469471614,0.447440,0.123806,0.047965,0.044316,57000,
1469471614,0.842528,0.135826,0.077830,0.017192,57000,
1469471614,0.642444,0.104574,0.035295,0.017220,61000,
