timestamp,armW,memW,g3dW,kfcW,temperature,dumb
1468691864,0.141336,0.094958,0.001812,0.028896,54000,
1468691864,0.007288,0.097362,0.001812,0.064870,54000,
1468691864,1.439880,0.115392,0.002718,0.017220,54000,
1468691864,0.104384,0.093756,0.001812,0.039565,54000,
1468691865,0.007288,0.097362,0.001812,0.110760,54000,
1468691865,0.404040,0.110584,0.001812,0.017192,54000,
1468691865,1.431517,0.112988,0.001812,0.017192,58000,
1468691866,1.373625,0.099766,0.002718,0.017192,58000,
1468691866,1.124550,0.094958,0.002718,0.017192,58000,
1468691866,0.821345,0.103372,0.002718,0.017220,58000,
1468691866,0.428576,0.093756,0.002718,0.020460,55000,
1468691867,0.008199,0.099766,0.001812,0.068340,55000,
1468691867,0.216678,0.117796,0.056110,0.059040,55000,
1468691867,1.181004,0.152654,0.095930,0.017192,57000,
1468691868,0.621464,0.120200,0.100455,0.079728,57000,
1468691868,0.113832,0.126210,0.047060,0.096096,57000,
1468691868,0.728234,0.132220,0.104075,0.017192,57000,
1468691868,1.189188,0.123806,0.068780,0.017192,57000,
1468691869,0.604192,0.141836,0.011778,0.017192,57000,
1468691869,2.105152,0.150250,0.103170,0.017192,57000,
1468691869,1.071209,0.123806,0.065160,0.017220,59000,
1468691870,1.035540,0.117796,0.076020,0.035264,59000,
1468691870,0.156520,0.121402,0.058825,0.147584,59000,
1468691870,0.305913,0.111786,0.039820,0.017192,59000,
1468691870,0.937650,0.126210,0.043440,0.017192,57000,
1468691871,0.807945,0.152654,0.113125,0.017192,57000,
1468691871,1.427380,0.137028,0.092310,0.017192,57000,
1468691871,0.654966,0.104574,0.038010,0.017192,59000,
1468691872,0.891648,0.128614,0.101360,0.017220,59000,
1468691872,0.559986,0.103372,0.032580,0.017192,59000,
1468691872,0.736308,0.134624,0.085975,0.017220,59000,
1468691873,0.794085,0.134624,0.063350,0.017192,59000,
1468691873,0.828654,0.125008,0.062514,0.017192,59000,
1468691873,0.922054,0.145442,0.104075,0.017192,59000,
1468691873,0.948318,0.144240,0.057920,0.017192,58000,
1468691874,0.759110,0.127412,0.053395,0.017192,58000,
1468691874,0.644032,0.104574,0.045250,0.017220,58000,
1468691874,0.943736,0.123806,0.102265,0.017192,58000,
1468691875,0.796316,0.126210,0.023556,0.017192,58000,
1468691875,1.276935,0.138230,0.110532,0.018420,58000,
1468691875,0.628992,0.155058,0.091405,0.017192,58000,
1468691875,1.002760,0.131018,0.038915,0.017192,59000,
1468691876,0.488928,0.111786,0.100455,0.017220,59000,
1468691876,0.863821,0.118998,0.035295,0.017192,59000,
1468691876,1.034000,0.110584,0.080634,0.017220,59000,
1468691877,0.677625,0.135826,0.085070,0.017192,59000,
1468691877,1.305712,0.129816,0.093318,0.017192,59000,
1468691877,0.798138,0.152654,0.094120,0.017192,59000,
1468691877,0.188181,0.111786,0.079640,0.017192,58000,
1468691878,0.244664,0.122604,0.042535,0.168190,58000,
1468691878,0.575310,0.105776,0.047060,0.017192,58000,
1468691878,0.926595,0.133422,0.105885,0.017192,59000,
1468691879,0.786726,0.131018,0.057920,0.017192,59000,
1468691879,1.063894,0.153856,0.106790,0.017192,59000,
1468691879,0.668160,0.140634,0.084165,0.017220,59000,
1468691879,1.001932,0.121402,0.050680,0.017192,59000,
1468691880,0.612950,0.126210,0.093215,0.017220,59000,
1468691880,0.775958,0.102170,0.030770,0.017192,59000,
1468691880,0.785010,0.125008,0.086880,0.017220,59000,
1468691881,0.855708,0.131018,0.063350,0.017192,59000,
1468691881,0.629664,0.141836,0.097740,0.017192,59000,
1468691881,0.767880,0.122604,0.046155,0.017192,59000,
1468691881,0.224968,0.123806,0.083260,0.020281,57000,
1468691882,0.246645,0.115392,0.046155,0.135408,57000,
1468691882,0.493884,0.108180,0.029865,0.017192,57000,
1468691882,0.875043,0.131018,0.114935,0.017192,58000,
1468691883,0.750008,0.125008,0.038915,0.017192,58000,
1468691883,1.450719,0.155058,0.125934,0.017192,58000,
1468691883,0.638411,0.140634,0.089595,0.018420,58000,
1468691883,1.052276,0.109382,0.044345,0.017192,58000,
1468691884,0.039173,0.133422,0.090500,0.074655,58000,
1468691884,0.678496,0.123806,0.067875,0.017192,58000,
1468691884,0.780025,0.123806,0.092310,0.017192,58000,
1468691885,0.930825,0.125008,0.077010,0.017192,58000,
1468691885,1.096208,0.144240,0.099550,0.017192,58000,
1468691885,0.766038,0.137028,0.067875,0.017192,58000,
1468691885,0.664332,0.120200,0.077830,0.017192,57000,
1468691886,0.656032,0.117796,0.055205,0.093632,57000,
1468691886,0.522720,0.112988,0.036200,0.017192,57000,
1468691886,0.790140,0.121402,0.131225,0.017192,59000,
1468691887,0.757640,0.126210,0.029865,0.017192,59000,
1468691887,1.338066,0.131018,0.095930,0.017192,59000,
1468691887,0.667392,0.150250,0.103170,0.017192,59000,
1468691887,0.397813,0.109382,0.093215,0.017192,58000,
