timestamp,armW,memW,g3dW,kfcW,temperature,dumb
1468688402,0.008199,0.131018,0.090500,0.058926,55000,
1468688403,0.253528,0.097362,0.015402,0.095120,55000,
1468688403,1.533300,0.116594,0.033485,0.017192,55000,
1468688403,0.184224,0.118998,0.088690,0.062781,54000,
1468688404,0.215260,0.097362,0.007248,0.112112,54000,
1468688404,1.357875,0.109382,0.001812,0.017192,54000,
1468688404,0.758352,0.112988,0.001812,0.015964,56000,
1468688404,1.500345,0.096160,0.001812,0.017192,56000,
1468688405,0.475308,0.093756,0.001812,0.017220,56000,
1468688405,0.426790,0.105776,0.001812,0.017355,56000,
1468688405,0.008199,0.096160,0.001812,0.060760,54000,
1468688406,0.835920,0.102170,0.001812,0.065190,54000,
1468688406,1.333216,0.144240,0.066065,0.017192,54000,
1468688406,0.681908,0.125008,0.086880,0.017192,56000,
1468688406,0.544705,0.110584,0.079640,0.017192,56000,
1468688407,0.207200,0.133422,0.095930,0.160785,56000,
1468688407,0.634120,0.111786,0.026245,0.017192,56000,
1468688407,1.216613,0.139432,0.077830,0.017192,56000,
1468688408,2.175696,0.147846,0.005436,0.015964,56000,
1468688408,0.971700,0.141836,0.069685,0.017192,56000,
1468688408,1.124478,0.110584,0.057920,0.017192,57000,
1468688408,0.078260,0.129816,0.068780,0.070551,57000,
1468688409,0.311631,0.104574,0.061540,0.101024,57000,
1468688409,0.543600,0.127412,0.026245,0.017220,57000,
1468688409,1.025080,0.118998,0.131225,0.015964,56000,
1468688410,0.799374,0.133422,0.036200,0.017192,56000,
1468688410,0.505199,0.116594,0.090500,0.017220,56000,
1468688410,0.664241,0.108180,0.033485,0.017192,56000,
1468688411,0.055510,0.131018,0.070590,0.123444,56000,
1468688411,0.622611,0.112988,0.050680,0.017192,56000,
1468688411,0.561144,0.129816,0.057015,0.017192,56000,
1468688411,0.803916,0.123806,0.099550,0.017192,56000,
1468688412,1.168608,0.123806,0.035334,0.017192,56000,
1468688412,0.809970,0.141836,0.111315,0.017192,56000,
1468688412,0.993685,0.138230,0.079640,0.017192,56000,
1468688413,0.509852,0.103372,0.047060,0.048831,56000,
1468688413,0.278350,0.131018,0.084165,0.116160,56000,
1468688413,0.498680,0.102170,0.020838,0.017220,56000,
1468688413,0.921360,0.135826,0.101472,0.017192,55000,
1468688414,1.224064,0.140634,0.072480,0.017192,55000,
1468688414,0.580110,0.139432,0.092310,0.017192,55000,
1468688414,0.970448,0.112988,0.047965,0.017192,56000,
1468688415,0.534417,0.123806,0.076020,0.017192,56000,
1468688415,0.717576,0.109382,0.046155,0.017192,56000,
1468688415,0.706860,0.123806,0.086880,0.017192,56000,
1468688415,0.821600,0.122604,0.093215,0.017192,56000,
1468688416,0.979284,0.143038,0.071574,0.017192,56000,
1468688416,1.015580,0.153856,0.121270,0.017192,56000,
1468688416,0.804678,0.129816,0.072400,0.017192,56000,
1468688417,0.618639,0.112988,0.047060,0.017220,56000,
1468688417,0.531690,0.110584,0.023530,0.017192,56000,
1468688417,0.762032,0.129816,0.104190,0.017192,56000,
1468688417,0.818001,0.128614,0.047965,0.017192,56000,
1468688418,1.392300,0.141836,0.076104,0.017192,56000,
1468688418,0.605592,0.139432,0.101360,0.017220,56000,
1468688418,0.900109,0.109382,0.041630,0.017220,56000,
1468688419,0.109200,0.128614,0.089595,0.160245,56000,
1468688419,0.540168,0.104574,0.031675,0.017192,56000,
1468688419,0.800814,0.129816,0.070590,0.015964,56000,
1468688419,0.680043,0.122604,0.095930,0.017192,56000,
1468688420,1.120628,0.147846,0.037146,0.017192,56000,
1468688420,0.902394,0.139432,0.101360,0.017220,56000,
1468688420,0.687225,0.104574,0.058825,0.017192,55000,
1468688421,0.681597,0.111786,0.078735,0.038130,55000,
1468688421,0.523668,0.122604,0.040725,0.017192,55000,
1468688421,0.604520,0.121402,0.116745,0.017220,55000,
1468688421,0.700976,0.138230,0.041630,0.017192,57000,
1468688422,1.393386,0.139432,0.084258,0.017192,57000,
1468688422,0.527956,0.123806,0.096835,0.017192,57000,
1468688422,1.020544,0.112988,0.047965,0.017192,57000,
1468688423,0.480681,0.117796,0.096835,0.017192,57000,
1468688423,0.710704,0.117796,0.041630,0.017192,57000,
1468688423,0.668304,0.123806,0.082355,0.017192,57000,
1468688423,0.878688,0.126210,0.088690,0.017192,58000,
1468688424,0.988089,0.155058,0.060702,0.017192,58000,
1468688424,0.750114,0.137028,0.069685,0.015964,58000,
1468688424,0.384615,0.099766,0.060635,0.063965,55000,
1468688425,0.117306,0.133422,0.077830,0.132770,55000,
1468688425,0.477920,0.103372,0.021744,0.017192,55000,
1468688425,0.882360,0.134624,0.099660,0.017192,55000,
1468688425,0.743736,0.116594,0.054300,0.017192,56000,
1468688426,1.366592,0.144240,0.077010,0.017192,56000,
1468688426,0.538992,0.143038,0.097740,0.017192,56000,
1468688426,0.945584,0.112988,0.046155,0.015964,55000,
1468688427,0.102830,0.118998,0.084165,0.135779,55000,
1468688427,0.296072,0.120200,0.034390,0.055395,55000,
1468688427,0.559002,0.114190,0.054300,0.017220,55000,
1468688427,0.835140,0.125008,0.023556,0.017192,56000,
1468688428,1.335510,0.145442,0.100566,0.017192,56000,
1468688428,0.699748,0.135826,0.088690,0.017192,56000,
1468688428,0.765536,0.108180,0.041630,0.041405,55000,
1468688429,0.008199,0.129816,0.085975,0.195888,55000,
1468688429,0.007288,0.105776,0.028960,0.138296,55000,
1468688429,0.079378,0.139432,0.095930,0.153856,55000,
1468688429,0.741020,0.120200,0.080545,0.017192,55000,
1468688430,1.179354,0.139432,0.059796,0.017192,55000,
1468688430,0.875000,0.143038,0.102265,0.015964,55000,
1468688430,1.020690,0.116594,0.058825,0.017192,55000,
1468688431,0.198968,0.104574,0.050680,0.103488,55000,
1468688431,0.475650,0.118998,0.045250,0.017192,55000,
1468688431,1.037577,0.126210,0.116745,0.017192,55000,
1468688431,0.799067,0.137028,0.028055,0.017192,56000,
1468688432,1.304136,0.144240,0.090600,0.017192,56000,
1468688432,0.581151,0.125008,0.097740,0.017192,56000,
1468688432,0.712155,0.109382,0.031675,0.026686,55000,
1468688433,0.023686,0.127412,0.092310,0.173460,55000,
1468688433,0.391004,0.105776,0.027150,0.017220,55000,
1468688433,0.699906,0.129816,0.076925,0.017192,55000,
1468688433,0.851326,0.121402,0.084165,0.015990,56000,
1468688434,0.970280,0.143038,0.030804,0.017192,56000,
1468688434,0.876711,0.133422,0.116745,0.017192,56000,
1468688434,0.590108,0.128614,0.066970,0.017220,57000,
1468688435,0.851262,0.102170,0.066970,0.017192,57000,
