timestamp,armW,memW,g3dW,kfcW,temperature,dumb
1466613352,0.303030,0.125008,0.094120,0.017220,59000,
1466613352,0.562374,0.102170,0.016290,0.017220,59000,
1466613353,1.133201,0.104574,0.021720,0.017220,59000,
1466613353,0.125685,0.097362,0.002715,0.030305,59000,
1466613353,0.008199,0.092554,0.002715,0.144958,59000,
1466613353,0.454581,0.103372,0.002718,0.075152,58000,
1466613354,0.859792,0.108180,0.002718,0.017220,58000,
1466613354,1.155616,0.092554,0.002718,0.017220,58000,
1466613354,1.007960,0.092554,0.002718,0.017220,59000,
1466613355,0.524400,0.100968,0.002718,0.018390,59000,
1466613355,0.028241,0.091352,0.002715,0.034408,59000,
1466613355,0.008199,0.094958,0.002718,0.100737,59000,
1466613355,1.481760,0.123806,0.038915,0.017220,59000,
1466613356,0.470876,0.120200,0.103170,0.032424,59000,
1466613356,0.008199,0.099766,0.065016,0.023700,59000,
1466613356,0.008199,0.121402,0.100455,0.028350,56000,
1466613357,0.008199,0.094958,0.061540,0.019845,56000,
1466613357,0.008199,0.090150,0.002715,0.014175,56000,
1466613357,0.008199,0.090150,0.002718,0.014175,56000,
1466613357,0.008199,0.091352,0.001810,0.016065,55000,
1466613358,0.008199,0.088948,0.002718,0.014175,55000,
1466613358,0.008199,0.090150,0.001810,0.017955,55000,
1466613358,0.008199,0.088948,0.001812,0.011340,55000,
1466613359,0.008199,0.090150,0.002718,0.011340,55000,
1466613359,0.007288,0.092554,0.001810,0.016065,55000,
1466613359,0.007288,0.090150,0.001810,0.014175,55000,
1466613360,0.007288,0.088948,0.001810,0.012285,55000,
1466613360,0.007288,0.094958,0.001812,0.021735,55000,
1466613360,0.007288,0.091352,0.002715,0.015120,55000,
1466613360,0.007288,0.094958,0.001810,0.017010,55000,
1466613361,0.007288,0.102170,0.001810,0.051030,55000,
1466613361,0.007288,0.099766,0.001810,0.094500,55000,
1466613361,0.350592,0.094958,0.002715,0.020604,55000,
1466613362,0.047372,0.098564,0.001810,0.095450,55000,
1466613362,0.030063,0.088948,0.001810,0.014175,55000,
1466613362,0.008199,0.088948,0.002715,0.014175,55000,
1466613363,0.007288,0.090150,0.002718,0.014175,55000,
1466613363,0.007288,0.090150,0.001810,0.013230,55000,
1466613363,0.007288,0.090150,0.001810,0.016065,55000,
1466613363,0.007288,0.091352,0.001810,0.011340,54000,
1466613364,0.007288,0.091352,0.002718,0.011340,54000,
1466613364,0.007288,0.090150,0.002715,0.014175,54000,
1466613364,0.007288,0.090150,0.001812,0.014175,54000,
1466613365,0.007288,0.087746,0.001810,0.013230,54000,
1466613365,0.007288,0.090150,0.002715,0.015120,54000,
1466613365,0.007288,0.090150,0.001810,0.012285,54000,
1466613365,0.007288,0.088948,0.001810,0.015120,54000,
1466613366,0.007288,0.090150,0.002718,0.010395,54000,
1466613366,0.007288,0.090150,0.001810,0.009450,54000,
1466613366,0.007288,0.090150,0.001812,0.012285,54000,
1466613367,0.007288,0.090150,0.002718,0.012285,54000,
1466613367,0.007288,0.090150,0.001810,0.013230,54000,
1466613367,0.007288,0.090150,0.001812,0.013230,54000,
1466613368,0.007288,0.090150,0.002718,0.012285,54000,
1466613368,0.007288,0.090150,0.001810,0.013230,54000,
1466613368,0.007288,0.090150,0.001810,0.014175,54000,
1466613368,0.007288,0.090150,0.002718,0.008505,54000,
1466613369,0.007288,0.088948,0.001810,0.014175,54000,
1466613369,0.007288,0.088948,0.001812,0.013230,54000,
1466613369,0.007288,0.088948,0.002715,0.013230,54000,
1466613370,0.007288,0.090150,0.001810,0.012285,54000,
1466613370,0.007288,0.088948,0.002715,0.013230,54000,
1466613370,0.007288,0.091352,0.001810,0.012285,54000,
1466613371,0.007288,0.087746,0.001810,0.012285,54000,
1466613371,0.007288,0.087746,0.002715,0.009450,54000,
1466613371,0.007288,0.090150,0.001810,0.012285,54000,
1466613371,0.007288,0.090150,0.001810,0.012285,54000,
1466613372,0.007288,0.091352,0.001812,0.013230,54000,
1466613372,0.007288,0.088948,0.001810,0.014175,54000,
1466613372,0.007288,0.090150,0.001812,0.013230,54000,
1466613373,0.007288,0.090150,0.001810,0.013230,54000,
1466613373,0.007288,0.088948,0.001812,0.013230,54000,
1466613373,0.007288,0.090150,0.001812,0.011340,54000,
1466613373,0.007288,0.088948,0.002715,0.011340,54000,
1466613374,0.007288,0.088948,0.002715,0.014175,54000,
1466613374,0.007288,0.088948,0.001810,0.013230,54000,
1466613374,0.007288,0.088948,0.002715,0.013230,54000,
1466613375,0.007288,0.090150,0.002715,0.012285,54000,
1466613375,0.007288,0.088948,0.002715,0.012285,54000,
1466613375,0.007288,0.090150,0.001810,0.012285,54000,
1466613376,0.007288,0.090150,0.002718,0.010395,54000,
1466613376,0.007288,0.090150,0.001812,0.009450,54000,
1466613376,0.007288,0.090150,0.002718,0.013230,54000,
1466613376,0.007288,0.088948,0.002715,0.014175,54000,
1466613377,0.007288,0.090150,0.002718,0.014175,54000,
1466613377,0.007288,0.087746,0.002718,0.014175,54000,
1466613377,0.007288,0.090150,0.001810,0.014175,54000,
1466613378,0.007288,0.088948,0.001810,0.013230,54000,
1466613378,0.007288,0.090150,0.002718,0.014175,54000,
1466613378,0.007288,0.090150,0.002718,0.009450,54000,
1466613379,0.007288,0.091352,0.002715,0.014175,54000,
1466613379,0.007288,0.090150,0.002715,0.013230,54000,
1466613379,0.007288,0.088948,0.001810,0.013230,54000,
1466613379,0.007288,0.090150,0.002715,0.013230,54000,
1466613380,0.007288,0.090150,0.002715,0.012285,54000,
1466613380,0.007288,0.087746,0.002718,0.012285,54000,
1466613380,0.007288,0.090150,0.002715,0.012285,54000,
1466613381,0.007288,0.091352,0.001810,0.009460,54000,
1466613381,0.007288,0.088948,0.002718,0.012285,54000,
1466613381,0.007288,0.090150,0.002715,0.013230,54000,
1466613381,0.007288,0.090150,0.002718,0.013230,54000,
1466613382,0.007288,0.088948,0.001812,0.014175,54000,
1466613382,0.007288,0.090150,0.001810,0.014175,54000,
1466613382,0.007288,0.090150,0.001812,0.014175,54000,
1466613383,0.007288,0.091352,0.002715,0.014175,54000,
1466613383,0.007288,0.087746,0.001810,0.010395,54000,
1466613383,0.007288,0.087746,0.002715,0.011340,54000,
1466613384,0.007288,0.090150,0.001810,0.013244,54000,
1466613384,0.007288,0.090150,0.002715,0.013230,54000,
1466613384,0.007288,0.090150,0.002718,0.013230,54000,
1466613384,0.007288,0.088948,0.002715,0.013230,54000,
1466613385,0.007288,0.090150,0.002718,0.013230,54000,
1466613385,0.007288,0.090150,0.002715,0.013230,54000,
1466613385,0.007288,0.090150,0.002715,0.012285,54000,
1466613386,0.007288,0.090150,0.002718,0.009450,54000,
1466613386,0.007288,0.088948,0.002718,0.014175,54000,
1466613386,0.007288,0.088948,0.001810,0.014175,54000,
1466613386,0.007288,0.088948,0.002718,0.013230,54000,
1466613387,0.007288,0.090150,0.002715,0.014175,54000,
1466613387,0.007288,0.090150,0.002715,0.013230,54000,
1466613387,0.007288,0.088948,0.002718,0.014175,54000,
1466613388,0.007288,0.091352,0.002718,0.013230,54000,
1466613388,0.007288,0.091352,0.002715,0.008514,54000,
1466613388,0.007288,0.090150,0.002718,0.014175,54000,
1466613389,0.007288,0.090150,0.002715,0.013230,54000,
1466613389,0.007288,0.090150,0.002715,0.013230,54000,
1466613389,0.007288,0.088948,0.002715,0.013230,54000,
1466613389,0.007288,0.090150,0.002718,0.012285,54000,
1466613390,0.007288,0.091352,0.002718,0.013230,54000,
1466613390,0.007288,0.090150,0.002715,0.013230,54000,
1466613390,0.007288,0.088948,0.002718,0.009450,54000,
1466613391,0.007288,0.088948,0.002718,0.011352,54000,
1466613391,0.007288,0.090150,0.002715,0.014175,54000,
1466613391,0.007288,0.088948,0.002715,0.014175,54000,
1466613392,0.007288,0.088948,0.002715,0.014175,54000,
1466613392,0.007288,0.090150,0.002718,0.013230,54000,
1466613392,0.007288,0.088948,0.002718,0.013230,54000,
1466613392,0.007288,0.088948,0.002715,0.013230,54000,
1466613393,0.007288,0.088948,0.002715,0.010395,54000,
1466613393,0.007288,0.090150,0.002718,0.010395,54000,
1466613393,0.007288,0.090150,0.002715,0.013230,54000,
1466613394,0.007288,0.088948,0.002718,0.012285,54000,
1466613394,0.007288,0.091352,0.002715,0.013230,54000,
1466613394,0.007288,0.090150,0.002718,0.013230,54000,
1466613394,0.007288,0.088948,0.002715,0.012285,54000,
1466613395,0.007288,0.090150,0.002715,0.013230,54000,
1466613395,0.007288,0.088948,0.001812,0.012285,54000,
1466613395,0.007288,0.088948,0.002715,0.008505,54000,
1466613396,0.007288,0.090150,0.002718,0.013230,54000,
1466613396,0.007288,0.090150,0.002718,0.013230,54000,
1466613396,0.007288,0.090150,0.002718,0.014175,54000,
1466613397,0.007288,0.090150,0.002718,0.013230,54000,
1466613397,0.007288,0.090150,0.002715,0.013230,54000,
1466613397,0.007288,0.090150,0.002718,0.013230,54000,
1466613397,0.007288,0.090150,0.002715,0.013230,54000,
1466613398,0.007288,0.088948,0.002718,0.007560,54000,
1466613398,0.007288,0.090150,0.002715,0.013230,54000,
1466613398,0.007288,0.090150,0.002715,0.013230,54000,
1466613399,0.007288,0.088948,0.002715,0.012285,54000,
1466613399,0.007288,0.091352,0.002718,0.012285,54000,
1466613399,0.007288,0.090150,0.002715,0.013230,54000,
1466613400,0.007288,0.088948,0.002718,0.013230,54000,
1466613400,0.007288,0.090150,0.002715,0.013230,54000,
1466613400,0.007288,0.090150,0.002718,0.009450,54000,
1466613400,0.007288,0.090150,0.002715,0.011340,54000,
1466613401,0.007288,0.088948,0.002718,0.014175,54000,
1466613401,0.007288,0.090150,0.002715,0.014175,54000,
1466613401,0.007288,0.088948,0.002715,0.014175,54000,
1466613402,0.007288,0.090150,0.002715,0.014175,54000,
1466613402,0.007288,0.087746,0.002715,0.013230,54000,
1466613402,0.007288,0.090150,0.002715,0.013230,54000,
1466613402,0.007288,0.090150,0.002715,0.010395,54000,
1466613403,0.007288,0.090150,0.002718,0.011340,54000,
1466613403,0.007288,0.088948,0.002715,0.013230,54000,
1466613403,0.007288,0.090150,0.002718,0.013230,54000,
1466613404,0.007288,0.090150,0.002715,0.014175,54000,
1466613404,0.007288,0.090150,0.002715,0.014175,54000,
1466613404,0.007288,0.088948,0.002718,0.014175,54000,
1466613405,0.007288,0.088948,0.002715,0.014175,54000,
1466613405,0.007288,0.090150,0.002718,0.013230,54000,
1466613405,0.007288,0.090150,0.002718,0.009450,54000,
1466613405,0.007288,0.090150,0.002718,0.014175,54000,
1466613406,0.007288,0.090150,0.002715,0.013230,54000,
1466613406,0.007288,0.090150,0.002718,0.014175,54000,
1466613406,0.007288,0.091352,0.002718,0.014175,54000,
1466613407,0.007288,0.091352,0.002715,0.013230,54000,
1466613407,0.007288,0.090150,0.002715,0.013230,54000,
1466613407,0.007288,0.088948,0.002715,0.013230,54000,
1466613408,0.007288,0.087746,0.002718,0.010395,54000,
1466613408,0.007288,0.088948,0.002718,0.012285,54000,
1466613408,0.007288,0.088948,0.002715,0.014175,54000,
1466613408,0.007288,0.088948,0.002718,0.014175,54000,
1466613409,0.007288,0.088948,0.002715,0.014175,54000,
1466613409,0.007288,0.090150,0.002718,0.014175,54000,
1466613409,0.007288,0.088948,0.002718,0.014175,54000,
1466613410,0.007288,0.091352,0.002718,0.013230,54000,
1466613410,0.007288,0.090150,0.002715,0.011340,54000,
1466613410,0.007288,0.091352,0.002715,0.011340,54000,
1466613410,0.007288,0.090150,0.002715,0.013230,54000,
1466613411,0.007288,0.090150,0.002718,0.013230,54000,
1466613411,0.007288,0.088948,0.002718,0.013230,54000,
1466613411,0.007288,0.090150,0.002718,0.013230,54000,
1466613412,0.007288,0.088948,0.002718,0.014175,54000,
1466613412,0.007288,0.088948,0.002718,0.014175,54000,
1466613412,0.007288,0.091352,0.002718,0.013230,54000,
1466613413,0.007288,0.088948,0.002718,0.008505,54000,
1466613413,0.007288,0.088948,0.002715,0.014175,54000,
1466613413,0.007288,0.090150,0.002715,0.014190,54000,
1466613413,0.007288,0.087746,0.002715,0.013230,54000,
1466613414,0.007288,0.088948,0.002715,0.012285,54000,
1466613414,0.007288,0.088948,0.002715,0.012285,54000,
1466613414,0.007288,0.090150,0.002715,0.012285,54000,
1466613415,0.007288,0.088948,0.002718,0.012285,54000,
1466613415,0.007288,0.090150,0.002718,0.009460,54000,
1466613415,0.007288,0.090150,0.002718,0.012285,54000,
1466613416,0.007288,0.090150,0.002715,0.013230,54000,
1466613416,0.007288,0.090150,0.002718,0.014175,54000,
1466613416,0.007288,0.088948,0.002715,0.014175,54000,
1466613416,0.007288,0.090150,0.002715,0.014175,54000,
1466613417,0.007288,0.088948,0.002718,0.013230,54000,
1466613417,0.007288,0.090150,0.002715,0.013230,54000,
1466613417,0.007288,0.090150,0.002718,0.010395,54000,
1466613418,0.007288,0.090150,0.002715,0.010395,54000,
1466613418,0.007288,0.090150,0.002718,0.013230,54000,
1466613418,0.007288,0.091352,0.002718,0.014175,54000,
1466613418,0.007288,0.090150,0.002718,0.013230,54000,
1466613419,0.007288,0.090150,0.002715,0.013230,54000,
1466613419,0.007288,0.090150,0.002715,0.013230,54000,
1466613419,0.007288,0.088948,0.002718,0.013230,54000,
1466613420,0.007288,0.088948,0.002718,0.013230,54000,
1466613420,0.007288,0.093756,0.002715,0.017010,54000,
1466613420,0.008199,0.090150,0.002718,0.014175,54000,
1466613421,0.007288,0.090150,0.002715,0.013230,54000,
1466613421,0.007288,0.088948,0.002715,0.013230,54000,
1466613421,0.007288,0.090150,0.002715,0.013230,54000,
1466613421,0.007288,0.090150,0.002718,0.014175,54000,
1466613422,0.007288,0.090150,0.002715,0.012285,54000,
1466613422,0.007288,0.090150,0.002715,0.012298,54000,
1466613422,0.007288,0.090150,0.002715,0.009450,54000,
1466613423,0.007288,0.088948,0.002715,0.012285,54000,
1466613423,0.007288,0.090150,0.002715,0.013230,54000,
1466613423,0.007288,0.090150,0.002715,0.014175,54000,
1466613423,0.007288,0.090150,0.002715,0.014175,54000,
1466613424,0.007288,0.090150,0.002718,0.014175,54000,
1466613424,0.007288,0.090150,0.002715,0.014175,54000,
1466613424,0.007288,0.088948,0.002715,0.014175,54000,
1466613425,0.007288,0.090150,0.002715,0.010395,54000,
1466613425,0.007288,0.088948,0.002715,0.014175,54000,
1466613425,0.007288,0.090150,0.002715,0.014175,54000,
1466613426,0.007288,0.090150,0.002715,0.013230,54000,
1466613426,0.007288,0.088948,0.002715,0.012285,54000,
1466613426,0.007288,0.090150,0.002715,0.012285,54000,
1466613426,0.007288,0.090150,0.002715,0.013230,55000,
1466613427,0.007288,0.088948,0.002715,0.013230,55000,
1466613427,0.007288,0.090150,0.002715,0.013230,55000,
1466613427,0.007288,0.090150,0.002715,0.008505,54000,
1466613428,0.007288,0.091352,0.002715,0.014175,54000,
1466613428,0.007288,0.090150,0.002718,0.015120,54000,
1466613428,0.007288,0.091352,0.002718,0.014175,54000,
1466613429,0.007288,0.088948,0.002718,0.014175,55000,
1466613429,0.007288,0.088948,0.002718,0.013230,55000,
1466613429,0.007288,0.090150,0.002715,0.013230,55000,
1466613429,0.007288,0.088948,0.002715,0.012285,55000,
1466613430,0.007288,0.088948,0.002718,0.008505,55000,
1466613430,0.007288,0.090150,0.002715,0.013230,55000,
1466613430,0.008199,0.091352,0.002715,0.013230,55000,
1466613431,0.007288,0.090150,0.002718,0.014175,55000,
1466613431,0.008199,0.090150,0.002718,0.014175,55000,
1466613431,0.007288,0.090150,0.002715,0.014175,55000,
1466613431,0.007288,0.088948,0.002715,0.013230,55000,
1466613432,0.007288,0.088948,0.002715,0.013230,55000,
1466613432,0.007288,0.088948,0.002718,0.011340,55000,
1466613432,0.008199,0.090150,0.002718,0.011352,55000,
1466613433,0.007288,0.088948,0.002715,0.013230,55000,
1466613433,0.007288,0.090150,0.002718,0.014175,55000,
1466613433,0.007288,0.090150,0.002715,0.013230,55000,
1466613434,0.007288,0.090150,0.002715,0.013244,55000,
1466613434,0.007288,0.090150,0.002715,0.013230,55000,
1466613434,0.007288,0.090150,0.002718,0.013230,55000,
1466613434,0.007288,0.088948,0.002715,0.012285,55000,
1466613435,0.007288,0.090150,0.002715,0.008505,55000,
1466613435,0.007288,0.090150,0.002715,0.014175,55000,
