timestamp,armW,memW,g3dW,kfcW,temperature,dumb
1466602311,0.008199,0.126210,0.054300,0.080325,56000,
1466602311,0.348940,0.097362,0.002715,0.155610,56000,
1466602312,0.783920,0.106978,0.039820,0.017220,56000,
1466602312,0.482206,0.121402,0.105885,0.017220,56000,
1466602312,1.000776,0.106978,0.009050,0.017220,58000,
1466602313,0.602934,0.098564,0.002718,0.017220,58000,
1466602313,0.017309,0.104574,0.002715,0.043212,58000,
1466602313,0.298936,0.097362,0.002718,0.093644,58000,
1466602313,1.608427,0.120200,0.035295,0.017220,58000,
1466602314,0.286750,0.133422,0.103170,0.017192,58000,
1466602314,0.008199,0.122604,0.105885,0.033075,58000,
1466602314,0.008199,0.099766,0.038915,0.015120,55000,
1466602315,0.008199,0.086544,0.002715,0.014175,55000,
1466602315,0.008199,0.086544,0.002718,0.013230,55000,
1466602315,0.008199,0.085342,0.002715,0.012285,55000,
1466602315,0.007288,0.086544,0.001812,0.013230,55000,
1466602316,0.008199,0.087746,0.002718,0.017955,55000,
1466602316,0.007288,0.087746,0.001810,0.010395,55000,
1466602316,0.007288,0.086544,0.001810,0.014175,54000,
1466602317,0.007288,0.088948,0.001810,0.016065,54000,
1466602317,0.007288,0.086544,0.001810,0.013230,54000,
1466602317,0.007288,0.086544,0.001810,0.014175,54000,
1466602318,0.007288,0.086544,0.001810,0.014175,54000,
1466602318,0.007288,0.086544,0.001810,0.014175,54000,
1466602318,0.007288,0.084140,0.001812,0.014175,54000,
1466602318,0.007288,0.087746,0.001810,0.012285,54000,
1466602319,0.007288,0.085342,0.001810,0.013230,54000,
1466602319,0.007288,0.086544,0.001812,0.013230,54000,
1466602319,0.007288,0.086544,0.001810,0.013230,54000,
1466602320,0.007288,0.086544,0.001810,0.014175,54000,
1466602320,0.007288,0.088948,0.001812,0.018900,54000,
1466602320,0.007288,0.087746,0.001812,0.012285,54000,
1466602321,0.007288,0.094958,0.001810,0.035910,54000,
1466602321,0.007288,0.097362,0.001812,0.058860,54000,
1466602321,0.296866,0.091352,0.001812,0.075091,54000,
1466602321,0.092112,0.097362,0.001812,0.099624,58000,
1466602322,0.073710,0.087746,0.001812,0.017697,58000,
1466602322,0.007288,0.087746,0.001812,0.016082,58000,
1466602322,0.007288,0.087746,0.001812,0.016082,54000,
1466602323,0.007288,0.086544,0.001810,0.014175,54000,
1466602323,0.007288,0.087746,0.001810,0.014190,54000,
1466602323,0.007288,0.087746,0.001810,0.014175,54000,
1466602323,0.007288,0.087746,0.001812,0.017010,54000,
1466602324,0.007288,0.086544,0.001810,0.009460,54000,
1466602324,0.007288,0.086544,0.001810,0.014175,54000,
1466602324,0.007288,0.087746,0.001810,0.013230,54000,
1466602325,0.007288,0.085342,0.001810,0.014175,54000,
1466602325,0.007288,0.086544,0.001810,0.016065,54000,
1466602325,0.007288,0.086544,0.001810,0.012285,54000,
1466602326,0.007288,0.086544,0.001812,0.012285,54000,
1466602326,0.007288,0.086544,0.001810,0.014175,54000,
1466602326,0.007288,0.086544,0.001810,0.009450,54000,
1466602326,0.007288,0.085342,0.001812,0.012285,54000,
1466602327,0.007288,0.086544,0.001810,0.014175,54000,
1466602327,0.007288,0.087746,0.001810,0.014175,54000,
1466602327,0.007288,0.086544,0.001810,0.014175,53000,
1466602328,0.007288,0.085342,0.001810,0.013230,53000,
1466602328,0.007288,0.085342,0.001810,0.013230,53000,
1466602328,0.007288,0.086544,0.001810,0.012285,53000,
1466602328,0.007288,0.086544,0.002715,0.010395,53000,
1466602329,0.007288,0.086544,0.001810,0.010395,53000,
1466602329,0.007288,0.086544,0.001810,0.013230,53000,
1466602329,0.007288,0.085342,0.001810,0.013230,53000,
1466602330,0.007288,0.086544,0.001812,0.013230,53000,
1466602330,0.007288,0.085342,0.001812,0.014175,53000,
1466602330,0.007288,0.086544,0.001812,0.013230,53000,
1466602331,0.007288,0.086544,0.001810,0.013230,53000,
1466602331,0.007288,0.085342,0.001810,0.014175,53000,
1466602331,0.007288,0.086544,0.001812,0.008505,53000,
1466602331,0.007288,0.086544,0.001812,0.013230,53000,
1466602332,0.007288,0.085342,0.001810,0.013230,53000,
1466602332,0.007288,0.086544,0.001810,0.012285,53000,
1466602332,0.007288,0.086544,0.001810,0.012285,53000,
1466602333,0.007288,0.087746,0.001810,0.013230,53000,
1466602333,0.007288,0.085342,0.001810,0.013230,53000,
1466602333,0.007288,0.086544,0.002715,0.012285,53000,
1466602333,0.007288,0.086544,0.001812,0.009450,53000,
1466602334,0.007288,0.085342,0.001810,0.011340,53000,
1466602334,0.007288,0.086544,0.001812,0.013230,53000,
1466602334,0.007288,0.086544,0.001810,0.014175,53000,
1466602335,0.007288,0.086544,0.001810,0.013230,53000,
1466602335,0.007288,0.086544,0.001810,0.014175,53000,
1466602335,0.007288,0.086544,0.001810,0.012285,53000,
1466602336,0.007288,0.086544,0.001810,0.014175,53000,
1466602336,0.007288,0.085342,0.001810,0.010395,53000,
1466602336,0.007288,0.086544,0.001810,0.010395,53000,
1466602336,0.007288,0.085342,0.001812,0.013230,53000,
1466602337,0.007288,0.086544,0.001810,0.012285,53000,
1466602337,0.007288,0.085342,0.001810,0.012285,53000,
1466602337,0.007288,0.086544,0.002715,0.013230,53000,
1466602338,0.007288,0.086544,0.001810,0.013230,53000,
1466602338,0.007288,0.086544,0.001810,0.013230,53000,
1466602338,0.007288,0.087746,0.001810,0.013244,53000,
1466602339,0.007288,0.086544,0.001810,0.008505,53000,
1466602339,0.007288,0.085342,0.001812,0.014175,53000,
1466602339,0.007288,0.086544,0.001810,0.014175,53000,
1466602339,0.007288,0.085342,0.001810,0.014175,53000,
1466602340,0.007288,0.085342,0.001810,0.012285,53000,
1466602340,0.007288,0.086544,0.001812,0.012285,53000,
1466602340,0.007288,0.085342,0.001812,0.012285,53000,
1466602341,0.007288,0.086544,0.001810,0.012285,53000,
1466602341,0.007288,0.087746,0.001810,0.009450,53000,
1466602341,0.007288,0.086544,0.002715,0.013230,53000,
1466602341,0.007288,0.086544,0.001810,0.013230,53000,
1466602342,0.007288,0.086544,0.001810,0.014175,53000,
1466602342,0.007288,0.087746,0.001810,0.014175,53000,
1466602342,0.007288,0.085342,0.002715,0.014175,53000,
1466602343,0.007288,0.086544,0.001810,0.014175,53000,
1466602343,0.007288,0.085342,0.001810,0.013230,53000,
1466602343,0.007288,0.085342,0.001810,0.010395,53000,
1466602344,0.007288,0.087746,0.001810,0.011352,53000,
1466602344,0.007288,0.086544,0.001810,0.013230,53000,
1466602344,0.007288,0.086544,0.002718,0.013230,53000,
1466602344,0.007288,0.086544,0.001812,0.013230,53000,
1466602345,0.007288,0.085342,0.001810,0.012285,53000,
1466602345,0.007288,0.085342,0.002715,0.013230,53000,
1466602345,0.007288,0.085342,0.001810,0.013230,54000,
1466602346,0.007288,0.086544,0.001810,0.012285,54000,
1466602346,0.007288,0.085342,0.001812,0.009450,54000,
1466602346,0.007288,0.085342,0.001810,0.013230,54000,
1466602347,0.007288,0.087746,0.002715,0.014190,54000,
1466602347,0.007288,0.086544,0.002715,0.014175,54000,
1466602347,0.007288,0.086544,0.002718,0.014175,54000,
1466602347,0.007288,0.086544,0.001810,0.013230,54000,
1466602348,0.007288,0.085342,0.002715,0.013230,54000,
