timestamp,armW,memW,g3dW,kfcW,temperature,dumb
1466596072,0.008199,0.103372,0.004525,0.059210,57000,
1466596073,0.311563,0.100968,0.024435,0.094786,57000,
1466596073,1.364587,0.125008,0.106790,0.017220,57000,
1466596073,0.190855,0.112988,0.106790,0.062699,57000,
1466596073,0.188254,0.098564,0.019910,0.140184,57000,
1466596074,0.573804,0.100968,0.002715,0.017220,57000,
1466596074,0.539352,0.105776,0.002715,0.017220,57000,
1466596074,0.050960,0.100968,0.002715,0.033632,59000,
1466596075,0.447190,0.122604,0.002715,0.095680,59000,
1466596075,1.231373,0.126210,0.076020,0.017220,59000,
1466596075,0.008199,0.122604,0.071495,0.027405,59000,
1466596075,0.008199,0.092554,0.095025,0.029295,56000,
1466596076,0.008199,0.086544,0.020815,0.011340,56000,
1466596076,0.008199,0.087746,0.002718,0.012285,56000,
1466596076,0.008199,0.086544,0.002718,0.014175,55000,
1466596077,0.008199,0.086544,0.002718,0.014175,55000,
1466596077,0.008199,0.087746,0.001810,0.014175,55000,
1466596077,0.008199,0.086544,0.002715,0.017010,55000,
1466596077,0.007288,0.086544,0.002718,0.013230,55000,
1466596078,0.007288,0.085342,0.001812,0.015120,55000,
1466596078,0.007288,0.086544,0.001810,0.009450,55000,
1466596078,0.007288,0.087746,0.002715,0.011340,55000,
1466596079,0.007288,0.086544,0.001810,0.013230,55000,
1466596079,0.007288,0.087746,0.002715,0.016065,55000,
1466596079,0.007288,0.087746,0.001812,0.013230,54000,
1466596080,0.007288,0.085342,0.001810,0.013230,54000,
1466596080,0.007288,0.088948,0.001812,0.021735,54000,
1466596080,0.007288,0.086544,0.001810,0.012285,54000,
1466596080,0.007288,0.087746,0.002715,0.010395,54000,
1466596081,0.007288,0.092554,0.001810,0.033075,54000,
1466596081,0.007288,0.096160,0.001810,0.054880,54000,
1466596081,0.343980,0.092554,0.001810,0.080080,55000,
1466596082,0.101676,0.094958,0.002715,0.067320,55000,
1466596082,0.646112,0.105776,0.002715,0.054164,55000,
1466596082,0.139826,0.088948,0.001810,0.017115,55000,
1466596082,0.008199,0.087746,0.002718,0.016065,55000,
1466596083,0.007288,0.086544,0.002715,0.014190,55000,
1466596083,0.007288,0.087746,0.001810,0.014175,55000,
1466596083,0.007288,0.087746,0.001810,0.012298,54000,
1466596084,0.007288,0.087746,0.002715,0.011352,54000,
1466596084,0.007288,0.086544,0.001810,0.014190,54000,
