timestamp,armW,memW,g3dW,kfcW,temperature,dumb
1466606634,0.273132,0.097362,0.002715,0.042435,56000,
1466606634,0.153450,0.108180,0.022625,0.088504,56000,
1466606635,0.975919,0.103372,0.002715,0.017192,56000,
1466606635,0.060060,0.096160,0.002718,0.038120,56000,
1466606635,0.104525,0.105776,0.002715,0.087690,60000,
1466606636,0.884030,0.102170,0.002715,0.017192,60000,
1466606636,0.589798,0.100968,0.002715,0.017640,60000,
1466606636,0.013665,0.097362,0.002715,0.040549,56000,
1466606636,0.008199,0.111786,0.011765,0.103922,56000,
1466606637,1.060740,0.133422,0.097740,0.017192,56000,
1466606637,0.008199,0.120200,0.083076,0.026220,57000,
1466606637,0.008199,0.104574,0.093215,0.034965,57000,
1466606638,0.008199,0.087746,0.006335,0.014175,57000,
1466606638,0.008199,0.087746,0.002715,0.013230,57000,
1466606638,0.008199,0.087746,0.002715,0.011340,56000,
1466606638,0.008199,0.086544,0.002715,0.011340,56000,
1466606639,0.008199,0.086544,0.002715,0.012285,56000,
1466606639,0.008199,0.086544,0.002715,0.013230,56000,
1466606639,0.008199,0.086544,0.002715,0.012285,56000,
1466606640,0.008199,0.088948,0.002715,0.016065,56000,
1466606640,0.008199,0.088948,0.002715,0.017955,56000,
1466606640,0.008199,0.086544,0.002718,0.015120,55000,
1466606641,0.008199,0.088948,0.002715,0.016065,55000,
1466606641,0.008199,0.094958,0.002715,0.041492,55000,
1466606641,0.008199,0.097362,0.002715,0.100096,56000,
1466606641,0.356570,0.091352,0.002715,0.017192,56000,
1466606642,0.440376,0.092554,0.002715,0.017192,56000,
1466606642,1.097146,0.108180,0.002718,0.018180,56000,
1466606642,0.008199,0.087746,0.002718,0.014175,56000,
1466606643,0.008199,0.087746,0.002715,0.013230,56000,
1466606643,0.008199,0.087746,0.002718,0.014175,56000,
1466606643,0.008199,0.086544,0.002715,0.013230,56000,
1466606643,0.008199,0.087746,0.002718,0.010395,56000,
1466606644,0.008199,0.086544,0.002715,0.011340,56000,
1466606644,0.008199,0.087746,0.002715,0.014175,55000,
1466606644,0.008199,0.087746,0.002718,0.014175,55000,
1466606645,0.008199,0.087746,0.002715,0.014175,55000,
1466606645,0.008199,0.087746,0.002715,0.016065,55000,
1466606645,0.008199,0.087746,0.002715,0.014175,55000,
1466606646,0.008199,0.087746,0.002715,0.012285,55000,
1466606646,0.008199,0.087746,0.002718,0.010395,55000,
1466606646,0.008199,0.085342,0.002718,0.011340,55000,
1466606646,0.008199,0.087746,0.002718,0.014175,55000,
1466606647,0.008199,0.088948,0.002718,0.016065,55000,
1466606647,0.008199,0.086544,0.002715,0.013230,55000,
1466606647,0.008199,0.086544,0.002718,0.013230,55000,
1466606648,0.008199,0.086544,0.002718,0.014175,55000,
1466606648,0.008199,0.086544,0.002715,0.013230,55000,
1466606648,0.008199,0.087746,0.002718,0.013230,55000,
1466606649,0.008199,0.086544,0.002715,0.008505,55000,
1466606649,0.008199,0.087746,0.002715,0.014175,55000,
1466606649,0.007288,0.085342,0.002715,0.014175,55000,
1466606649,0.008199,0.085342,0.002715,0.014175,55000,
1466606650,0.008199,0.087746,0.002715,0.014175,55000,
1466606650,0.007288,0.086544,0.002718,0.014175,55000,
1466606650,0.007288,0.086544,0.002718,0.013230,55000,
1466606651,0.008199,0.087746,0.002715,0.014175,55000,
1466606651,0.008199,0.086544,0.002715,0.008505,55000,
1466606651,0.008199,0.086544,0.002718,0.013230,55000,
1466606651,0.008199,0.086544,0.002715,0.014175,55000,
1466606652,0.008199,0.086544,0.002715,0.013230,55000,
1466606652,0.007288,0.086544,0.002715,0.013230,55000,
1466606652,0.008199,0.085342,0.002718,0.013230,55000,
1466606653,0.007288,0.086544,0.002715,0.013230,55000,
1466606653,0.008199,0.086544,0.002715,0.013230,55000,
1466606653,0.008199,0.086544,0.002715,0.009450,55000,
1466606654,0.008199,0.086544,0.002715,0.012285,55000,
1466606654,0.008199,0.087746,0.002715,0.014175,55000,
1466606654,0.008199,0.087746,0.002715,0.014175,55000,
1466606654,0.008199,0.086544,0.002715,0.014175,55000,
1466606655,0.007288,0.086544,0.002715,0.014175,55000,
1466606655,0.008199,0.086544,0.002715,0.014175,55000,
1466606655,0.008199,0.085342,0.002718,0.014175,55000,
1466606656,0.008199,0.087746,0.002715,0.010395,55000,
1466606656,0.008199,0.087746,0.002715,0.011340,55000,
1466606656,0.008199,0.086544,0.002715,0.013230,55000,
1466606657,0.007288,0.085342,0.002715,0.014175,55000,
1466606657,0.008199,0.086544,0.002715,0.013230,55000,
1466606657,0.008199,0.086544,0.002718,0.012285,55000,
1466606657,0.008199,0.086544,0.002715,0.013230,55000,
1466606658,0.008199,0.086544,0.002718,0.013230,55000,
1466606658,0.007288,0.086544,0.002715,0.013230,55000,
1466606658,0.008199,0.085342,0.002715,0.009450,55000,
1466606659,0.008199,0.087746,0.002715,0.017955,55000,
1466606659,0.007288,0.085342,0.002715,0.013230,55000,
1466606659,0.008199,0.087746,0.002715,0.014175,55000,
1466606659,0.008199,0.086544,0.002718,0.014175,55000,
1466606660,0.008199,0.086544,0.002715,0.014175,55000,
1466606660,0.008199,0.087746,0.002718,0.013230,55000,
1466606660,0.008199,0.085342,0.002715,0.012285,55000,
1466606661,0.007288,0.085342,0.002715,0.008505,55000,
1466606661,0.007288,0.086544,0.002718,0.013230,55000,
1466606661,0.007288,0.085342,0.002715,0.013230,55000,
1466606662,0.008199,0.085342,0.002718,0.014175,55000,
1466606662,0.008199,0.086544,0.002715,0.013230,55000,
1466606662,0.008199,0.086544,0.002715,0.013230,55000,
1466606662,0.008199,0.086544,0.002715,0.013230,55000,
1466606663,0.008199,0.087746,0.002718,0.013230,55000,
1466606663,0.007288,0.085342,0.002715,0.010395,55000,
1466606663,0.008199,0.086544,0.002718,0.011340,55000,
1466606664,0.008199,0.086544,0.002718,0.014175,55000,
1466606664,0.008199,0.085342,0.002715,0.014175,55000,
1466606664,0.008199,0.087746,0.002715,0.014175,55000,
1466606665,0.008199,0.084140,0.002715,0.013230,55000,
1466606665,0.007288,0.086544,0.002715,0.013230,55000,
1466606665,0.008199,0.086544,0.002715,0.012285,55000,
