,duration,energy_arm,energy_g3d,energy_kfc,energy_mem,experiment,temperature,timestamp
0,773,84.354623,1.78035183333,28.4814429167,72.6971603333,blank-app,0.0,2016_05_17-20_14
1,772,85.40492725,1.63626083333,28.80252875,72.6563925,blank-app,0.0,2016_05_17-21_23
2,771,90.8024724167,3.86984741667,29.3178651667,72.716793,blank-app,0.0,2016_05_17-22_31
3,772,86.0122894167,1.542667,28.7047236667,72.536493,blank-app,0.0,2016_05_17-23_39
4,773,85.03197725,1.71513341667,29.1281730833,72.6737213333,blank-app,0.0,2016_05_18-00_48
5,774,85.9441395,1.71492158333,28.9195969167,72.7840048333,blank-app,0.0,2016_05_18-01_56
6,773,87.3576435833,1.90449608333,29.1034359167,72.7695808333,blank-app,0.0,2016_05_18-03_04
7,773,86.7207906667,1.98293791667,29.0523036667,72.6408666667,blank-app,0.0,2016_05_18-04_13
8,773,84.399624,1.9255085,29.0454719167,72.6465761667,blank-app,0.0,2016_05_18-05_22
9,774,86.1649944167,1.83493683333,28.82359475,72.7568596667,blank-app,0.0,2016_05_18-06_30
10,773,85.4061818333,1.70231283333,28.9952335,72.6848398333,blank-app,0.0,2016_05_18-07_39
11,773,85.9065453333,1.83286616667,29.6120975833,72.6871436667,blank-app,0.0,2016_05_18-08_48
12,773,84.7238171667,2.02280925,29.6170154167,72.8683451667,blank-app,0.0,2016_05_18-09_57
13,773,86.7316351667,1.81690216667,29.4564806667,72.7357245,blank-app,0.0,2016_05_18-11_06
14,772,86.0972016667,2.00485341667,29.6681205,72.7066761667,blank-app,0.0,2016_05_18-12_15
15,773,86.57707725,2.05659,29.726634,72.7947226667,blank-app,0.0,2016_05_18-13_24
16,772,101.2947565,2.78267933333,29.51935575,72.8088461667,blank-app,0.0,2016_05_18-14_34
17,774,88.2085744167,2.06301125,30.1782489167,72.9514835,blank-app,0.0,2016_05_18-15_44
18,773,85.9949095833,1.99044716667,29.6333131667,72.7761918333,blank-app,0.0,2016_05_18-16_54
19,774,85.3505368333,1.97415408333,30.1298551667,72.8641381667,blank-app,0.0,2016_05_18-18_03
20,774,86.7136244167,1.99798425,30.1323646667,72.9605986667,blank-app,0.0,2016_05_18-19_13
21,772,87.1781919167,2.07175583333,29.7561171667,72.6232373333,blank-app,0.0,2016_05_18-20_23
22,773,87.8158513333,2.06768391667,30.2817276667,72.8235706667,blank-app,0.0,2016_05_18-21_33
23,774,87.739992,2.00880725,29.825598,72.8939878333,blank-app,0.0,2016_05_18-22_43
24,774,88.29279825,1.96102208333,30.12553925,72.8973005833,blank-app,0.0,2016_05_18-23_53
25,773,88.6822195833,2.00288358333,30.3546445,72.939163,blank-app,0.0,2016_05_19-01_03
26,774,85.8918898333,1.82010708333,30.406196,72.910315,blank-app,0.0,2016_05_19-02_14
27,773,88.5242695833,1.92379575,29.9131688333,72.7902151667,blank-app,0.0,2016_05_19-03_24
28,773,88.3600681667,1.831218,30.3448649167,72.7824021667,blank-app,0.0,2016_05_19-04_35
29,774,87.21931475,2.04655958333,30.57946925,72.9625018333,blank-app,0.0,2016_05_19-05_47
30,820,285.6341655,20.1776640833,32.203411,86.8895013333,uhabits-lint-all,0.0,2016_05_17-19_32
31,842,273.07814025,18.4733739167,32.8451200833,88.0273681667,uhabits-lint-all,0.0,2016_05_17-20_41
32,820,290.916479083,20.20213775,32.2297434167,86.9880388333,uhabits-lint-all,0.0,2016_05_17-21_50
33,820,292.083797667,20.0273275833,32.7372003333,86.7187908333,uhabits-lint-all,0.0,2016_05_17-22_58
34,824,297.509172583,20.4996961667,32.61094175,87.3698741667,uhabits-lint-all,0.0,2016_05_18-00_06
35,828,296.95733875,20.69856575,32.889889,87.8525205,uhabits-lint-all,0.0,2016_05_18-01_14
36,827,306.080979,21.94814625,33.1089844167,88.8898941667,uhabits-lint-all,0.0,2016_05_18-02_23
37,829,311.394482667,21.1212586667,31.7293808333,87.8929106667,uhabits-lint-all,0.0,2016_05_18-03_31
38,830,311.976035417,20.9131913333,32.5174030833,88.0313446667,uhabits-lint-all,0.0,2016_05_18-04_40
39,832,318.521764833,21.0716823333,31.5891634167,88.1555815,uhabits-lint-all,0.0,2016_05_18-05_48
40,832,323.166339167,20.8126030833,31.64013125,88.1329438333,uhabits-lint-all,0.0,2016_05_18-06_57
41,833,319.992413333,21.2320085,31.8018170833,88.249037,uhabits-lint-all,0.0,2016_05_18-08_06
42,838,328.354799333,21.3366943333,31.3677315833,88.7639938333,uhabits-lint-all,0.0,2016_05_18-09_15
43,836,332.3627045,21.6057898333,31.1650730833,88.6196234167,uhabits-lint-all,0.0,2016_05_18-10_24
44,841,333.973244667,21.4429424167,31.14828475,89.033342,uhabits-lint-all,0.0,2016_05_18-11_33
45,839,337.791367167,21.5871201667,31.0476255833,88.907757,uhabits-lint-all,0.0,2016_05_18-12_42
46,846,341.447966083,21.81867075,31.7126676667,89.732906,uhabits-lint-all,0.0,2016_05_18-13_52
47,844,347.374392583,21.7254595,31.953897,89.4928808333,uhabits-lint-all,0.0,2016_05_18-15_01
48,844,352.902602833,21.8415445,32.43463875,89.545394,uhabits-lint-all,0.0,2016_05_18-16_11
