timestamp,armW,memW,g3dW,kfcW,temperature,dumb
1463528893,0.931000,0.149048,0.072240,0.017220,59000,
1463528893,0.693143,0.094958,0.032580,0.017220,59000,
1463528893,0.015487,0.112988,0.001812,0.115034,59000,
1463528893,0.007288,0.103372,0.001812,0.093541,59000,
1463528894,0.007288,0.093756,0.001812,0.064172,53000,
1463528894,0.200595,0.114190,0.052490,0.156845,53000,
1463528894,1.098097,0.138230,0.075852,0.015990,53000,
1463528895,1.079197,0.115392,0.038915,0.017220,55000,
1463528895,0.902328,0.098564,0.001812,0.017220,55000,
1463528895,1.457488,0.097362,0.002718,0.017220,55000,
1463528895,0.305772,0.094958,0.001812,0.034680,55000,
1463528896,0.007288,0.116594,0.001812,0.113469,54000,
1463528896,0.007288,0.097362,0.001812,0.032934,54000,
1463528896,0.007288,0.097362,0.001812,0.084132,54000,
1463528897,1.158456,0.145442,0.085975,0.040590,58000,
1463528897,0.625328,0.103372,0.078735,0.017220,58000,
1463528897,0.156494,0.127412,0.088690,0.062315,58000,
1463528897,0.452046,0.093756,0.013575,0.080015,58000,
1463528898,0.057771,0.100968,0.001812,0.065714,55000,
1463528898,0.408360,0.096160,0.001812,0.050471,55000,
1463528898,0.050050,0.102170,0.001812,0.091125,55000,
1463528899,0.409116,0.102170,0.001812,0.033210,53000,
1463528899,0.075530,0.093756,0.001812,0.112014,53000,
1463528899,0.337908,0.097362,0.001810,0.017220,53000,
1463528899,0.128800,0.097362,0.001812,0.123585,53000,
1463528900,0.339648,0.098564,0.001810,0.017220,57000,
1463528900,0.492014,0.099766,0.001812,0.088704,57000,
1463528900,0.007288,0.088948,0.001812,0.014175,57000,
1463528901,0.007288,0.090150,0.001812,0.014175,53000,
1463528901,0.007288,0.088948,0.001812,0.013230,53000,
1463528901,0.007288,0.091352,0.001812,0.077330,53000,
1463528901,0.504172,0.098564,0.001812,0.028290,53000,
1463528902,0.032796,0.088948,0.001812,0.020958,53000,
1463528902,0.006377,0.090150,0.001810,0.009450,53000,
1463528902,0.006377,0.088948,0.001812,0.015120,53000,
1463528903,0.006377,0.090150,0.001812,0.014175,55000,
1463528903,0.141664,0.098564,0.001812,0.095424,55000,
1463528903,0.318171,0.092554,0.001812,0.021474,55000,
1463528903,0.239540,0.094958,0.001812,0.026634,55000,
1463528904,0.367472,0.099766,0.001812,0.084703,55000,
1463528904,0.133399,0.093756,0.001812,0.031556,55000,
1463528904,0.391234,0.099766,0.001812,0.086100,55000,
1463528905,0.086597,0.094958,0.001812,0.045000,55000,
1463528905,0.382007,0.098564,0.001812,0.072629,55000,
1463528905,0.128992,0.090150,0.001812,0.014980,55000,
1463528906,0.007288,0.099766,0.001812,0.103887,55000,
1463528906,0.444235,0.093756,0.001812,0.017220,53000,
1463528906,0.023686,0.094958,0.001812,0.032878,53000,
1463528906,0.180480,0.090150,0.001812,0.017970,53000,
1463528907,0.007288,0.102170,0.001812,0.097680,55000,
1463528907,0.539736,0.091352,0.001812,0.017220,55000,
1463528907,0.024597,0.091352,0.001812,0.018900,55000,
1463528908,0.006377,0.090150,0.001812,0.013230,55000,
1463528908,0.006377,0.088948,0.001812,0.014175,52000,
1463528908,0.006377,0.093756,0.001812,0.014175,52000,
1463528908,0.240284,0.097362,0.001812,0.095418,52000,
1463528909,0.216960,0.097362,0.001812,0.030807,55000,
1463528909,0.348348,0.094958,0.001812,0.094770,55000,
1463528909,0.101436,0.098564,0.001812,0.030375,55000,
1463528910,0.392217,0.094958,0.001812,0.091094,55000,
1463528910,0.394362,0.093756,0.001812,0.061550,55000,
1463528910,0.048100,0.099766,0.001812,0.074118,55000,
1463528910,0.408292,0.091352,0.001812,0.047970,55000,
1463528911,0.059540,0.091352,0.001812,0.031527,53000,
1463528911,0.341760,0.099766,0.001812,0.083640,53000,
1463528911,0.188055,0.093756,0.001812,0.016515,53000,
1463528912,0.006377,0.096160,0.001812,0.081844,53000,
1463528912,0.331452,0.100968,0.001812,0.033210,53000,
1463528912,0.091910,0.090150,0.001812,0.025948,53000,
1463528912,0.092500,0.098564,0.001812,0.104013,53000,
1463528913,0.018220,0.090150,0.001812,0.015120,52000,
