timestamp,armW,memW,g3dW,kfcW,temperature,dumb
1463522306,0.602420,0.149048,0.081450,0.017220,53000,
1463522306,1.075944,0.121402,0.065160,0.017220,58000,
1463522306,1.210358,0.137028,0.086880,0.017220,58000,
1463522307,0.156864,0.117796,0.082173,0.057857,58000,
1463522307,0.007288,0.102170,0.022625,0.118368,53000,
1463522307,0.055998,0.099766,0.001812,0.171804,53000,
1463522308,0.989701,0.110584,0.001812,0.017220,53000,
1463522308,0.832240,0.105776,0.001812,0.017220,53000,
1463522308,1.375032,0.102170,0.001812,0.017220,59000,
1463522308,1.113021,0.098564,0.001812,0.017192,59000,
1463522309,1.427001,0.097362,0.001812,0.017220,59000,
1463522309,0.248577,0.096160,0.001812,0.017220,55000,
1463522309,0.173428,0.118998,0.001810,0.153797,55000,
1463522310,0.008199,0.097362,0.001812,0.033528,55000,
1463522310,0.007288,0.099766,0.001810,0.075258,55000,
1463522310,0.975919,0.126210,0.032580,0.054120,57000,
1463522310,1.101663,0.146644,0.096835,0.017220,57000,
1463522311,1.783232,0.134624,0.073143,0.017192,57000,
1463522311,0.229360,0.132220,0.124890,0.075465,56000,
1463522311,0.520338,0.111786,0.042535,0.105952,56000,
1463522312,0.601623,0.121402,0.002718,0.017220,56000,
1463522312,1.131384,0.127412,0.001812,0.017220,56000,
1463522312,0.624580,0.103372,0.001812,0.017220,56000,
1463522312,0.644490,0.111786,0.001812,0.017220,56000,
1463522313,0.809200,0.132220,0.042535,0.017220,56000,
1463522313,1.165916,0.120200,0.083260,0.017220,58000,
1463522313,0.526048,0.111786,0.062445,0.017220,58000,
1463522314,0.839135,0.118998,0.024435,0.017220,58000,
1463522314,0.460756,0.127412,0.080545,0.020740,58000,
1463522314,0.008199,0.102170,0.107695,0.038649,55000,
1463522314,0.007288,0.087746,0.015402,0.011352,55000,
1463522315,0.007288,0.090150,0.001812,0.014175,55000,
1463522315,0.208014,0.090150,0.001812,0.095928,55000,
1463522315,0.089180,0.115392,0.048870,0.017220,55000,
1463522316,0.007288,0.098564,0.004530,0.014175,55000,
1463522316,0.007288,0.087746,0.001812,0.014175,55000,
1463522316,0.007288,0.090150,0.001812,0.018900,53000,
1463522316,0.161472,0.118998,0.001812,0.150876,53000,
1463522317,1.201384,0.114190,0.001812,0.017192,53000,
1463522317,1.433866,0.128614,0.086880,0.017192,60000,
1463522317,1.655121,0.106978,0.066970,0.017192,60000,
1463522318,1.140210,0.144240,0.113125,0.021870,60000,
1463522318,0.183260,0.122604,0.027150,0.111168,60000,
1463522318,1.043643,0.137028,0.088690,0.017220,57000,
1463522318,1.159029,0.140634,0.082355,0.017192,57000,
1463522319,1.088880,0.126210,0.095025,0.017220,57000,
1463522319,0.072800,0.126210,0.074210,0.090553,56000,
1463522319,0.762079,0.110584,0.001812,0.088704,56000,
1463522320,1.170876,0.109382,0.001812,0.017192,56000,
1463522320,1.048590,0.108180,0.008154,0.017192,56000,
1463522320,0.130620,0.127412,0.075115,0.115746,56000,
1463522320,1.128666,0.133422,0.071337,0.077553,56000,
1463522321,1.419986,0.114190,0.005430,0.017192,56000,
1463522321,0.436394,0.094958,0.001812,0.023520,55000,
1463522321,0.008199,0.111786,0.001810,0.184548,55000,
1463522322,0.818380,0.106978,0.020815,0.017220,55000,
1463522322,0.650899,0.108180,0.056110,0.017220,55000,
1463522322,0.008199,0.090150,0.013590,0.014175,55000,
1463522322,0.007288,0.093756,0.001812,0.023625,55000,
1463522323,0.201670,0.116594,0.001812,0.110295,55000,
1463522323,0.810600,0.122604,0.025340,0.017220,62000,
1463522323,1.609794,0.150250,0.104980,0.017192,62000,
1463522324,0.322172,0.112988,0.043440,0.053636,62000,
1463522324,0.362712,0.115392,0.048870,0.095940,62000,
1463522324,0.723786,0.145442,0.104980,0.017220,61000,
1463522324,1.115055,0.121402,0.077830,0.017220,61000,
1463522325,0.732856,0.128614,0.047060,0.017220,61000,
1463522325,0.590240,0.121402,0.123985,0.018270,55000,
1463522325,0.031885,0.104574,0.019910,0.097680,55000,
1463522326,0.465064,0.121402,0.045250,0.141056,55000,
1463522326,0.553945,0.104574,0.001812,0.017220,55000,
1463522326,0.072880,0.140634,0.082173,0.096416,55000,
1463522326,0.872742,0.125008,0.068628,0.103488,55000,
1463522327,1.473521,0.104574,0.009050,0.017192,55000,
1463522327,0.518320,0.104574,0.001812,0.021780,57000,
1463522327,0.208320,0.105776,0.001812,0.150543,57000,
1463522328,0.738804,0.112988,0.019910,0.017220,57000,
1463522328,0.971992,0.104574,0.054300,0.017220,57000,
1463522328,0.144911,0.127412,0.099550,0.033945,55000,
1463522328,0.008199,0.099766,0.011778,0.014175,55000,
1463522329,0.007288,0.090150,0.001812,0.028710,55000,
1463522329,0.988974,0.127412,0.052490,0.017220,56000,
1463522329,1.195194,0.149048,0.110410,0.017220,56000,
1463522330,0.243078,0.126210,0.022625,0.083439,56000,
1463522330,0.604044,0.118998,0.065160,0.048009,56000,
1463522330,1.197582,0.143038,0.089595,0.017192,57000,
1463522330,0.796963,0.123806,0.061540,0.017220,57000,
1463522331,0.810576,0.126210,0.075115,0.017220,57000,
1463522331,0.571098,0.129816,0.093215,0.060944,55000,
1463522331,0.008199,0.111786,0.002715,0.182227,55000,
1463522332,0.951572,0.108180,0.001812,0.017220,55000,
1463522332,0.676900,0.108180,0.001812,0.017220,55000,
1463522332,0.299310,0.103372,0.048870,0.016618,55000,
1463522332,0.630513,0.115392,0.033485,0.017220,55000,
1463522333,0.788736,0.105776,0.001810,0.017220,55000,
1463522333,0.571728,0.096160,0.001812,0.017220,55000,
1463522333,0.073710,0.111786,0.001810,0.203490,55000,
1463522334,0.881484,0.110584,0.020815,0.017220,55000,
1463522334,0.522100,0.104574,0.025340,0.017220,55000,
1463522334,0.263320,0.126210,0.112220,0.041736,54000,
1463522334,0.007288,0.088948,0.019005,0.008505,54000,
1463522335,0.007288,0.093756,0.001810,0.028350,54000,
1463522335,0.311234,0.116594,0.001812,0.105705,59000,
1463522335,1.477542,0.141836,0.049775,0.017192,59000,
1463522336,1.526175,0.131018,0.106790,0.017220,59000,
1463522336,1.012704,0.135826,0.083260,0.017220,59000,
1463522336,0.986860,0.141836,0.101360,0.017192,57000,
1463522336,0.824855,0.116594,0.065160,0.017220,57000,
1463522337,1.022320,0.129816,0.066138,0.017220,57000,
1463522337,0.552570,0.108180,0.094120,0.017220,55000,
1463522337,0.132860,0.115392,0.002718,0.206412,55000,
1463522338,0.801000,0.111786,0.001812,0.017220,55000,
1463522338,0.776100,0.109382,0.001812,0.017220,55000,
1463522338,0.382588,0.131018,0.057015,0.037059,55000,
1463522338,0.008199,0.134624,0.073143,0.245496,55000,
