timestamp,armW,memW,g3dW,kfcW,temperature,dumb
1463527236,1.210535,0.139432,0.027150,0.017220,56000,
1463527236,2.020198,0.141836,0.054300,0.017192,56000,
1463527236,2.091312,0.145442,0.083260,0.017192,56000,
1463527237,0.105560,0.108180,0.077658,0.120834,56000,
1463527237,0.008199,0.097362,0.002718,0.163020,56000,
1463527237,0.557577,0.105776,0.002715,0.017220,56000,
1463527237,0.686497,0.104574,0.002718,0.017220,56000,
1463527238,0.685603,0.105776,0.001812,0.017220,56000,
1463527238,0.560287,0.099766,0.001812,0.017220,56000,
1463527238,0.770853,0.098564,0.001812,0.017192,63000,
1463527239,1.683435,0.099766,0.001812,0.017192,63000,
1463527239,1.629363,0.098564,0.001812,0.017192,63000,
1463527239,0.761349,0.094958,0.002718,0.056264,63000,
1463527239,0.038262,0.121402,0.002718,0.144804,55000,
1463527240,0.008199,0.097362,0.002718,0.037592,55000,
1463527240,0.007288,0.098564,0.001812,0.094500,55000,
1463527240,0.474789,0.116594,0.009050,0.017220,58000,
1463527241,1.119565,0.127412,0.079464,0.017192,58000,
1463527241,0.899475,0.134624,0.090500,0.017220,58000,
1463527241,0.724224,0.114190,0.101360,0.017192,58000,
1463527241,1.033310,0.123806,0.002718,0.017220,56000,
1463527242,0.702660,0.115392,0.001812,0.017220,56000,
1463527242,0.695835,0.117796,0.001812,0.017220,56000,
1463527242,0.967050,0.127412,0.002718,0.017220,56000,
1463527243,0.442128,0.105776,0.002718,0.017220,56000,
1463527243,0.556700,0.104574,0.095025,0.017220,56000,
1463527243,0.756600,0.111786,0.013575,0.017220,63000,
1463527243,0.946580,0.109382,0.054300,0.017220,63000,
1463527244,0.552740,0.122604,0.057015,0.021870,63000,
1463527244,0.260596,0.111786,0.112220,0.028800,63000,
1463527244,0.008199,0.111786,0.051585,0.014175,54000,
1463527245,0.007288,0.087746,0.001812,0.020790,54000,
1463527245,0.007288,0.090150,0.001812,0.107348,54000,
1463527245,0.528528,0.111786,0.015385,0.017220,54000,
1463527246,0.527904,0.117796,0.055205,0.034056,54000,
1463527246,0.007288,0.090150,0.001812,0.014175,54000,
1463527246,0.007288,0.091352,0.001812,0.017955,54000,
1463527246,0.007288,0.097362,0.001812,0.154170,53000,
1463527247,0.442596,0.127412,0.001812,0.017220,53000,
1463527247,0.772310,0.111786,0.019005,0.017192,53000,
1463527247,1.756800,0.127412,0.075115,0.017192,57000,
1463527248,1.451627,0.097362,0.035295,0.017192,57000,
1463527248,1.792125,0.145442,0.093215,0.017220,57000,
1463527248,0.457401,0.117796,0.075115,0.017220,57000,
1463527248,0.893700,0.126210,0.071495,0.017192,59000,
1463527249,1.298709,0.139432,0.095930,0.017220,59000,
1463527249,0.983076,0.126210,0.068628,0.017220,59000,
1463527249,0.371037,0.112988,0.099550,0.121370,55000,
1463527250,0.066096,0.106978,0.005430,0.066420,55000,
1463527250,1.383800,0.111786,0.001810,0.017192,55000,
1463527250,1.426656,0.110584,0.001812,0.017220,55000,
1463527250,0.447111,0.121402,0.054300,0.200380,55000,
1463527251,0.358140,0.134624,0.074949,0.017220,55000,
1463527251,0.600208,0.105776,0.030770,0.017220,55000,
1463527251,0.533358,0.105776,0.001812,0.018240,55000,
1463527252,0.290334,0.092554,0.001812,0.099264,55000,
1463527252,0.100498,0.117796,0.001812,0.055350,55000,
1463527252,1.357860,0.105776,0.020815,0.017220,55000,
1463527252,0.556920,0.127412,0.050736,0.028950,55000,
1463527253,0.007288,0.090150,0.009955,0.012285,55000,
1463527253,0.007288,0.097362,0.001812,0.096750,55000,
1463527253,0.422994,0.116594,0.001812,0.017220,57000,
1463527254,1.044484,0.152654,0.039820,0.017192,57000,
1463527254,1.689642,0.129816,0.103170,0.041038,57000,
1463527254,0.223440,0.117796,0.028055,0.121000,57000,
1463527254,0.407456,0.139432,0.060635,0.017220,55000,
1463527255,0.824383,0.129816,0.091405,0.017220,55000,
1463527255,1.046205,0.115392,0.067725,0.017220,55000,
1463527255,0.823050,0.135826,0.065160,0.017220,55000,
1463527256,0.693594,0.108180,0.104075,0.135850,55000,
1463527256,0.008199,0.118998,0.009050,0.071398,55000,
1463527256,1.222980,0.102170,0.001812,0.020315,55000,
1463527256,0.283849,0.102170,0.059730,0.159390,55000,
1463527257,0.653695,0.147846,0.073143,0.015990,55000,
1463527257,1.329156,0.120200,0.026245,0.017220,55000,
1463527257,0.621984,0.098564,0.001812,0.113928,58000,
1463527258,0.128380,0.106978,0.001810,0.040590,58000,
1463527258,1.444512,0.112988,0.020815,0.017220,58000,
1463527258,0.546210,0.103372,0.026274,0.025520,58000,
1463527258,0.220644,0.127412,0.112220,0.023700,54000,
1463527259,0.007288,0.091352,0.015402,0.014175,54000,
1463527259,0.007288,0.091352,0.001812,0.084525,54000,
1463527259,0.415508,0.116594,0.001812,0.017220,58000,
1463527260,1.271940,0.149048,0.102265,0.017220,58000,
1463527260,0.544787,0.121402,0.069685,0.017220,58000,
1463527260,0.783343,0.121402,0.038915,0.017192,58000,
1463527260,1.252968,0.146644,0.116745,0.017220,58000,
1463527261,0.812727,0.122604,0.070434,0.017220,58000,
1463527261,0.807240,0.129816,0.069685,0.017220,58000,
1463527261,0.791560,0.123806,0.114030,0.096062,55000,
1463527262,0.008199,0.111786,0.026245,0.159460,55000,
1463527262,0.555840,0.120200,0.028055,0.017220,55000,
1463527262,0.638526,0.105776,0.001812,0.017220,55000,
1463527262,0.677005,0.105776,0.026245,0.063952,55000,
1463527263,0.131703,0.140634,0.074949,0.135630,55000,
1463527263,0.782688,0.123806,0.055205,0.017220,55000,
1463527263,0.469450,0.094958,0.001812,0.106296,54000,
1463527264,0.008199,0.120200,0.001810,0.278550,54000,
1463527264,0.007288,0.112988,0.020815,0.218949,54000,
1463527264,0.007304,0.117796,0.006335,0.030750,54000,
1463527264,0.508902,0.117796,0.132130,0.021956,54000,
1463527265,0.019131,0.090150,0.029865,0.014175,54000,
1463527265,0.007288,0.096160,0.001812,0.093755,54000,
1463527265,0.214802,0.126210,0.001810,0.015964,57000,
1463527266,1.327170,0.144240,0.030770,0.017192,57000,
1463527266,1.453942,0.126210,0.101360,0.017220,57000,
1463527266,0.454580,0.115392,0.028960,0.015990,57000,
1463527266,1.022463,0.139432,0.061540,0.017192,58000,
1463527267,1.369568,0.123806,0.105885,0.017220,58000,
1463527267,0.960780,0.131018,0.082355,0.031887,58000,
1463527267,0.416832,0.109382,0.071495,0.127452,55000,
1463527268,0.008199,0.116594,0.001812,0.131931,55000,
1463527268,0.548744,0.102170,0.001812,0.017220,55000,
1463527268,0.575700,0.104574,0.001812,0.017220,55000,
1463527268,0.065304,0.122604,0.021744,0.069875,54000,
1463527269,0.571197,0.122604,0.077658,0.147742,54000,
1463527269,0.550812,0.133422,0.060635,0.017220,54000,
1463527269,0.483804,0.100968,0.001812,0.017220,54000,
1463527270,0.038262,0.104574,0.001812,0.036564,54000,
1463527270,0.440255,0.094958,0.001812,0.168025,54000,
1463527270,0.662544,0.106978,0.015385,0.017220,54000,
1463527270,0.241837,0.109382,0.046155,0.020808,55000,
1463527271,0.007288,0.125008,0.107695,0.018960,55000,
1463527271,0.007288,0.086544,0.005436,0.028860,55000,
1463527271,0.956664,0.094958,0.001812,0.084939,55000,
1463527272,1.408566,0.121402,0.001812,0.017192,55000,
1463527272,1.259104,0.147846,0.086880,0.017220,55000,
1463527272,0.517940,0.125008,0.077830,0.017220,55000,
1463527272,1.308692,0.111786,0.022650,0.017192,57000,
1463527273,1.341120,0.143038,0.097740,0.017192,57000,
1463527273,0.593178,0.135826,0.079640,0.017220,57000,
1463527273,1.137042,0.118998,0.051585,0.017220,55000,
1463527274,0.114786,0.128614,0.110410,0.058355,55000,
1463527274,0.724471,0.116594,0.042535,0.017220,55000,
1463527274,0.601426,0.109382,0.001812,0.017220,55000,
1463527274,0.312930,0.103372,0.001812,0.020162,56000,
1463527275,0.007328,0.123806,0.063350,0.179744,56000,
1463527275,1.140880,0.132220,0.074210,0.017220,56000,
1463527275,0.537864,0.108180,0.021720,0.017220,55000,
1463527276,0.371420,0.103372,0.001812,0.017220,55000,
1463527276,0.252860,0.098564,0.001812,0.139872,55000,
1463527276,1.533170,0.116594,0.001812,0.017192,55000,
1463527276,1.107646,0.099766,0.019932,0.017220,57000,
1463527277,0.386490,0.123806,0.048924,0.017670,57000,
1463527277,0.008199,0.104574,0.104075,0.019040,57000,
1463527277,0.593000,0.103372,0.001812,0.094614,55000,
1463527278,0.998538,0.122604,0.001810,0.017220,55000,
1463527278,1.148144,0.147846,0.079640,0.017192,55000,
1463527278,0.186446,0.121402,0.096835,0.046284,55000,
1463527278,0.286552,0.109382,0.021720,0.114751,56000,
1463527279,0.864891,0.132220,0.054300,0.017220,56000,
1463527279,1.594248,0.138230,0.114935,0.017192,56000,
1463527279,0.965200,0.128614,0.076755,0.017220,56000,
1463527280,0.685458,0.129816,0.095930,0.017220,56000,
1463527280,0.179784,0.099766,0.080545,0.066526,56000,
1463527280,0.654640,0.114190,0.001810,0.109648,56000,
1463527280,0.800148,0.109382,0.001812,0.017220,58000,
1463527281,0.917610,0.114190,0.001812,0.017220,58000,
1463527281,0.652386,0.139432,0.074949,0.051660,58000,
1463527281,0.686418,0.116594,0.025340,0.017220,55000,
1463527282,0.303369,0.108180,0.001810,0.017220,55000,
1463527282,0.110400,0.091352,0.001810,0.149952,55000,
1463527282,1.171125,0.120200,0.001810,0.017192,55000,
1463527282,0.578448,0.105776,0.019910,0.017220,59000,
1463527283,0.999580,0.094958,0.001812,0.017220,59000,
1463527283,0.079170,0.122604,0.116874,0.023368,59000,
1463527283,0.007288,0.104574,0.039820,0.016065,54000,
1463527284,0.007288,0.090150,0.001812,0.126594,54000,
1463527284,1.005840,0.117796,0.001812,0.017220,54000,
1463527284,0.936657,0.155058,0.108600,0.019440,54000,
1463527284,0.189805,0.116594,0.038915,0.111168,55000,
1463527285,0.948667,0.117796,0.045250,0.017220,55000,
1463527285,1.215045,0.149048,0.107695,0.017192,55000,
1463527285,0.603493,0.128614,0.072240,0.017220,58000,
1463527286,0.829830,0.131018,0.073305,0.017220,58000,
1463527286,0.130130,0.127412,0.110410,0.079395,58000,
1463527286,0.154642,0.103372,0.015385,0.178932,58000,
1463527286,0.601205,0.112988,0.001812,0.017220,55000,
1463527287,0.881020,0.105776,0.001812,0.017220,55000,
1463527287,0.353192,0.105776,0.004530,0.031070,55000,
1463527287,0.463624,0.127518,0.081270,0.152654,55000,
1463527287,0.616896,0.127412,0.071337,0.017220,55000,
1463527288,0.175010,0.096160,0.001812,0.027060,55000,
1463527288,0.193856,0.104574,0.001812,0.159408,55000,
1463527288,0.921276,0.116594,0.010860,0.016212,57000,
1463527289,0.650922,0.094958,0.010872,0.017220,57000,
1463527289,0.681620,0.117796,0.015402,0.017220,57000,
1463527289,0.039130,0.115392,0.129415,0.034440,54000,
1463527290,0.007288,0.088948,0.021720,0.027468,54000,
1463527290,0.007288,0.104574,0.001812,0.013230,54000,
1463527290,0.577200,0.115392,0.001812,0.104100,54000,
1463527290,0.041400,0.088948,0.001812,0.067705,53000,
1463527291,0.007288,0.086544,0.001812,0.016512,53000,
1463527291,0.006377,0.087746,0.001812,0.010395,53000,
1463527291,0.006377,0.087746,0.001812,0.010395,52000,
1463527292,0.006377,0.087746,0.001812,0.014175,52000,
1463527292,0.006377,0.098564,0.001812,0.013230,52000,
1463527292,0.388959,0.112988,0.001812,0.097278,52000,
1463527292,0.266044,0.102170,0.001812,0.038130,53000,
1463527293,0.006377,0.088948,0.001812,0.020111,53000,
1463527293,0.006377,0.088948,0.001812,0.014175,53000,
1463527293,0.006377,0.088948,0.001812,0.012285,52000,
1463527294,0.006377,0.090150,0.001812,0.016065,52000,
1463527294,0.006377,0.092554,0.001812,0.017955,52000,
1463527294,0.006377,0.114190,0.001812,0.174040,52000,
1463527294,0.006377,0.087746,0.001812,0.016677,52000,
1463527295,0.006377,0.087746,0.001812,0.013230,52000,
1463527295,0.006377,0.088948,0.001812,0.013230,52000,
1463527295,0.382200,0.096160,0.001812,0.047424,52000,
1463527296,0.046350,0.093756,0.001812,0.062781,52000,
1463527296,0.006377,0.088948,0.001812,0.018918,52000,
1463527296,0.006377,0.087746,0.001812,0.011340,51000,
1463527297,0.006377,0.087746,0.001812,0.009450,51000,
1463527297,0.006377,0.087746,0.001812,0.012285,51000,
1463527297,0.006377,0.091352,0.001812,0.012285,51000,
1463527297,0.121856,0.093756,0.001812,0.111177,51000,
1463527298,0.006377,0.087746,0.001810,0.014365,51000,
1463527298,0.006377,0.088948,0.001812,0.014175,51000,
1463527298,0.006377,0.088948,0.001812,0.015120,51000,
1463527299,0.006377,0.087746,0.001812,0.012285,51000,
1463527299,0.006377,0.088948,0.001812,0.010395,51000,
1463527299,0.006377,0.108180,0.001812,0.045408,51000,
1463527299,0.006377,0.090150,0.001812,0.166455,51000,
1463527300,0.006377,0.087746,0.001812,0.020000,51000,
1463527300,0.006377,0.090150,0.001812,0.013230,51000,
1463527300,0.006377,0.090150,0.001812,0.013230,55000,
1463527301,0.556512,0.096160,0.001812,0.079254,55000,
1463527301,0.026419,0.087746,0.001812,0.015990,55000,
1463527301,0.006377,0.088948,0.001812,0.015392,51000,
1463527302,0.006377,0.086544,0.001812,0.012285,51000,
1463527302,0.006377,0.087746,0.001812,0.009450,51000,
1463527302,0.006377,0.087746,0.001812,0.011340,51000,
1463527302,0.006377,0.098564,0.001812,0.020834,51000,
1463527303,0.006377,0.088948,0.001812,0.101283,51000,
1463527303,0.006377,0.087746,0.001812,0.020700,51000,
1463527303,0.006377,0.087746,0.001812,0.014175,51000,
1463527304,0.006377,0.090150,0.001812,0.012285,51000,
1463527304,0.006377,0.088948,0.001812,0.012285,51000,
1463527304,0.006377,0.103372,0.001812,0.012285,51000,
1463527304,0.006377,0.103372,0.001810,0.056109,51000,
