timestamp,armW,memW,g3dW,kfcW,temperature,dumb
1463561003,0.841750,0.144240,0.074210,0.017220,56000,
1463561004,1.657051,0.112988,0.061404,0.017220,56000,
1463561004,0.473690,0.137028,0.098645,0.017220,57000,
1463561004,0.008199,0.116594,0.071495,0.039935,57000,
1463561005,0.007288,0.092554,0.019005,0.059580,57000,
1463561005,0.376992,0.109382,0.001810,0.072562,56000,
1463561005,1.054329,0.111786,0.002718,0.102256,56000,
1463561005,1.555397,0.108180,0.001812,0.017220,56000,
1463561006,1.215500,0.102170,0.002718,0.017220,56000,
1463561006,1.391826,0.099766,0.001812,0.017220,63000,
1463561006,1.637504,0.098564,0.001812,0.017220,63000,
1463561006,1.223586,0.096160,0.002718,0.017220,63000,
1463561007,0.117602,0.092554,0.002718,0.017220,55000,
1463561007,0.008199,0.122604,0.002718,0.074460,55000,
1463561007,0.008199,0.094958,0.001812,0.110740,55000,
1463561008,1.678848,0.127412,0.011765,0.086112,55000,
1463561008,1.144320,0.141836,0.099550,0.017192,59000,
1463561008,1.366340,0.126210,0.079464,0.017220,59000,
1463561008,0.050960,0.139432,0.099550,0.023028,59000,
1463561009,1.151005,0.117796,0.082355,0.133745,57000,
1463561009,0.608335,0.115392,0.002718,0.017220,57000,
1463561009,0.892206,0.114190,0.002718,0.017220,57000,
1463561010,0.899796,0.120200,0.002718,0.017220,57000,
1463561010,0.483886,0.118998,0.002718,0.017220,57000,
1463561010,1.013968,0.106978,0.002718,0.017220,57000,
1463561010,0.915528,0.137028,0.032580,0.017220,57000,
1463561011,0.756021,0.109382,0.096835,0.017220,56000,
1463561011,0.170357,0.109382,0.032580,0.017220,56000,
1463561011,0.532409,0.115392,0.060501,0.017220,56000,
1463561012,0.020953,0.121402,0.094120,0.038478,56000,
1463561012,0.007288,0.112988,0.076020,0.023775,55000,
1463561012,0.007288,0.088948,0.002715,0.014190,55000,
1463561012,0.119583,0.090150,0.001810,0.029295,55000,
1463561013,0.858280,0.109382,0.019910,0.094770,55000,
1463561013,0.080080,0.123806,0.063350,0.017094,55000,
1463561013,0.007288,0.104574,0.054300,0.030287,55000,
1463561014,0.007288,0.091352,0.001812,0.014190,55000,
1463561014,0.007288,0.090150,0.001812,0.014175,54000,
1463561014,1.292276,0.116594,0.001812,0.052890,54000,
1463561015,1.736277,0.129816,0.058825,0.017220,54000,
1463561015,1.668905,0.111786,0.046155,0.017192,62000,
1463561015,1.056759,0.104574,0.037105,0.017220,62000,
1463561015,0.534760,0.098564,0.022650,0.017220,62000,
1463561016,1.292688,0.091352,0.011778,0.017220,62000,
1463561016,1.485036,0.096160,0.024435,0.017220,63000,
1463561016,1.902912,0.127412,0.041630,0.017192,63000,
1463561016,0.758926,0.132220,0.103170,0.017192,63000,
1463561017,1.138473,0.116594,0.028960,0.017220,59000,
1463561017,1.146420,0.146644,0.101360,0.017220,59000,
1463561017,0.788800,0.128614,0.084882,0.017192,59000,
1463561018,1.282281,0.115392,0.041630,0.017220,59000,
1463561018,0.276573,0.133422,0.125795,0.017220,56000,
1463561018,0.904845,0.110584,0.002718,0.176841,56000,
1463561018,0.879081,0.104574,0.002718,0.017220,56000,
1463561019,0.540192,0.099766,0.002718,0.017220,57000,
1463561019,0.111683,0.138230,0.068780,0.037653,57000,
1463561019,1.543958,0.125008,0.074046,0.147378,57000,
1463561020,1.122110,0.106978,0.016308,0.017220,57000,
1463561020,0.050930,0.096160,0.002718,0.017220,56000,
1463561020,0.940030,0.115392,0.001812,0.132210,56000,
1463561020,0.697104,0.103372,0.021720,0.017192,56000,
1463561021,0.427197,0.128614,0.039864,0.017220,56000,
1463561021,0.008199,0.103372,0.106790,0.034286,56000,
1463561021,0.008199,0.091352,0.012684,0.016065,56000,
1463561022,1.155400,0.122604,0.001812,0.089475,56000,
1463561022,1.222584,0.146644,0.044345,0.017192,57000,
1463561022,1.068600,0.133422,0.100455,0.017220,57000,
1463561022,0.124670,0.109382,0.080545,0.021924,57000,
1463561023,0.624807,0.131018,0.037105,0.128075,57000,
1463561023,0.937440,0.131018,0.096835,0.017220,57000,
1463561023,0.810020,0.138230,0.082173,0.017220,57000,
1463561024,1.019312,0.114190,0.045250,0.017220,57000,
1463561024,0.382000,0.138230,0.142085,0.017220,56000,
1463561024,0.008199,0.106978,0.026245,0.085392,56000,
1463561024,0.543972,0.110584,0.002715,0.182905,56000,
1463561025,0.478368,0.102170,0.001812,0.017220,56000,
1463561025,0.078260,0.109382,0.057015,0.026092,56000,
1463561025,0.743743,0.139432,0.074046,0.169371,56000,
1463561026,0.965952,0.117796,0.026245,0.017220,56000,
1463561026,0.342584,0.104574,0.001812,0.017220,56000,
1463561026,0.013665,0.093756,0.001812,0.025461,56000,
1463561026,0.683584,0.116594,0.001810,0.184599,56000,
1463561027,0.869442,0.104574,0.019910,0.017220,56000,
1463561027,0.249750,0.126210,0.090500,0.017220,56000,
1463561027,0.008199,0.100968,0.073305,0.021040,56000,
1463561028,0.007288,0.090150,0.001810,0.014175,56000,
1463561028,0.057960,0.099766,0.001812,0.024570,55000,
1463561028,0.957068,0.122604,0.045250,0.017220,55000,
1463561029,1.409560,0.146644,0.097740,0.017220,55000,
1463561029,0.574240,0.120200,0.071495,0.017220,57000,
1463561029,1.234335,0.131018,0.040725,0.017220,57000,
1463561029,1.179684,0.141836,0.114030,0.017192,57000,
1463561030,0.569088,0.122604,0.069685,0.017220,57000,
1463561030,1.029864,0.135826,0.075115,0.017220,57000,
1463561030,0.059150,0.110584,0.104075,0.027984,57000,
1463561030,0.281736,0.111786,0.007240,0.127930,57000,
1463561031,0.637440,0.104574,0.001812,0.098560,56000,
1463561031,0.445752,0.103372,0.001812,0.017220,56000,
1463561031,0.448058,0.111786,0.010860,0.017220,56000,
1463561032,0.582120,0.118998,0.071337,0.185166,56000,
1463561032,0.711006,0.108180,0.001812,0.017220,56000,
1463561032,0.479704,0.094958,0.001812,0.017220,56000,
1463561032,0.074620,0.109382,0.001812,0.035430,56000,
1463561033,0.767880,0.109382,0.001810,0.160650,57000,
1463561033,0.525070,0.096160,0.019910,0.017220,57000,
1463561033,0.427197,0.131018,0.048018,0.017220,57000,
1463561034,0.036440,0.096160,0.100455,0.022360,57000,
1463561034,0.007288,0.090150,0.005436,0.014175,54000,
1463561034,0.139800,0.117796,0.001810,0.046107,54000,
1463561035,0.898079,0.123806,0.001810,0.073860,54000,
1463561035,1.669902,0.146644,0.076925,0.017220,57000,
1463561035,0.665000,0.120200,0.035295,0.017220,57000,
1463561035,0.990640,0.116594,0.074210,0.017220,57000,
1463561036,1.603030,0.146644,0.097740,0.017192,57000,
1463561036,0.746461,0.134624,0.065160,0.017220,59000,
1463561036,0.735786,0.133422,0.124890,0.017220,59000,
1463561037,0.388196,0.116594,0.048870,0.017220,59000,
1463561037,1.198152,0.102170,0.024435,0.017220,59000,
1463561037,1.161508,0.108180,0.001812,0.017220,59000,
1463561037,0.552840,0.108180,0.001812,0.017220,59000,
1463561038,0.008199,0.116594,0.074949,0.063780,59000,
1463561038,0.798368,0.137028,0.071337,0.151830,57000,
1463561038,0.563030,0.103372,0.012670,0.017220,57000,
1463561039,0.013665,0.092554,0.001812,0.032422,57000,
1463561039,0.736313,0.114190,0.001810,0.152353,57000,
1463561039,0.803916,0.104574,0.019910,0.017220,57000,
1463561039,0.601314,0.116594,0.049775,0.017220,57000,
1463561040,0.008199,0.111786,0.095930,0.023759,57000,
1463561040,0.007288,0.090150,0.005430,0.017010,55000,
1463561040,0.007296,0.094958,0.001810,0.026684,55000,
1463561040,1.329401,0.122604,0.001812,0.097328,55000,
1463561041,1.490892,0.138230,0.060635,0.017220,57000,
1463561041,1.004700,0.144240,0.108600,0.017192,57000,
1463561041,0.537408,0.109382,0.037105,0.017220,57000,
1463561042,1.109544,0.133422,0.069685,0.017220,57000,
1463561042,1.417799,0.140634,0.104980,0.017192,58000,
1463561042,1.070034,0.134624,0.081450,0.017220,58000,
1463561042,0.095550,0.108180,0.093215,0.048052,58000,
1463561043,0.691525,0.117796,0.036200,0.152750,59000,
1463561043,0.898011,0.112988,0.011778,0.017220,59000,
1463561043,0.497420,0.100968,0.001812,0.017220,59000,
1463561044,0.120250,0.123806,0.048870,0.021546,59000,
1463561044,0.445051,0.135826,0.073143,0.196380,56000,
1463561044,0.536154,0.106978,0.035295,0.017220,56000,
1463561044,0.448470,0.102170,0.001812,0.017220,56000,
1463561045,0.195220,0.094958,0.001812,0.017220,56000,
1463561045,0.212496,0.111786,0.001812,0.101559,56000,
1463561045,1.015964,0.106978,0.019910,0.071398,56000,
1463561046,0.319125,0.117796,0.101360,0.017220,56000,
1463561046,0.008199,0.088948,0.057920,0.024950,55000,
1463561046,0.007288,0.096160,0.001812,0.011340,55000,
1463561047,0.588045,0.120200,0.001812,0.102951,55000,
1463561047,0.821466,0.127412,0.006342,0.017220,60000,
1463561047,1.452807,0.143038,0.095025,0.017192,60000,
1463561047,0.655690,0.143038,0.097740,0.017220,60000,
1463561048,0.854900,0.120200,0.028960,0.017220,60000,
1463561048,1.270615,0.123806,0.092310,0.017220,61000,
1463561048,1.289752,0.149048,0.087785,0.017192,61000,
1463561049,0.907124,0.125008,0.046155,0.017220,61000,
1463561049,0.881820,0.128614,0.114935,0.017220,57000,
1463561049,1.432192,0.110584,0.001812,0.017220,57000,
1463561049,0.770130,0.114190,0.001812,0.017220,57000,
1463561050,0.501354,0.110584,0.021720,0.017220,57000,
1463561050,0.277101,0.128614,0.076020,0.121582,58000,
1463561050,1.548100,0.127412,0.060501,0.056580,58000,
1463561050,0.637143,0.108180,0.001812,0.017220,58000,
1463561051,0.172312,0.097362,0.001812,0.017220,58000,
1463561051,0.462231,0.116594,0.001810,0.154170,58000,
1463561051,0.711264,0.104574,0.019932,0.017220,58000,
1463561052,1.164192,0.097362,0.011778,0.017220,58000,
1463561052,0.188529,0.126210,0.121270,0.019360,55000,
1463561052,0.007288,0.090150,0.001812,0.016065,55000,
1463561053,0.338436,0.120200,0.001812,0.143374,55000,
1463561053,0.761444,0.128614,0.011778,0.017220,57000,
1463561053,1.831549,0.144240,0.101360,0.017192,57000,
1463561053,0.659634,0.129816,0.089595,0.017220,57000,
1463561054,0.793812,0.115392,0.027150,0.017220,57000,
1463561054,1.352197,0.150250,0.095930,0.017220,60000,
1463561054,0.961360,0.140634,0.087785,0.017220,60000,
1463561055,0.807672,0.123806,0.043440,0.017220,60000,
