timestamp,armW,memW,g3dW,kfcW,temperature,dumb
1463513247,0.007288,0.097362,0.002718,0.072491,54000,
1463513247,0.795606,0.102170,0.001810,0.040590,54000,
1463513247,0.472021,0.112988,0.022625,0.026004,54000,
1463513248,0.007288,0.094958,0.002718,0.055880,54000,
1463513248,0.007288,0.092554,0.001812,0.122500,54000,
1463513248,0.307092,0.105776,0.001810,0.144823,54000,
1463513248,0.624979,0.106978,0.001810,0.017192,54000,
1463513249,0.618142,0.105776,0.001812,0.017192,54000,
1463513249,0.846216,0.097362,0.001812,0.017192,58000,
1463513249,1.664785,0.099766,0.002715,0.017192,58000,
1463513250,1.644980,0.096160,0.002718,0.017192,58000,
1463513250,0.634804,0.092554,0.002718,0.017220,57000,
1463513250,0.117390,0.105776,0.002718,0.091280,57000,
1463513250,0.008199,0.105776,0.002718,0.121905,57000,
1463513251,0.008199,0.105776,0.002715,0.058800,57000,
1463513251,0.617808,0.099766,0.002718,0.072629,56000,
1463513251,1.212040,0.108180,0.027150,0.017192,56000,
1463513252,0.868503,0.141836,0.110410,0.017192,56000,
1463513252,1.606008,0.126210,0.070434,0.017192,58000,
1463513252,0.543375,0.140634,0.123080,0.017192,58000,
1463513252,1.311790,0.116594,0.069685,0.017192,58000,
1463513253,0.808955,0.115392,0.002718,0.017192,58000,
1463513253,0.673530,0.126210,0.002718,0.017192,57000,
1463513253,0.477288,0.106978,0.002718,0.017192,57000,
1463513254,1.055000,0.117796,0.002718,0.017192,57000,
1463513254,0.697686,0.117796,0.035295,0.017192,58000,
1463513254,1.054053,0.132220,0.091405,0.017192,58000,
1463513254,0.442520,0.110584,0.043440,0.017192,58000,
1463513255,0.696093,0.104574,0.026245,0.017192,58000,
1463513255,0.514269,0.118998,0.058825,0.017192,57000,
1463513255,0.057330,0.118998,0.072400,0.017192,57000,
1463513256,0.008199,0.109382,0.097740,0.037481,57000,
1463513256,0.280016,0.094958,0.002718,0.018900,55000,
1463513256,1.020604,0.106978,0.020815,0.080937,55000,
1463513256,0.092820,0.134624,0.063350,0.017192,55000,
1463513257,0.008199,0.102170,0.048870,0.040182,55000,
1463513257,0.007288,0.090150,0.002715,0.014175,55000,
1463513257,0.007288,0.092554,0.002718,0.014175,55000,
1463513258,0.183652,0.117796,0.001812,0.027405,55000,
1463513258,1.114932,0.112988,0.002715,0.146625,59000,
1463513258,1.346359,0.131018,0.035295,0.017192,59000,
1463513258,0.868599,0.147846,0.092310,0.017192,59000,
1463513259,0.164160,0.123806,0.104980,0.017192,59000,
1463513259,0.479980,0.109382,0.036200,0.082296,57000,
1463513259,1.335630,0.141836,0.114030,0.017192,57000,
1463513260,0.870473,0.123806,0.073143,0.017192,57000,
1463513260,1.079265,0.134624,0.065160,0.017192,59000,
1463513260,0.049140,0.116594,0.114030,0.017192,59000,
1463513260,0.582888,0.109382,0.013575,0.135898,59000,
1463513261,0.763702,0.104574,0.002715,0.093632,59000,
1463513261,0.891333,0.105776,0.002715,0.017192,59000,
1463513261,0.144886,0.123806,0.042535,0.017192,59000,
1463513262,0.537199,0.134624,0.073143,0.068046,59000,
1463513262,0.557664,0.100968,0.043440,0.147720,57000,
1463513262,0.794646,0.106978,0.002718,0.017192,57000,
1463513262,0.115251,0.093756,0.002718,0.017192,57000,
1463513263,0.766865,0.118998,0.020815,0.160650,57000,
1463513263,0.627154,0.104574,0.008154,0.017192,57000,
1463513263,0.102032,0.120200,0.112220,0.017192,57000,
1463513264,0.008199,0.109382,0.034390,0.026700,57000,
1463513264,0.008199,0.090150,0.002718,0.014175,55000,
1463513264,0.582827,0.096160,0.001812,0.047088,55000,
1463513264,0.788205,0.121402,0.002718,0.081246,55000,
1463513265,1.494689,0.144240,0.107695,0.017192,55000,
1463513265,0.103734,0.133422,0.076925,0.017192,57000,
1463513265,0.630960,0.115392,0.020815,0.107630,57000,
1463513266,0.854428,0.137028,0.095025,0.030700,57000,
1463513266,0.871212,0.118998,0.041630,0.017192,60000,
1463513266,0.436320,0.128614,0.115840,0.017192,60000,
1463513266,0.008199,0.112988,0.047060,0.066360,60000,
1463513267,0.572320,0.110584,0.002715,0.188892,60000,
1463513267,0.548948,0.102170,0.002718,0.063960,57000,
1463513267,0.621387,0.108180,0.002715,0.017192,57000,
1463513268,0.074620,0.111786,0.061540,0.017192,57000,
1463513268,1.307056,0.144240,0.073305,0.172216,61000,
1463513268,1.395603,0.109382,0.026245,0.017192,61000,
1463513268,0.187060,0.098564,0.002718,0.017192,61000,
1463513269,0.615714,0.111786,0.002718,0.059784,61000,
1463513269,1.242201,0.112988,0.021720,0.109648,59000,
1463513269,0.364000,0.114190,0.034390,0.017192,59000,
1463513270,0.008199,0.090150,0.017195,0.021735,59000,
1463513270,0.008199,0.091352,0.002715,0.009450,55000,
1463513270,0.431489,0.118998,0.002715,0.041065,55000,
1463513270,1.001997,0.123806,0.001810,0.112112,55000,
1463513271,1.508380,0.151452,0.108600,0.017192,55000,
1463513271,0.175959,0.115392,0.079640,0.017192,58000,
1463513271,0.449190,0.116594,0.022625,0.099624,58000,
1463513272,0.902850,0.149048,0.091405,0.054120,58000,
1463513272,1.100365,0.131018,0.084165,0.017192,58000,
1463513272,0.773952,0.122604,0.047060,0.017192,58000,
1463513272,0.651900,0.127412,0.106790,0.017192,58000,
1463513273,0.452670,0.110584,0.002715,0.172800,58000,
1463513273,0.596875,0.103372,0.002718,0.087401,57000,
1463513273,0.678044,0.109382,0.001812,0.017192,57000,
