timestamp,armW,memW,g3dW,kfcW,temperature,dumb
1469653009,0.007288,0.100968,0.015402,0.061866,53000,
1469653009,0.326879,0.097362,0.001812,0.111180,53000,
1469653009,0.026419,0.090150,0.001812,0.020214,53000,
1469653010,0.007288,0.090150,0.001812,0.052676,53000,
1469653010,0.332248,0.098564,0.001812,0.172900,53000,
1469653010,0.697840,0.106978,0.001812,0.015990,54000,
1469653010,0.683184,0.098564,0.001812,0.015990,54000,
1469653011,0.078813,0.088948,0.001812,0.019376,54000,
1469653011,0.007288,0.094958,0.001812,0.049979,53000,
1469653011,0.142870,0.100968,0.001812,0.067540,53000,
1469653012,0.220864,0.094958,0.001812,0.147864,53000,
1469653012,0.013665,0.093756,0.001812,0.032580,53000,
1469653012,0.532140,0.102170,0.005436,0.091640,54000,
1469653012,0.127324,0.106978,0.052490,0.037472,54000,
1469653013,0.158862,0.098564,0.019005,0.186930,54000,
1469653013,0.666645,0.139432,0.102039,0.015964,56000,
1469653013,0.833127,0.139432,0.105885,0.015964,56000,
1469653014,0.464576,0.138230,0.075115,0.092400,56000,
1469653014,0.663986,0.140634,0.009060,0.015964,56000,
1469653014,0.767340,0.111786,0.001812,0.017220,56000,
1469653014,0.987915,0.110584,0.074210,0.017192,56000,
1469653015,1.529218,0.153856,0.100455,0.017192,56000,
1469653015,0.606060,0.145442,0.084165,0.017192,56000,
1469653015,0.093730,0.121402,0.038915,0.023160,56000,
1469653016,0.351808,0.110584,0.045250,0.106820,56000,
1469653016,0.407453,0.121402,0.099550,0.017192,56000,
1469653016,0.812742,0.121402,0.030770,0.089936,56000,
1469653016,0.753717,0.109382,0.052490,0.017192,56000,
1469653017,1.498502,0.122604,0.095930,0.017192,56000,
1469653017,0.584010,0.125008,0.035295,0.017220,58000,
1469653017,0.882816,0.110584,0.001812,0.017192,58000,
1469653017,0.485572,0.105776,0.028960,0.017220,58000,
1469653018,1.283058,0.123806,0.001812,0.017192,58000,
1469653018,0.601938,0.118998,0.001812,0.017192,56000,
1469653018,0.896103,0.102170,0.036200,0.091200,56000,
1469653019,0.506506,0.105776,0.019932,0.017192,56000,
1469653019,0.667457,0.103372,0.001812,0.017192,56000,
1469653019,0.057393,0.106978,0.001812,0.061056,56000,
1469653019,0.700596,0.122604,0.057015,0.077553,56000,
1469653020,0.406674,0.096160,0.001812,0.017220,56000,
1469653020,1.191162,0.115392,0.001812,0.017192,59000,
1469653020,0.330600,0.105776,0.019910,0.017220,59000,
1469653021,0.403200,0.102170,0.010872,0.093375,59000,
1469653021,0.187110,0.114190,0.069685,0.018195,59000,
1469653021,0.491790,0.102170,0.039820,0.105064,56000,
1469653021,0.409032,0.121402,0.043440,0.017192,56000,
1469653022,1.148092,0.115392,0.001812,0.017192,56000,
1469653022,0.138450,0.099766,0.028055,0.036270,55000,
1469653022,0.480186,0.110584,0.032580,0.017220,55000,
1469653023,0.013665,0.105776,0.025340,0.036855,55000,
1469653023,0.415520,0.104574,0.030770,0.089475,55000,
1469653023,0.055876,0.096160,0.001812,0.034140,55000,
1469653023,0.770280,0.121402,0.053395,0.083973,55000,
1469653024,0.522640,0.110584,0.022625,0.017192,55000,
1469653024,0.787262,0.105776,0.001812,0.017192,55000,
1469653024,0.057330,0.103372,0.021720,0.074560,55000,
1469653025,0.673728,0.117796,0.073305,0.075091,55000,
1469653025,0.520618,0.109382,0.015402,0.017220,55000,
1469653025,0.039173,0.105776,0.028055,0.035557,54000,
1469653025,0.370560,0.105776,0.029898,0.102168,54000,
1469653026,0.658329,0.096160,0.033522,0.099268,54000,
1469653026,0.385286,0.117796,0.037105,0.017220,55000,
1469653026,0.670308,0.112988,0.001812,0.015964,55000,
1469653027,0.025508,0.103372,0.024435,0.062865,55000,
1469653027,0.857556,0.104574,0.065160,0.073860,55000,
1469653027,0.546887,0.121402,0.035295,0.017220,55000,
1469653027,0.083812,0.106978,0.026245,0.035936,55000,
1469653028,0.359414,0.105776,0.029865,0.098212,55000,
1469653028,0.081488,0.098564,0.001812,0.023860,54000,
1469653028,0.595360,0.100968,0.031710,0.094608,54000,
1469653029,0.425952,0.123806,0.040725,0.017220,54000,
1469653029,0.630004,0.108180,0.001812,0.017192,54000,
1469653029,0.586484,0.106978,0.060635,0.103488,54000,
1469653029,0.532024,0.116594,0.028086,0.017220,54000,
1469653030,0.078260,0.103372,0.026245,0.029640,54000,
1469653030,0.625059,0.100968,0.059730,0.084180,55000,
1469653030,0.095550,0.121402,0.034390,0.046002,55000,
1469653031,0.660000,0.112988,0.066970,0.077553,55000,
1469653031,0.425820,0.116594,0.014496,0.017220,55000,
1469653031,0.634063,0.115392,0.001812,0.017192,56000,
1469653031,0.024597,0.103372,0.026245,0.053800,56000,
1469653032,0.469794,0.109382,0.067875,0.102680,56000,
1469653032,0.498300,0.115392,0.015402,0.017220,54000,
1469653032,0.133770,0.104574,0.022650,0.025476,54000,
1469653033,0.647192,0.105776,0.043440,0.098072,54000,
1469653033,0.572607,0.116594,0.060635,0.103404,54000,
1469653033,0.553520,0.114190,0.018120,0.017220,55000,
1469653033,0.783178,0.109382,0.015402,0.017192,55000,
1469653034,0.073710,0.102170,0.008154,0.090558,55000,
1469653034,0.668800,0.120200,0.074210,0.062730,55000,
1469653034,0.510078,0.115392,0.015402,0.017220,55000,
1469653035,0.030063,0.103372,0.019005,0.054048,55000,
1469653035,0.905100,0.116594,0.070590,0.061500,55000,
1469653035,0.052838,0.102170,0.018120,0.073190,58000,
1469653035,0.827386,0.126210,0.085975,0.049200,58000,
1469653036,0.687400,0.110584,0.005436,0.017192,58000,
1469653036,0.373380,0.102170,0.019910,0.021096,55000,
1469653036,0.177650,0.105776,0.028055,0.130104,55000,
1469653037,0.405429,0.102170,0.001812,0.017220,55000,
1469653037,0.017309,0.108180,0.024435,0.100810,55000,
1469653037,0.470815,0.121402,0.078735,0.083708,55000,
1469653037,0.546140,0.102170,0.021720,0.017220,55000,
1469653038,0.742994,0.102170,0.070590,0.017192,55000,
1469653038,0.675450,0.114190,0.001812,0.017220,56000,
1469653038,0.235144,0.111786,0.021744,0.027554,56000,
1469653039,0.432249,0.104574,0.038052,0.101050,56000,
1469653039,0.746850,0.109382,0.038010,0.017192,56000,
1469653039,0.040995,0.110584,0.052490,0.041551,58000,
1469653039,0.788096,0.104574,0.019910,0.077553,58000,
1469653040,0.101010,0.123806,0.061540,0.077854,58000,
1469653040,0.838785,0.100968,0.021744,0.052890,56000,
1469653040,0.624008,0.112988,0.002718,0.017192,56000,
1469653041,0.772638,0.102170,0.019932,0.017192,56000,
1469653041,0.762235,0.122604,0.039820,0.017192,56000,
1469653041,0.236080,0.109382,0.059730,0.017880,55000,
1469653041,0.060918,0.106978,0.021744,0.133346,55000,
1469653042,0.192700,0.096160,0.019910,0.023160,55000,
1469653042,0.203176,0.096160,0.001812,0.102460,55000,
1469653042,0.577200,0.125008,0.039864,0.017220,55000,
1469653043,0.967170,0.114190,0.077830,0.017220,55000,
1469653043,0.234183,0.106978,0.001812,0.028290,55000,
1469653043,0.894200,0.102170,0.026245,0.080015,56000,
1469653043,0.589797,0.125008,0.060635,0.015964,56000,
1469653044,0.008199,0.104574,0.023530,0.083835,56000,
1469653044,0.462608,0.105776,0.027150,0.036900,55000,
1469653044,0.083902,0.103372,0.026245,0.102648,55000,
1469653045,0.887205,0.129816,0.015402,0.017192,55000,
1469653045,0.824348,0.106978,0.072400,0.015964,55000,
1469653045,0.222981,0.105776,0.001812,0.038794,55000,
1469653045,0.256366,0.105776,0.026245,0.115443,55000,
1469653046,0.598444,0.116594,0.039820,0.017192,55000,
1469653046,0.516328,0.111786,0.054300,0.017192,54000,
1469653046,0.008199,0.103372,0.015402,0.053901,54000,
1469653047,0.550196,0.098564,0.010872,0.059088,54000,
1469653047,0.062859,0.098564,0.043440,0.074118,54000,
1469653047,0.834208,0.122604,0.001812,0.028290,55000,
1469653047,0.485093,0.108180,0.070590,0.017220,55000,
1469653048,0.177821,0.104574,0.012684,0.115847,55000,
1469653048,0.739009,0.121402,0.038915,0.017192,56000,
1469653048,0.501018,0.104574,0.066065,0.017220,56000,
1469653049,0.034618,0.103372,0.001812,0.031523,56000,
1469653049,0.399190,0.118998,0.026245,0.090480,56000,
1469653049,0.285600,0.115392,0.071495,0.031239,54000,
1469653049,0.524114,0.123806,0.047965,0.090896,54000,
1469653050,0.421200,0.115392,0.066970,0.017220,54000,
1469653050,0.682058,0.115392,0.038010,0.017192,54000,
1469653050,0.106372,0.104574,0.045250,0.054768,54000,
1469653051,0.549256,0.098564,0.001812,0.085008,54000,
