timestamp,armW,memW,g3dW,kfcW,temperature,dumb
1469637007,0.047372,0.115392,0.076925,0.026422,56000,
1469637007,0.007288,0.104574,0.001812,0.101340,57000,
1469637008,1.149120,0.111786,0.026245,0.017220,57000,
1469637008,0.324445,0.109382,0.088690,0.037224,57000,
1469637008,0.007288,0.099766,0.013590,0.107184,57000,
1469637009,0.171288,0.110584,0.001812,0.128232,56000,
1469637009,0.914955,0.104574,0.001812,0.017220,56000,
1469637009,0.642703,0.094958,0.001812,0.017220,56000,
1469637009,0.531828,0.094958,0.001812,0.017220,65000,
1469637010,1.116162,0.096160,0.001812,0.015990,65000,
1469637010,1.578191,0.094958,0.001812,0.017220,65000,
1469637010,0.243636,0.092554,0.001812,0.017220,65000,
1469637011,0.016398,0.096160,0.001812,0.061803,54000,
1469637011,0.427490,0.104574,0.024435,0.065243,54000,
1469637011,1.565811,0.152654,0.099550,0.015990,54000,
1469637011,0.604969,0.111786,0.074210,0.017220,56000,
1469637012,0.538488,0.115392,0.105885,0.017220,56000,
1469637012,0.110110,0.120200,0.066970,0.170892,56000,
1469637012,0.507636,0.112988,0.043440,0.017220,56000,
1469637013,0.663920,0.097362,0.015402,0.017220,56000,
1469637013,0.696673,0.123806,0.071495,0.017220,56000,
1469637013,1.005720,0.144240,0.119460,0.017220,56000,
1469637013,0.394065,0.137028,0.093215,0.092745,56000,
1469637014,0.535392,0.112988,0.001812,0.017220,56000,
1469637014,1.058792,0.134624,0.037105,0.017220,56000,
1469637014,0.933864,0.159866,0.090500,0.017220,56000,
1469637015,1.575735,0.143038,0.104075,0.017220,57000,
1469637015,0.334144,0.111786,0.038010,0.026266,57000,
1469637015,0.112651,0.106978,0.024435,0.092586,57000,
1469637015,0.976897,0.137028,0.117650,0.017220,57000,
1469637016,0.628320,0.096160,0.028960,0.017220,57000,
1469637016,0.307188,0.097362,0.001812,0.050204,57000,
1469637016,0.330344,0.105776,0.001812,0.093632,57000,
1469637017,0.441329,0.117796,0.001812,0.017220,60000,
1469637017,0.801050,0.137028,0.103170,0.017220,60000,
1469637017,1.043643,0.135826,0.084165,0.017220,60000,
1469637018,0.345948,0.106978,0.047965,0.028050,55000,
1469637018,0.008199,0.114190,0.019910,0.094500,55000,
1469637018,0.698196,0.132330,0.111315,0.027761,55000,
1469637018,0.091200,0.106978,0.042535,0.114464,55000,
1469637019,0.839482,0.114190,0.001812,0.017220,59000,
1469637019,0.934864,0.131018,0.001812,0.017220,59000,
1469637019,0.996730,0.146644,0.096835,0.017220,59000,
1469637020,0.711256,0.133422,0.083260,0.017220,56000,
1469637020,0.008199,0.109382,0.060635,0.026422,56000,
1469637020,0.783065,0.116594,0.016308,0.099006,56000,
1469637020,0.483630,0.111786,0.037105,0.061550,56000,
1469637021,0.800358,0.111786,0.001812,0.017220,56000,
1469637021,0.984550,0.155058,0.001812,0.017220,56000,
1469637021,0.857500,0.129816,0.105885,0.017220,56000,
1469637022,0.579016,0.129816,0.095025,0.017220,56000,
1469637022,0.030063,0.134624,0.076020,0.016940,56000,
1469637022,0.540960,0.110584,0.029865,0.083997,56000,
1469637022,0.509855,0.121402,0.073386,0.028290,56000,
1469637023,0.640026,0.128614,0.062445,0.017220,56000,
1469637023,0.580928,0.109382,0.001812,0.017220,56000,
1469637023,1.139800,0.114190,0.001812,0.017220,56000,
1469637024,1.091989,0.144240,0.085975,0.017220,59000,
1469637024,0.065520,0.129816,0.069685,0.017895,59000,
1469637024,0.580125,0.111786,0.030770,0.097929,59000,
1469637024,0.357170,0.125008,0.085070,0.024600,59000,
1469637025,0.710704,0.118998,0.065160,0.096096,58000,
1469637025,0.615120,0.112988,0.001812,0.017220,58000,
1469637025,1.186110,0.111786,0.001812,0.017220,58000,
1469637026,0.743238,0.150250,0.081450,0.017220,60000,
1469637026,0.902704,0.126210,0.076925,0.017220,60000,
1469637026,0.029152,0.122604,0.058825,0.019992,60000,
1469637026,0.593572,0.105776,0.031675,0.101745,60000,
1469637027,0.570633,0.127412,0.099550,0.017220,57000,
1469637027,0.643968,0.117796,0.001812,0.017220,57000,
1469637027,1.119666,0.114190,0.001812,0.017220,57000,
1469637028,0.795372,0.151578,0.076020,0.017220,58000,
1469637028,0.961632,0.131018,0.082355,0.017220,58000,
1469637028,0.103740,0.125008,0.085785,0.017220,58000,
1469637028,0.266772,0.098564,0.029865,0.041656,58000,
1469637029,0.673550,0.132220,0.060635,0.081312,56000,
1469637029,0.904424,0.114190,0.091405,0.017220,56000,
1469637029,0.469826,0.114190,0.004530,0.017220,56000,
1469637030,1.237152,0.110584,0.001812,0.017220,58000,
1469637030,0.629720,0.149048,0.041676,0.017220,58000,
1469637030,0.184730,0.122604,0.080545,0.017220,58000,
1469637030,0.285348,0.104574,0.035295,0.047385,58000,
1469637031,0.753472,0.134624,0.053454,0.062781,57000,
1469637031,0.761772,0.114190,0.095025,0.017220,57000,
1469637031,0.442267,0.117796,0.004530,0.017220,57000,
1469637032,1.101450,0.110584,0.001812,0.017220,57000,
1469637032,0.761022,0.152781,0.029898,0.017220,57000,
1469637032,1.145550,0.134624,0.104075,0.017220,57000,
1469637032,0.198598,0.121402,0.084165,0.017220,57000,
1469637033,0.356048,0.102170,0.034390,0.072000,60000,
1469637033,0.748944,0.132220,0.044394,0.057857,60000,
1469637033,0.665704,0.103372,0.093215,0.017220,60000,
1469637034,0.496320,0.103372,0.001812,0.017220,58000,
1469637034,0.775008,0.122604,0.037105,0.017220,58000,
1469637034,1.109752,0.155058,0.100455,0.017220,58000,
1469637034,0.273000,0.133422,0.090500,0.017220,58000,
1469637035,0.008208,0.115392,0.038010,0.036925,56000,
1469637035,0.762808,0.099766,0.029898,0.090592,56000,
1469637035,0.823898,0.133422,0.113125,0.017220,56000,
1469637036,0.483558,0.110584,0.019910,0.017220,56000,
1469637036,0.918288,0.118998,0.001812,0.017220,56000,
1469637036,1.277804,0.118998,0.032616,0.017220,56000,
1469637036,0.930784,0.162270,0.107695,0.017220,56000,
1469637037,0.495015,0.129816,0.086880,0.017220,56000,
1469637037,0.032796,0.118998,0.069685,0.023100,56000,
1469637037,0.616192,0.128721,0.108600,0.017220,56000,
