timestamp,armW,memW,g3dW,kfcW,temperature,dumb
1469645960,0.007288,0.104574,0.008154,0.061194,53000,
1469645961,0.284746,0.106978,0.028960,0.061550,53000,
1469645961,1.433745,0.132220,0.039864,0.017192,53000,
1469645961,0.155644,0.116594,0.116745,0.050133,53000,
1469645961,0.007288,0.092554,0.009060,0.052808,53000,
1469645962,0.107300,0.100968,0.001812,0.084318,53000,
1469645962,0.890560,0.111786,0.001812,0.015990,53000,
1469645962,0.731380,0.105776,0.001812,0.015990,55000,
1469645963,0.612480,0.096160,0.001812,0.015964,55000,
1469645963,1.151208,0.098564,0.001812,0.015964,55000,
1469645963,1.628200,0.094958,0.001812,0.017192,56000,
1469645963,0.636714,0.106978,0.001812,0.015899,56000,
1469645964,0.074702,0.092554,0.001812,0.031119,56000,
1469645964,0.007288,0.098564,0.001812,0.102554,56000,
1469645964,0.698913,0.126210,0.020815,0.017192,58000,
1469645965,1.134414,0.140634,0.093215,0.017192,58000,
1469645965,0.754776,0.109382,0.068780,0.017192,58000,
1469645965,0.484410,0.127412,0.097740,0.055188,57000,
1469645965,0.060786,0.108180,0.076925,0.100532,57000,
1469645966,0.555889,0.112988,0.034390,0.086505,57000,
1469645966,0.194579,0.102170,0.026245,0.089936,57000,
1469645966,0.525248,0.131018,0.058825,0.017192,60000,
1469645967,1.161000,0.125008,0.086880,0.017192,60000,
1469645967,1.024800,0.112988,0.018100,0.017220,60000,
1469645967,0.597168,0.112988,0.001812,0.017192,57000,
1469645967,1.205118,0.150375,0.030804,0.017192,57000,
1469645968,1.088136,0.134624,0.072400,0.017192,57000,
1469645968,1.670042,0.149048,0.086880,0.017192,57000,
1469645968,0.694710,0.115392,0.091405,0.017192,56000,
1469645969,0.158340,0.111786,0.038915,0.101880,56000,
1469645969,0.500122,0.131018,0.040725,0.017192,56000,
1469645969,0.591552,0.108180,0.121270,0.017192,56000,
1469645969,0.781944,0.098564,0.012684,0.039445,56000,
1469645970,0.013665,0.106978,0.002718,0.116958,56000,
1469645970,0.385560,0.116594,0.001812,0.017220,56000,
1469645970,0.617100,0.116594,0.001812,0.017192,57000,
1469645971,0.869864,0.151452,0.091405,0.017192,57000,
1469645971,0.841911,0.129816,0.082355,0.017220,57000,
1469645971,0.073710,0.105776,0.033485,0.099000,57000,
1469645971,0.799800,0.118998,0.053454,0.017192,57000,
1469645972,0.629180,0.131018,0.098645,0.017192,57000,
1469645972,0.532172,0.103372,0.003624,0.017220,57000,
1469645972,0.632620,0.115392,0.002718,0.017192,58000,
