timestamp,armW,memW,g3dW,kfcW,temperature,dumb
1469649471,0.504642,0.110584,0.005436,0.029520,53000,
1469649471,0.085540,0.094958,0.021720,0.185283,53000,
1469649471,0.405552,0.088948,0.013590,0.073920,53000,
1469649472,0.007288,0.131127,0.100455,0.232368,53000,
1469649472,0.007288,0.112988,0.011778,0.105834,53000,
1469649472,0.368811,0.099766,0.001812,0.131100,53000,
1469649472,0.994375,0.109382,0.001812,0.015964,55000,
1469649473,0.728842,0.098564,0.001812,0.015964,55000,
1469649473,1.614244,0.098564,0.001812,0.017192,55000,
1469649473,0.683306,0.096160,0.001812,0.017192,55000,
1469649474,0.065520,0.091352,0.001812,0.016520,55000,
1469649474,0.007288,0.093756,0.001812,0.021735,55000,
1469649474,0.007288,0.109382,0.001812,0.064260,55000,
1469649474,0.007288,0.098564,0.001812,0.050640,53000,
1469649475,0.117602,0.099766,0.001812,0.046550,53000,
1469649475,1.686360,0.114190,0.047965,0.091094,53000,
1469649475,0.938925,0.157462,0.098645,0.017192,53000,
1469649476,0.739860,0.111786,0.078561,0.017192,55000,
1469649476,0.697200,0.122604,0.047060,0.118998,55000,
1469649476,0.149471,0.109382,0.037105,0.046080,55000,
1469649476,0.594384,0.097362,0.033485,0.091725,56000,
1469649477,1.081000,0.132220,0.075115,0.015964,56000,
1469649477,0.637560,0.129816,0.101360,0.017192,56000,
1469649477,1.002540,0.120200,0.054300,0.017192,56000,
1469649478,0.567588,0.118998,0.001812,0.017220,56000,
1469649478,0.937392,0.104574,0.001812,0.017220,56000,
1469649478,1.039302,0.153856,0.089595,0.017192,56000,
1469649478,1.949394,0.133422,0.065160,0.017192,58000,
1469649479,0.825291,0.150250,0.101360,0.017192,58000,
1469649479,0.256964,0.118998,0.066970,0.017192,58000,
1469649479,0.693114,0.120200,0.085070,0.087330,58000,
1469649480,0.868868,0.122604,0.065160,0.017220,57000,
1469649480,0.238128,0.096160,0.001812,0.017220,57000,
1469649480,0.504748,0.099766,0.001812,0.112014,57000,
1469649480,0.305136,0.123806,0.001812,0.020910,61000,
1469649481,1.530417,0.123806,0.023530,0.105866,61000,
1469649481,0.774443,0.129816,0.101360,0.017192,61000,
1469649481,1.083105,0.152654,0.076925,0.017192,61000,
1469649482,0.348672,0.131018,0.064255,0.017192,56000,
1469649482,0.010932,0.117796,0.022625,0.029322,56000,
1469649482,0.681642,0.100968,0.085070,0.100920,56000,
1469649482,0.089180,0.129816,0.081450,0.037472,56000,
1469649483,0.692831,0.108180,0.001812,0.017192,56000,
1469649483,1.098000,0.116594,0.038915,0.017192,56000,
1469649483,0.992802,0.152654,0.113125,0.015964,56000,
1469649484,0.758352,0.140634,0.085975,0.015964,57000,
1469649484,0.521856,0.133422,0.082173,0.017192,57000,
1469649484,0.141050,0.120200,0.049775,0.017192,57000,
1469649484,0.288530,0.099766,0.020838,0.073130,59000,
1469649485,0.737748,0.116594,0.107695,0.040590,59000,
1469649485,0.383356,0.129816,0.028055,0.124655,59000,
1469649485,0.423657,0.106978,0.001812,0.018450,59000,
1469649486,1.108808,0.108180,0.001812,0.017192,58000,
