timestamp,armW,memW,g3dW,kfcW,temperature,dumb
1469660740,0.268768,0.115392,0.079640,0.015990,54000,
1469660740,0.460558,0.097362,0.009060,0.088704,54000,
1469660741,0.146080,0.114190,0.105885,0.017220,54000,
1469660741,0.007288,0.093756,0.019005,0.054696,53000,
1469660741,0.264880,0.099766,0.001812,0.065670,53000,
1469660742,0.852128,0.117796,0.001812,0.093252,53000,
1469660742,0.604128,0.105776,0.001812,0.015990,54000,
1469660742,0.635580,0.096160,0.001812,0.017220,54000,
1469660742,1.261855,0.098564,0.001812,0.015990,54000,
1469660743,1.437468,0.094958,0.001812,0.017220,54000,
1469660743,0.275713,0.094958,0.001812,0.017220,55000,
1469660743,0.664241,0.109382,0.001812,0.017220,55000,
1469660744,0.022775,0.109382,0.001812,0.017220,55000,
1469660744,0.191992,0.098564,0.001812,0.042525,60000,
1469660744,1.869272,0.099766,0.024435,0.087308,60000,
1469660744,0.676200,0.127412,0.073305,0.017220,60000,
1469660745,0.071058,0.108180,0.108600,0.023085,60000,
1469660745,0.767315,0.128614,0.069685,0.127440,56000,
1469660745,0.136900,0.110584,0.050680,0.038240,56000,
1469660746,0.643670,0.105776,0.018120,0.122196,56000,
1469660746,1.207584,0.115392,0.065160,0.017220,56000,
1469660746,0.375959,0.137028,0.090500,0.017220,56000,
1469660746,0.575016,0.138230,0.075115,0.146168,56000,
1469660747,0.514932,0.111786,0.001812,0.017220,56000,
1469660747,1.034775,0.134624,0.050680,0.017220,57000,
1469660747,1.420168,0.138230,0.060635,0.017192,57000,
1469660748,0.697788,0.106978,0.070590,0.017220,57000,
1469660748,0.568062,0.137028,0.105885,0.017220,56000,
1469660748,0.529104,0.128614,0.079640,0.017220,56000,
1469660749,0.291468,0.118998,0.076925,0.017220,56000,
1469660749,0.010932,0.106978,0.036200,0.019397,56000,
1469660749,0.735570,0.103372,0.032580,0.098523,58000,
1469660749,0.597792,0.135826,0.114935,0.017220,58000,
1469660750,0.435741,0.102170,0.022625,0.017220,58000,
1469660750,0.352320,0.097362,0.001812,0.066416,56000,
1469660750,0.490455,0.111786,0.001812,0.062781,56000,
1469660751,0.842624,0.131018,0.029898,0.015990,56000,
1469660751,1.291080,0.150250,0.101360,0.017220,56000,
1469660751,0.723492,0.128614,0.085070,0.017220,56000,
1469660751,0.145008,0.112988,0.061540,0.017220,56000,
1469660752,0.501036,0.104574,0.019910,0.091287,56000,
1469660752,0.595840,0.137028,0.105885,0.033210,60000,
1469660752,0.822640,0.106978,0.044345,0.017220,60000,
1469660753,0.597632,0.116594,0.001812,0.015990,60000,
1469660753,1.520064,0.118998,0.001812,0.015990,60000,
1469660753,1.066305,0.161068,0.101360,0.017220,59000,
1469660753,0.565488,0.128614,0.084165,0.017220,59000,
1469660754,0.471120,0.115392,0.085070,0.017220,59000,
1469660754,0.153974,0.104574,0.035295,0.037472,55000,
1469660754,0.683675,0.138230,0.059730,0.104574,55000,
1469660755,0.825346,0.112988,0.098645,0.017220,55000,
1469660755,0.509970,0.117796,0.001812,0.017220,55000,
1469660755,1.121728,0.117796,0.001812,0.017220,60000,
1469660755,1.103382,0.153856,0.061540,0.017220,60000,
1469660756,0.879957,0.153856,0.088690,0.017220,60000,
1469660756,0.554799,0.127412,0.073305,0.017220,56000,
1469660756,0.353400,0.122604,0.079640,0.017220,56000,
1469660757,0.619400,0.111786,0.032580,0.017220,56000,
1469660757,0.955305,0.109382,0.073305,0.017220,56000,
1469660757,0.669552,0.138230,0.084165,0.017220,57000,
1469660757,1.243333,0.115392,0.001812,0.017220,57000,
1469660758,1.166320,0.129816,0.065160,0.017220,57000,
1469660758,1.594660,0.152654,0.096835,0.017220,62000,
1469660758,0.552188,0.135826,0.076925,0.017220,62000,
1469660759,0.008208,0.116594,0.036200,0.028836,62000,
1469660759,0.838950,0.100968,0.038915,0.096596,62000,
1469660759,0.887224,0.140634,0.109505,0.017220,59000,
1469660759,0.604890,0.111786,0.012670,0.017220,59000,
1469660760,1.023130,0.112988,0.001812,0.017220,59000,
1469660760,1.081106,0.131018,0.056110,0.017220,61000,
1469660760,1.113574,0.152654,0.088690,0.017220,61000,
1469660761,0.702878,0.132220,0.076020,0.017220,61000,
1469660761,0.625404,0.104574,0.027180,0.110250,61000,
1469660761,0.666162,0.137028,0.114030,0.017220,57000,
1469660761,0.763680,0.108180,0.019026,0.017220,57000,
1469660762,0.651456,0.120200,0.001812,0.017220,57000,
1469660762,1.289196,0.105776,0.017214,0.017220,61000,
1469660762,1.393854,0.156260,0.106790,0.017220,61000,
1469660762,0.903585,0.132220,0.086880,0.017220,61000,
1469660763,0.819557,0.126210,0.083260,0.017220,61000,
1469660763,0.060060,0.112988,0.052490,0.018450,56000,
1469660763,0.157508,0.108180,0.029865,0.045495,56000,
1469660764,0.931884,0.128614,0.088690,0.092400,56000,
1469660764,0.853668,0.125008,0.073305,0.017220,57000,
1469660764,0.492900,0.114190,0.001812,0.017220,57000,
1469660764,1.260336,0.157462,0.076925,0.017220,57000,
1469660765,0.796401,0.131018,0.095025,0.017220,57000,
1469660765,0.555378,0.117796,0.068780,0.017220,57000,
1469660765,0.275124,0.112988,0.074046,0.017220,57000,
1469660766,0.052326,0.100968,0.028055,0.025825,57000,
1469660766,1.170400,0.128614,0.082355,0.089688,57000,
1469660766,0.593920,0.116594,0.085975,0.017220,57000,
1469660767,0.520020,0.115392,0.004530,0.017220,57000,
1469660767,0.693720,0.108180,0.001812,0.017220,57000,
1469660767,0.944423,0.139432,0.023556,0.017220,57000,
1469660767,1.390696,0.150250,0.101360,0.017220,57000,
1469660768,0.567156,0.121402,0.078735,0.017220,57000,
1469660768,0.122850,0.122604,0.043440,0.017220,55000,
1469660768,0.177080,0.104574,0.030770,0.048768,55000,
1469660769,0.922945,0.103372,0.086880,0.073920,55000,
1469660769,0.970688,0.143038,0.068780,0.017220,55000,
1469660769,0.459654,0.109382,0.001812,0.017220,56000,
1469660769,1.204896,0.109382,0.001812,0.017220,56000,
1469660770,1.382616,0.132220,0.083260,0.017220,56000,
1469660770,1.004586,0.149048,0.093215,0.017220,58000,
1469660770,0.555436,0.125008,0.076020,0.017220,58000,
1469660771,0.063770,0.106978,0.039820,0.022667,58000,
1469660771,0.765696,0.102170,0.042535,0.099846,58000,
1469660771,0.510081,0.114190,0.011778,0.017220,56000,
1469660771,0.789222,0.114190,0.001812,0.017220,56000,
1469660772,1.356667,0.116594,0.037105,0.017220,56000,
1469660772,1.028938,0.156260,0.113125,0.017220,62000,
1469660772,0.882560,0.132220,0.077830,0.017220,62000,
1469660773,0.172900,0.112988,0.051585,0.017220,62000,
1469660773,0.428381,0.105776,0.036200,0.094500,62000,
1469660773,0.821808,0.129816,0.104980,0.017220,58000,
1469660773,0.680400,0.114190,0.040725,0.017220,58000,
1469660774,0.525279,0.112988,0.001812,0.017220,58000,
1469660774,1.245146,0.115392,0.001812,0.017220,60000,
1469660774,1.076004,0.157462,0.109505,0.017220,60000,
1469660775,0.530916,0.122604,0.077830,0.017220,60000,
1469660775,0.416538,0.120200,0.066970,0.017220,60000,
1469660775,0.062859,0.114190,0.030770,0.053912,56000,
1469660775,0.755250,0.127412,0.066065,0.095316,56000,
1469660776,1.180993,0.118998,0.076925,0.017220,56000,
1469660776,0.475488,0.116594,0.001812,0.017220,56000,
1469660776,1.334640,0.121402,0.001812,0.017220,56000,
1469660777,1.093680,0.156260,0.101360,0.017220,56000,
1469660777,0.820952,0.123806,0.085975,0.017220,56000,
1469660777,0.570960,0.121402,0.074210,0.017220,57000,
1469660777,0.124670,0.108180,0.054300,0.017220,57000,
1469660778,0.880276,0.138230,0.091405,0.050471,57000,
1469660778,0.975688,0.109382,0.058825,0.017220,58000,
1469660778,0.473454,0.116594,0.001812,0.017220,58000,
1469660779,1.347424,0.126210,0.001812,0.017220,58000,
1469660779,1.233225,0.153856,0.106790,0.017220,58000,
1469660779,0.826844,0.129816,0.079640,0.017220,58000,
1469660779,0.613050,0.122604,0.076925,0.017220,58000,
1469660780,0.143780,0.122604,0.053395,0.017220,58000,
1469660780,0.171488,0.104574,0.024435,0.055880,59000,
1469660780,0.863811,0.102170,0.093215,0.062781,59000,
1469660781,0.944425,0.140634,0.065160,0.017220,59000,
1469660781,0.519498,0.106978,0.001812,0.017220,59000,
1469660781,1.103382,0.126210,0.084165,0.017220,58000,
1469660781,0.956000,0.153856,0.085975,0.017220,58000,
1469660782,0.567156,0.126210,0.076020,0.017220,58000,
1469660782,0.379126,0.120200,0.078561,0.017220,56000,
1469660782,0.014576,0.109382,0.028055,0.024310,56000,
1469660783,0.644511,0.100968,0.049775,0.097070,56000,
1469660783,0.942552,0.131018,0.110410,0.017220,56000,
1469660783,0.699732,0.112988,0.014496,0.017220,56000,
1469660783,0.680988,0.115392,0.001812,0.017220,56000,
1469660784,1.484197,0.114190,0.028992,0.017220,56000,
1469660784,1.362312,0.156260,0.099550,0.017220,57000,
