timestamp,armW,memW,g3dW,kfcW,temperature,dumb
1469660952,0.006377,0.115392,0.054300,0.098523,53000,
1469660953,0.684684,0.096160,0.001812,0.081312,53000,
1469660953,0.971520,0.115392,0.020815,0.015990,53000,
1469660953,0.033707,0.116594,0.090500,0.057585,53000,
1469660954,0.007288,0.096160,0.027150,0.058587,53000,
1469660954,0.561238,0.099766,0.001812,0.091656,53000,
1469660954,1.362780,0.114190,0.001812,0.015990,55000,
1469660954,0.614390,0.103372,0.001812,0.017220,55000,
1469660955,0.696510,0.093756,0.001812,0.015990,55000,
1469660955,1.639830,0.097362,0.001812,0.015990,54000,
1469660955,0.878475,0.096160,0.001812,0.017220,54000,
1469660956,0.007288,0.112988,0.001812,0.066236,54000,
1469660956,0.007288,0.099766,0.001812,0.064870,54000,
1469660956,1.396782,0.109382,0.001812,0.057857,57000,
1469660956,1.239876,0.152654,0.090500,0.015990,57000,
1469660957,0.887840,0.106978,0.079640,0.017220,57000,
1469660957,0.157302,0.117796,0.089595,0.041625,58000,
1469660957,0.659384,0.121402,0.085975,0.089936,58000,
1469660958,0.217371,0.110584,0.041630,0.067380,58000,
1469660958,0.489549,0.100968,0.030770,0.068936,58000,
1469660958,0.877020,0.128614,0.066970,0.017220,56000,
1469660958,0.988470,0.133422,0.106790,0.017220,56000,
1469660959,0.615126,0.123806,0.095930,0.017220,56000,
1469660959,0.746636,0.108180,0.001812,0.015990,55000,
1469660959,1.071680,0.141836,0.012684,0.015990,55000,
1469660960,1.390819,0.122604,0.079640,0.015990,55000,
1469660960,1.557514,0.129816,0.038915,0.017220,55000,
1469660960,1.047900,0.140634,0.102265,0.017220,58000,
1469660960,0.538200,0.123806,0.080545,0.017220,58000,
1469660961,0.165440,0.109382,0.067725,0.033660,58000,
1469660961,0.621240,0.116594,0.028960,0.083708,56000,
1469660961,0.627533,0.121402,0.090500,0.017220,56000,
1469660962,0.591690,0.094958,0.055205,0.017220,56000,
1469660962,0.122744,0.094958,0.001812,0.058552,56000,
1469660962,0.620294,0.106978,0.001812,0.015990,55000,
1469660962,1.340808,0.111786,0.001812,0.017220,55000,
1469660963,0.893814,0.146644,0.093215,0.017220,55000,
1469660963,1.002848,0.146644,0.099550,0.017220,57000,
1469660963,0.502830,0.122604,0.074210,0.015990,57000,
1469660964,0.269676,0.123806,0.071495,0.027186,57000,
1469660964,0.007288,0.106978,0.031675,0.078309,57000,
1469660964,0.641831,0.102170,0.032580,0.046778,55000,
1469660964,0.096460,0.139432,0.113125,0.137808,55000,
1469660965,0.388959,0.102170,0.019026,0.028290,55000,
1469660965,0.728665,0.118998,0.001812,0.017220,56000,
1469660965,1.135896,0.118998,0.017214,0.017220,56000,
1469660966,0.649946,0.139432,0.082355,0.017220,56000,
1469660966,0.503736,0.121402,0.073305,0.017220,56000,
1469660966,0.318708,0.121402,0.078735,0.018880,55000,
1469660966,0.008199,0.104574,0.042535,0.106700,55000,
1469660967,0.718707,0.111786,0.044345,0.017220,55000,
1469660967,0.692120,0.132220,0.107695,0.017220,55000,
1469660967,0.557655,0.112988,0.015385,0.017220,55000,
1469660968,0.826494,0.112988,0.001812,0.017220,55000,
1469660968,0.929232,0.134624,0.034390,0.017220,55000,
1469660968,0.986580,0.145442,0.097740,0.017220,56000,
1469660968,0.795267,0.122604,0.077830,0.017220,56000,
1469660969,0.011843,0.103372,0.032580,0.086940,56000,
1469660969,0.702032,0.115392,0.038010,0.033210,55000,
1469660969,0.602577,0.126210,0.103170,0.017220,55000,
1469660970,0.580314,0.109382,0.019005,0.017220,55000,
1469660970,0.769902,0.110584,0.001812,0.017220,55000,
1469660970,1.486064,0.151452,0.023556,0.017220,59000,
1469660970,1.187371,0.138230,0.096835,0.017220,59000,
1469660971,0.559062,0.123806,0.083260,0.017220,59000,
1469660971,0.487428,0.118998,0.076925,0.017220,55000,
1469660971,0.118300,0.109382,0.054300,0.024219,55000,
1469660972,0.007288,0.100968,0.020815,0.158004,55000,
1469660972,0.754446,0.105776,0.085975,0.015990,55000,
1469660972,0.479682,0.120200,0.001812,0.017220,56000,
1469660972,0.771945,0.105776,0.001812,0.017220,56000,
1469660973,0.846300,0.153984,0.041630,0.017220,56000,
1469660973,1.080288,0.135826,0.113125,0.017220,57000,
1469660973,0.762048,0.116594,0.085975,0.017220,57000,
1469660974,0.205422,0.103372,0.060635,0.034752,57000,
1469660974,0.224182,0.103372,0.019026,0.090558,57000,
1469660974,0.684944,0.114190,0.077830,0.017220,56000,
1469660974,0.814296,0.131018,0.072400,0.017220,56000,
1469660975,0.468076,0.109382,0.001812,0.017220,56000,
1469660975,1.174950,0.109382,0.001812,0.017220,60000,
1469660975,1.051620,0.150250,0.095930,0.017220,60000,
1469660976,0.515514,0.129816,0.069685,0.017220,60000,
1469660976,0.671365,0.122604,0.076925,0.017220,60000,
1469660976,0.061948,0.111786,0.049775,0.079946,55000,
1469660976,0.724960,0.102170,0.015402,0.039360,55000,
1469660977,0.321540,0.137028,0.110410,0.110970,55000,
1469660977,0.645272,0.112988,0.019005,0.017220,55000,
1469660977,0.700245,0.116594,0.001812,0.017220,55000,
1469660978,1.223952,0.110584,0.034428,0.017220,55000,
1469660978,0.795267,0.156390,0.095930,0.015990,55000,
1469660978,0.745752,0.127412,0.075115,0.017220,56000,
1469660978,0.472160,0.121402,0.077830,0.017220,56000,
1469660979,0.564525,0.109382,0.028055,0.057857,56000,
1469660979,0.664516,0.137028,0.118555,0.017220,56000,
1469660979,0.812184,0.106978,0.022625,0.017220,56000,
1469660980,0.598920,0.116594,0.001812,0.017220,56000,
1469660980,1.653450,0.126210,0.021744,0.017220,56000,
1469660980,1.356760,0.156260,0.103170,0.017220,59000,
1469660980,0.724176,0.126210,0.073305,0.017220,59000,
1469660981,0.494615,0.120200,0.077830,0.017370,59000,
1469660981,0.008199,0.108180,0.038010,0.097010,56000,
1469660981,0.842190,0.126210,0.039820,0.017220,56000,
1469660982,0.473688,0.121402,0.095025,0.017220,56000,
1469660982,0.569330,0.108180,0.009060,0.017220,56000,
1469660982,0.804258,0.116594,0.001812,0.017220,59000,
1469660982,1.085088,0.140634,0.096835,0.017220,59000,
1469660983,1.007532,0.127412,0.081450,0.017220,59000,
1469660983,0.242436,0.116594,0.076020,0.032277,56000,
1469660983,0.139800,0.105776,0.029865,0.097276,56000,
1469660984,0.757122,0.135826,0.096835,0.017220,56000,
1469660984,0.877058,0.105776,0.060635,0.017220,56000,
1469660984,0.438030,0.115392,0.001812,0.017220,56000,
1469660984,1.208344,0.122604,0.001812,0.017220,56000,
1469660985,0.863005,0.153984,0.075115,0.017220,56000,
1469660985,1.191564,0.133422,0.084165,0.017220,57000,
1469660985,0.671160,0.123806,0.074210,0.017220,57000,
1469660986,0.300548,0.111786,0.074046,0.017680,57000,
1469660986,0.057834,0.105776,0.029865,0.094786,57000,
1469660986,0.586560,0.143038,0.077830,0.017220,59000,
1469660986,0.481962,0.103372,0.001812,0.017220,59000,
1469660987,0.969325,0.117796,0.001812,0.017220,59000,
1469660987,0.997020,0.114190,0.055205,0.017220,57000,
1469660987,0.970454,0.152654,0.118555,0.017220,57000,
1469660988,0.629925,0.132220,0.079640,0.017220,57000,
1469660988,0.516420,0.121402,0.078735,0.017220,57000,
1469660988,0.147420,0.116594,0.066065,0.027508,55000,
1469660988,0.171488,0.103372,0.013590,0.086870,55000,
1469660989,0.892800,0.127412,0.091405,0.017220,55000,
1469660989,0.657516,0.125008,0.066065,0.017220,55000,
1469660989,1.175704,0.115392,0.001812,0.017220,55000,
1469660990,0.801648,0.147846,0.066065,0.017220,55000,
1469660990,1.180048,0.145442,0.104075,0.017220,55000,
1469660990,0.551460,0.126210,0.077830,0.017220,56000,
