timestamp,armW,memW,g3dW,kfcW,temperature,dumb
1469665838,0.371184,0.126210,0.058825,0.015990,53000,
1469665839,0.383460,0.090150,0.001812,0.017220,58000,
1469665839,1.864135,0.114190,0.085070,0.017220,58000,
1469665839,0.008199,0.094958,0.001812,0.087453,58000,
1469665840,0.232624,0.100968,0.001812,0.139240,58000,
1469665840,1.252090,0.112988,0.001812,0.017220,55000,
1469665840,1.038120,0.104574,0.001812,0.017220,55000,
1469665840,0.990720,0.098564,0.001812,0.017220,55000,
1469665841,1.612360,0.097362,0.001812,0.015990,55000,
1469665841,0.230770,0.097362,0.001812,0.035490,56000,
1469665841,0.008199,0.118998,0.001812,0.158599,56000,
1469665842,0.007288,0.094958,0.001812,0.047846,56000,
1469665842,1.215136,0.129816,0.058825,0.051702,57000,
1469665842,1.026480,0.138230,0.104075,0.015990,57000,
1469665843,0.777984,0.106978,0.080545,0.017220,57000,
1469665843,0.111979,0.123806,0.105885,0.046452,55000,
1469665843,0.307496,0.109382,0.022625,0.125620,55000,
1469665843,0.315112,0.109382,0.051585,0.041548,55000,
1469665844,0.247780,0.099766,0.019910,0.135420,55000,
1469665844,0.670440,0.127412,0.066970,0.017220,56000,
1469665844,0.855900,0.135826,0.104075,0.017220,56000,
1469665845,0.436455,0.122604,0.074210,0.017220,56000,
1469665845,0.896120,0.117796,0.001812,0.017220,57000,
1469665845,0.554723,0.106978,0.001812,0.017220,57000,
1469665845,0.983962,0.126210,0.047060,0.017220,57000,
1469665846,1.566582,0.129816,0.058825,0.017220,57000,
1469665846,1.317644,0.134624,0.099550,0.017220,59000,
1469665846,0.668288,0.125008,0.076020,0.017220,59000,
1469665847,0.520950,0.110584,0.066970,0.017220,59000,
1469665847,0.062859,0.109382,0.036200,0.092340,56000,
1469665847,0.432208,0.137028,0.104075,0.110340,56000,
1469665847,0.477499,0.137028,0.050680,0.017220,56000,
1469665848,0.523710,0.100968,0.001812,0.017220,56000,
1469665848,0.119325,0.097362,0.001812,0.116586,56000,
1469665848,0.526260,0.103372,0.001812,0.017220,56000,
1469665849,0.948168,0.117796,0.001812,0.017220,56000,
1469665849,0.863860,0.123806,0.086880,0.017220,57000,
1469665849,0.625158,0.123806,0.071495,0.017220,57000,
1469665849,0.399080,0.121402,0.065160,0.018390,57000,
1469665850,0.008199,0.108180,0.030804,0.148875,57000,
